,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
0,1,SIA/CG/MIN/52634/2016,,"M/s Anil Kumar Agrawal Brick Earth Mine in Village Doma, Teh Dhamdha Dist Durg Chhattisgarh",MS ANIL KUMAR AGRAWAL BRICK EARTH MINE,Delisted,EC,
1,2,SIA/CG/MIN/31618/2015,OL/EC/SANDMINE/BILASPUR/46,Ameritikara Sand Mining,SACHIV VILLAGE AMERITIKARA,EC Granted,EC,
2,3,SIA/CG/MIN/76070/2018,OL/EC/MIN/DURG/736,Pitora Limestone Mine,TEKENDRA CHANDRAKAR,EC Granted,EC,
3,4,SIA/CG/MIN/40977/2016,OL/EC/CLAYMINE/BILASPUR/309,CLAY BRICKS QUARRY OF SHRI PAWAN KUMAR AGRAWAL,PAWAN KUMAR AGRAWAL,EC Granted,EC,
4,5,SIA/CG/IND/87271/2018,OL/EC/IND/RAIGARH/755,SHREE BANKE BIHARI ISPAT PRIVATE LIMITED,SHREE BANKE BIHARI ISAPT PVT LIMITED,EC Granted,EC,
5,6,SIA/CG/MIN/48408/2018,OL/EC/MIN/DURG/735B,Sanjay Agrawal Nandini Khundini Limestone Mine,SANJAY AGRAWAL NANDINI KHUNDINI LIMESTONE MINE,EC Granted,EC,
6,7,SIA/CG/MIN/194726/2021,OL/EC/MIN/RAIGARH/1536,tarapur sand mine,TARAPUR SAND MINE,EC Granted,EC,
7,8,SIA/CG/MIN/197220/2021,OL/EC/MIN/DURG/1551,LIMESTONE QUARRY,ASHISH PALIWAL LIMESTONE QUARRY,EC Granted,EC,
8,9,SIA/CG/MIN/72180/2020,OL/EC/MIN/RAJNANDGAON/1392,Kalkasa Limestone Quarry(M/s shri Chand Chachra),SHRICHAND  CHACHRA,Awaiting EC,EC,
9,10,SIA/CG/MIN/72086/2019,OL/EC/MIN/RANJANDGAON/1005,Baldeopur Limestone Mine (Smt. Rakhi Turhate),SMT RAKHI TURHATE,Awaiting EC,EC,
0,11,SIA/CG/MIN/58988/2016,,kumharic sand mine,SARPANCH KUMHARIC,Delisted,EC,
1,12,SIA/CG/MIN/261543/2022,OL/EC/MIN/SUKMA/1964,GOLABEKUR ORDINARY STONE QUARRY,SHEIKH HUSSAIN,EC Granted,EC,
2,13,SIA/CG/MIS/71199/2020,,SMS Watergrace Enviroprotect Pvt. Ltd.,M/S. SMS WATERGRACE ENVIROPROTECT PVT. LTD.,WithdrawEC,EC,
3,14,SIA/CG/MIN/31467/2015,,Ashish Kumar Agrawal,Ashish Kumar Agrawal,Delisted,EC,
4,15,SIA/CG/MIN/31495/2015,OL/EC/SANDMINE/BALOD/33,sanaod sand mine,SARPANCH,EC Granted,EC,
5,16,SIA/CG/MIN/415260/2023,,Baturabahar Ordinary Stone Temporary Permit Quarry of M/s. Tirupati Buildcon Pvt. Ltd.,TIRUPATI BUILD-CON PRIVATE LIMITED,Request for withdraw,EC,
6,17,SIA/CG/MIN/411932/2022,OL/EC/MIN/KORIYA/2241,"Hastinapur Crusher stone Quarry , shri Dev kumar Patel , area - 1.070 ha.",DEV PATEL,Rejection Letter Granted,EC,
7,18,SIA/CG/MIN/52750/2016,,"M/s Dinesh Chand Nakhat Lime Stone Mine in Village Pinkapar,Tehsil - Dondi Lohara, Dist Balod, Chhattisgarh",MS DINESH CHAND NAKHAT LIME STONE MINE,Delisted,EC,
