,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
0,SIA/GA/INFRA2/429263/2023,GA/EC/0092/2023,Goa,,,Date of Submission for TOR: ,Date of Submission for EC: 16 May 2023 ,INFRA-2, DELTA CORP LIMITED,Agenda Uploaded by SEIAA
1,SIA/GA/NCP/60899/2016,,Goa,North Goa,Tiswadi,Date of Submission for TOR: ,Date of Submission for EC: 06 Dec 2016 ,INFRA-1,MANIPAL HOSPITAL GOA,Delisted
2,SIA/GA/INFRA2/419500/2023,111/3/2023-24/GSEIAA/Project-Prop/,Goa,,,Date of Submission for TOR: ,Date of Submission for EC: 18 Mar 2023 ,INFRA-2, EMGEE HOUSING PRIVATE LIMITED,Rejection Letter Granted
3,SIA/GA/NCP/56910/2016,,Goa,North Goa,Tiswadi,Date of Submission for EC: 30 Jun 2016 ,Date of Ec Granted : 06 Nov 2018,INFRA-1,NAIKNAVARE CONSTRUCTION PVT LTD,EC Granted - Processed offline
4,SIA/GA/INFRA2/422362/2023,110/3/2022-23/GSEIAA/Project-Prop/,Goa,,,Date of Submission for TOR: ,Date of Submission for EC: 27 Mar 2023 ,INFRA-2, LAKEVIEW MERCANTILE COMPANY PRIVATE LIMITED,
5,SIA/GA/MIS/205528/2021,GA/EC/0005/2021,Goa,North Goa,Pernem,Date of Submission for TOR: ,Date of Submission for EC: 27 Jan 2022 ,INFRA-2,M/S ALL INDIA INSTITUTE OF AYURVEDA AIIA,WithdrawEC
6,SIA/GA/MIN/240139/2021,noted,Goa,South Goa,Sanguem,Date of Submission for EC: 24 Nov 2021 ,Date of Ec Granted : 30 Aug 2022,Non-Coal Mining,TIMBLO PLANTING PVT. LTD.,EC Granted
7,SIA/GA/MIN/227709/2021,GA/EC/0023/2021,Goa,North Goa,Bardez,Date of Submission for EC: 03 Sep 2021 ,Date of Ec Granted : 12 Oct 2021,Non-Coal Mining,"DISTRICT COLLECTOR, NORTH GOA",EC Granted
8,SIA/GA/MIN/227877/2021,GA/EC/0025/2021,Madhya Pradesh,Indore,Mhow,Date of Submission for TOR: ,Date of Submission for EC: 05 Sep 2021 ,Non-Coal Mining,"DISTRICT COLLECTOR, NORTH GOA",Delisted
9,SIA/GA/NCP/30865/2015,,Goa,South Goa,Salcete,Date of Submission for TOR: ,Date of Submission for EC: 11 Sep 2015 ,INFRA-1,SHREM AANSAV REALTY LLP,WithdrawEC
10,SIA/GA/MIN/227683/2021,GA/EC/0022/2021,Goa,North Goa,Pernem,Date of Submission for EC: 03 Sep 2021 ,Date of Ec Granted : 12 Oct 2021,Non-Coal Mining,"DISTRICT COLLECTOR, NORTH GOA",EC Granted
11,SIA/GA/MIN/207574/2021,GA/EC/0011/2021,Goa,North Goa,Satari,Date of Submission for TOR: ,Date of Submission for EC: 12 Jul 2021 ,Non-Coal Mining,B. G. JOSHI,Delisted
12,SIA/GA/NCP/30856/2015,,Goa,South Goa,Salcete,Date of Submission for TOR: ,Date of Submission for EC: 10 Sep 2015 ,INFRA-1,SHREM AANSAV REALTY LLP,WithdrawEC
13,SIA/GA/MIN/415568/2023,125/3/2023-24/GSEIAA/Project-Prop,Goa,,,Date of Submission for TOR: ,Date of Submission for EC: 24 May 2023 ,Non-Coal Mining,SHRIKANT DESSAI,Accepted by SEIAA and forwarded to SEAC
14,SIA/GA/MIS/233234/2021,noted,Goa,North Goa,Pernem,Date of Submission for EC: 23 Feb 2022 ,Date of Ec Granted : 25 May 2022,INFRA-2,M/S ALL INDIA INSTITUTE OF AYURVEDA AIIA,EC Granted
15,SIA/GA/MIN/281095/2022,Ga/EC/0057/2022,Goa,North Goa,Satari,Date of Submission for EC: 05 Jul 2022 ,Date of Ec Granted : 14 Nov 2022,Non-Coal Mining, PRIYADARSHANI HI TECH ASSOCIATES,EC Granted
16,SIA/GA/MIN/273194/2022,GA/EC/0048/2022,,,,Date of Submission for EC: 20 May 2022 ,Date of Ec Granted : 14 Sep 2022,Non-Coal Mining,KALOSHI GRANITES,EC Granted
17,SIA/GA/MIS/207012/2021,GA/EC/0004/2021,Goa,North Goa,Tiswadi,Date of Submission for EC: 30 Mar 2022 ,Date of Ec Granted : 24 Jun 2022,INFRA-2,MARVEL RESORTS PVT.LTD.,EC Granted
18,SIA/GA/MIN/431574/2023,129/3/2023-24/GSEIAA/Project-Prop/,Goa,,,Date of Submission for TOR: ,Date of Submission for EC: 31 May 2023 ,Non-Coal Mining,MUKUL GAONKAR,Accepted by SEIAA and forwarded to SEAC
19,SIA/GA/INFRA2/412908/2023,GA/EC/0089/2022,Goa,,,Date of Submission for TOR: ,Date of Submission for EC: 06 Mar 2023 ,INFRA-2, VIBHAV REAL ESTATE,ADS by SEIAA
20,SIA/GA/MIN/411455/2022,GA/EC/0084/2022,Goa,,,Date of Submission for EC: 21 Dec 2022 ,Date of Ec Granted : 10 May 2023,Non-Coal Mining, OM METALS,EC Granted
21,SIA/GA/NCP/73331/2018,,Goa,North Goa,Tiswadi,Date of Submission for EC: 05 Mar 2018 ,Date of Ec Granted : 06 Nov 2018,INFRA-1,NAIKNAVARE CONSTRUCTION PVT LTD,EC Granted - Processed offline
22,SIA/GA/MIN/429003/2023,97/3/2022-23/GSEIAA/Project-Prop/,Goa,,,Date of Submission for EC: 12 May 2023 ,Date of Ec Granted : 21 Jul 2023,Non-Coal Mining,SHRIRAM KAMAT,EC Granted
23,SIA/GA/MIN/433734/2023,135/3/2023-24/GSEIAA/Project-Prop,Goa,,,Date of Submission for TOR: ,Date of Submission for EC: 20 Jun 2023 ,Non-Coal Mining,PRASHANT RANE,Accepted by SEIAA and forwarded to SEAC
24,SIA/GA/MIN/432237/2023,127/3/2023-24/GSEIAA/Project-Prop,Goa,,,Date of Submission for TOR: ,Date of Submission for EC: 10 Jun 2023 ,Non-Coal Mining,LALITA PRABHU DESAI,Accepted by SEIAA and forwarded to SEAC
25,SIA/GA/INFRA2/433474/2023,131/3/2023-24/GSEIAA/Project-Prop,Goa,,,Date of Submission for TOR: ,Date of Submission for EC: 16 Jun 2023 ,INFRA-2, HERITAGE PRINCES REAL ESTATE DEVELOPERS,Accepted by SEIAA and forwarded to SEAC
26,SIA/GA/MIN/411678/2023,GA/EC/0087/2022,Goa,,,Date of Submission for TOR: ,Date of Submission for EC: 06 Jan 2023 ,Non-Coal Mining, THE DIRECTOR OF MINES,Deferred by SEIAA
27,SIA/GA/MIS/207012/2021,GA/EC/0004/2021,Goa,North Goa,Tiswadi,Date of Submission for EC: 30 Mar 2022 ,Date of Ec Granted : 24 Jun 2022,INFRA-2,MARVEL RESORTS PVT.LTD.,EC Granted
28,SIA/GA/MIN/273194/2022,GA/EC/0048/2022,,,,Date of Submission for EC: 20 May 2022 ,Date of Ec Granted : 14 Sep 2022,Non-Coal Mining,KALOSHI GRANITES,EC Granted
29,SIA/GA/MIN/281095/2022,Ga/EC/0057/2022,Goa,North Goa,Satari,Date of Submission for EC: 05 Jul 2022 ,Date of Ec Granted : 14 Nov 2022,Non-Coal Mining, PRIYADARSHANI HI TECH ASSOCIATES,EC Granted
30,SIA/GA/MIN/410580/2022,GA/EC/0085/2022,Goa,,,Date of Submission for EC: 21 Dec 2022 ,Date of Ec Granted : 15 Mar 2023,Non-Coal Mining,DEU MARATHE,EC Granted
31,SIA/GA/MIN/407359/2022,GA/EC/0082/2022,Goa,South Goa,,Date of Submission for TOR: ,Date of Submission for EC: 22 Nov 2022 ,Non-Coal Mining, DR PRAMOD M S TALAULICAR & OTHERS,Delisted
32,SIA/GA/NCP/61049/2016,,Goa,North Goa,Pernem,Date of Submission for TOR: ,Date of Submission for EC: 12 Dec 2016 ,INFRA-1,CHAKSHU PROPERTIES PVT LTD,Transfered SEIAA To MOEFCC
33,SIA/GA/IND2/425054/2023,,Goa,,,Date of Submission for TOR: ,Date of Submission for EC: 06 Apr 2023 ,Industrial Projects - 2, IMPERIAL DISTILLERS & VINTNERS PRIVATE LIMITED,Under examination of SEIAA
34,SIA/GA/NCP/60713/2016,,Goa,North Goa,Bardez,Date of Submission for EC: 29 Nov 2016 ,Date of Ec Granted : 18 May 2018,INFRA-1,GN CONSTRUCTION,EC Granted - Processed offline
35,SIA/GA/MIN/227709/2021,GA/EC/0023/2021,Goa,North Goa,Bardez,Date of Submission for EC: 03 Sep 2021 ,Date of Ec Granted : 12 Oct 2021,Non-Coal Mining,"DISTRICT COLLECTOR, NORTH GOA",EC Granted
36,SIA/GA/MIN/227877/2021,GA/EC/0025/2021,Madhya Pradesh,Indore,Mhow,Date of Submission for TOR: ,Date of Submission for EC: 05 Sep 2021 ,Non-Coal Mining,"DISTRICT COLLECTOR, NORTH GOA",Delisted
37,SIA/GA/MIN/240139/2021,noted,Goa,South Goa,Sanguem,Date of Submission for EC: 24 Nov 2021 ,Date of Ec Granted : 30 Aug 2022,Non-Coal Mining,TIMBLO PLANTING PVT. LTD.,EC Granted
38,SIA/GA/MIS/205528/2021,GA/EC/0005/2021,Goa,North Goa,Pernem,Date of Submission for TOR: ,Date of Submission for EC: 27 Jan 2022 ,INFRA-2,M/S ALL INDIA INSTITUTE OF AYURVEDA AIIA,WithdrawEC
39,SIA/GA/NCP/30865/2015,,Goa,South Goa,Salcete,Date of Submission for TOR: ,Date of Submission for EC: 11 Sep 2015 ,INFRA-1,SHREM AANSAV REALTY LLP,WithdrawEC
40,SIA/GA/MIN/433472/2023,130/3/2023-24/GSEIAA/Project-Prop,Goa,,,Date of Submission for TOR: ,Date of Submission for EC: 15 Jun 2023 ,Non-Coal Mining,RAJENDRA PRABHU DESSAI,Accepted by SEIAA and forwarded to SEAC
41,SIA/GA/NCP/89478/2018,,Goa,North Goa,Tiswadi,Date of Submission for EC: 24 Dec 2018 ,Date of Ec Granted : 28 Nov 2019,INFRA-1,M/S MATHIAS CONSTRUCTION PVT LTD,EC Granted - Processed offline
42,SIA/GA/INFRA2/429263/2023,GA/EC/0092/2023,Goa,,,Date of Submission for TOR: ,Date of Submission for EC: 16 May 2023 ,INFRA-2, DELTA CORP LIMITED,Agenda Uploaded by SEIAA
43,SIA/GA/NCP/60899/2016,,Goa,North Goa,Tiswadi,Date of Submission for TOR: ,Date of Submission for EC: 06 Dec 2016 ,INFRA-1,MANIPAL HOSPITAL GOA,Delisted
44,SIA/GA/INFRA2/419500/2023,111/3/2023-24/GSEIAA/Project-Prop/,Goa,,,Date of Submission for TOR: ,Date of Submission for EC: 18 Mar 2023 ,INFRA-2, EMGEE HOUSING PRIVATE LIMITED,Rejection Letter Granted
45,SIA/GA/NCP/56910/2016,,Goa,North Goa,Tiswadi,Date of Submission for EC: 30 Jun 2016 ,Date of Ec Granted : 06 Nov 2018,INFRA-1,NAIKNAVARE CONSTRUCTION PVT LTD,EC Granted - Processed offline
46,SIA/GA/INFRA2/422362/2023,110/3/2022-23/GSEIAA/Project-Prop/,Goa,,,Date of Submission for TOR: ,Date of Submission for EC: 27 Mar 2023 ,INFRA-2, LAKEVIEW MERCANTILE COMPANY PRIVATE LIMITED,
