,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
0,1,SIA/GA/MIS/207012/2021,GA/EC/0004/2021,"Construction of Residential Complex at P.T Sheet no.121/chalta no.2,3,4,38,39 and P.T sheet no.130/chalta no.33",MARVEL RESORTS PVT.LTD.,EC Granted,EC,
1,2,SIA/GA/MIN/273194/2022,GA/EC/0048/2022,Kaloshi Granites,KALOSHI GRANITES,EC Granted,EC,
2,3,SIA/GA/MIN/281095/2022,Ga/EC/0057/2022,Priyadarshani Hi Tech Associates Basalt Stone Quarry at Vantem,PRIYADARSHANI HI TECH ASSOCIATES,EC Granted,EC,
3,4,SIA/GA/MIS/233234/2021,noted,"Proposed All India Institute of Ayurveda ""AIIA Goa""",M/S ALL INDIA INSTITUTE OF AYURVEDA AIIA,EC Granted,EC,
4,5,SIA/GA/MIN/431574/2023,129/3/2023-24/GSEIAA/Project-Prop/,Proposed Laterite Stone Quarry  by Mr.Mukul Shriram Gaonkar,MUKUL GAONKAR,Under examination of SEAC,EC,
5,6,SIA/GA/INFRA2/412908/2023,GA/EC/0089/2022,Proposed Construction of Commercial / Residential Project And Swimming Pool in the Property Bearing Survey No.192 /1-C of Ponda Village of Ponda Taluka For M/S. Vibhav Real Estate And Madanant Constructions (Goa) Pvt. Ltd,VIBHAV REAL ESTATE,ADS by SEIAA,EC,
6,7,SIA/GA/INFRA2/428841/2023,GA/EC/0094/2023,"Proposed Residential Development “Thousand Palms""",ASHOKA INFRAWAYS LIMITED,Under examination of SEAC,EC,
7,8,SIA/GA/MIN/227880/2021,GA/EC/0026/2021,Sand Mining - Zone-3 (Part-2),"DISTRICT COLLECTOR, NORTH GOA",Delisted,EC,
8,9,SIA/GA/MIN/290665/2022,GA/EC/0068/2022,"Proposed Laterite quarry of lease area 1.0 Ha located on land bearing Survey no. 50/1 at Village Fatorpa of Quepem Taluka, South Goa, State Goa",NARAYAN NAIKDESAI,EC Granted,EC,
9,10,SIA/GA/IND/61748/2021,GA/EC/0003/2021,Proposed Iron Ore Beneficiation Plant of Dr.Prafulla R.Hede,DR. PRAFULLA R.HEDE,WithdrawEC,EC,
0,11,SIA/GA/NCP/30865/2015,,"Residential cum Commercial Project at Madgaon city, Goa",SHREM AANSAV REALTY LLP,WithdrawEC,EC,
1,12,SIA/GA/IND2/407389/2022,GA/EC/0081/2022,JOHN DISTILLERIES PRIVATE LIMITED,JOHN DISTILLERIES PRIVATE LIMITED,EC Granted,EC,
2,13,SIA/GA/IND/61748/2021,GA/EC/0003/2021,Proposed Iron Ore Beneficiation Plant of Dr.Prafulla R.Hede,DR. PRAFULLA R.HEDE,WithdrawEC,EC,
3,14,SIA/GA/MIN/227880/2021,GA/EC/0026/2021,Sand Mining - Zone-3 (Part-2),"DISTRICT COLLECTOR, NORTH GOA",Delisted,EC,
