,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
0,SIA/GJ/MIS/106696/2019,SIA/GJ/118411/2019,Gujarat,Ahmedabad,Ahmedabad City,Date of Submission for TOR: ,Date of Submission for EC: 28 Oct 2019 ,INFRA-2,JPASSOCIATES,Delisted
1,SIA/GJ/MIS/117967/2019,SIA/GJ/134912/2019,Gujarat,Vadodara,Vadodara,Date of Submission for TOR: ,Date of Submission for EC: 19 Dec 2019 ,INFRA-2,NEPTUNE INFRASPACE PVT. LTD.,Delisted
2,SIA/GJ/IND2/205422/2021,SIA/GJ/53603/2021,Gujarat,Bharuch,Vagra,Date of Submission for TOR: ,Date of Submission for EC: 26 Mar 2021 ,Industrial Projects - 2,M/S. SOWRIN PHARMA,WithdrawEC
3,SIA/GJ/IND2/205710/2021,SIA/GJ/59503/2021,Gujarat,Bharuch,Anklesvar,Date of Submission for EC: 24 Mar 2021 ,Date of Ec Granted : 22 Sep 2021,Industrial Projects - 2,M/S. AMSAL CHEM PVT LTD,EC Granted
4,SIA/GJ/MIS/135442/2020,SIA/GJ/6801/2020,Gujarat,Ahmedabad,Daskroi,Date of Submission for TOR: ,Date of Submission for EC: 07 Jan 2020 ,INFRA-2,HARIOM CONBUILDD LLP,Delisted
5,SIA/GJ/IND2/30691/2019,,Gujarat,Bharuch,Vagra,Date of Submission for EC: 09 Jan 2020 ,Date of Ec Granted : 30 Sep 2020,Industrial Projects - 2,ORBIT COLOURS INDIA,EC Granted - Processed offline
6,SIA/GJ/IND2/204029/2021,SIA/GJ/51803/2021,Gujarat,Bharuch,Anklesvar,Date of Submission for EC: 16 Mar 2021 ,Date of Ec Granted : 29 Apr 2022,Industrial Projects - 2,TECHNO CHEM INDUSTRIES UNIT 2,EC Granted
7,SIA/GJ/MIS/203673/2021,SIA/GJ/49803/2021,Gujarat,Ahmedabad,Ahmedabad City,Date of Submission for EC: 15 Mar 2021 ,Date of Ec Granted : 02 Jul 2021,INFRA-2,SPLENDID INFRABUILD LLP,EC Granted
8,SIA/GJ/MIS/233379/2021,SIA/GJ/199410/2021,Gujarat,Ahmedabad,Ahmedabad City,Date of Submission for EC: 11 Oct 2021 ,Date of Ec Granted : 22 Feb 2022,INFRA-2,DHARTI INFRACON,EC Granted
9,SIA/GJ/MIS/260807/2022,SIA/GJ/44203/2022,Gujarat,Ahmedabad,Daskroi,Date of Submission for EC: 12 Mar 2022 ,Date of Ec Granted : 15 Jul 2022,INFRA-2,VINITKUMAR SHAH,EC Granted
10,SIA/GJ/IND2/195791/2021,,Gujarat,Bharuch,Jhagadia,Date of Submission for TOR: ,Date of Submission for EC: 01 Feb 2021 ,Industrial Projects - 2,P M INDUSTRIES,Delisted
11,SIA/GJ/IND2/202882/2021,SIA/GJ/44903/2021,Gujarat,Bharuch,Anklesvar,Date of Submission for EC: 10 Mar 2021 ,Date of Ec Granted : 14 Oct 2021,Industrial Projects - 2,AMAR CHEMICALS,EC Granted
12,SIA/GJ/IND3/246595/2021,SIA/GJ/250912/2021,Gujarat,Surat,Mangrol,Date of Submission for EC: 21 Dec 2021 ,Date of Ec Granted : 20 Dec 2022,Industrial Projects - 3,SURESHBHAI SUTARIYA,EC Granted
13,SIA/GJ/IND3/247562/2021,SIA/GJ/255512/2021,Gujarat,Bharuch,Bharuch,Date of Submission for TOR: ,Date of Submission for EC: 24 Apr 2022 ,Industrial Projects - 3,MAJDHA INDUSTRIES PVT LTD,Delisted
