,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
0,1,SIA/GJ/MIS/127996/2019,SIA/GJ/131112/2019,Proposed Residential Building,SOPAN DEVELOPERS PVT LTD,EC Granted,EC,
1,2,SIA/GJ/MIS/124736/2019,SIA/GJ/119711/2019,Dev Developers,DEV DEVELOPERS,Delisted,EC,
2,3,SIA/GJ/MIS/188886/2020,SIA/GJ/217912/2020,Atulya Residency,SHANTABAA CO. OPERATIVE HOUSING SOCIETY,EC Granted,EC,
3,4,SIA/GJ/MIS/189633/2020,SIA/GJ/219612/2020,Residential cum Commercial Project Proposed by Bipin Sohanlal Agarwal-Shivam Developers,RESIDENTIAL CUM COMMERCIAL PROJECT PROPOSED BY BIPIN SOHANLAL AGARWAL,EC Granted,EC,
4,5,SIA/GJ/IND2/35931/2019,SIA/GJ/114010/2019,Proposed Project for manufacturing of Synthetic Organic Chemicals by Fine Solvios,FINE SOLVIOS,EC Granted - Processed offline,EC,
5,6,SIA/GJ/MIS/119977/2019,SIA/GJ/115111/2019,SHASHWAT HEIGHTS,SHASHWAT HEIGHTS LLP,EC Granted - Processed offline,EC,
6,7,SIA/GJ/MIS/137482/2020,SIA/GJ/11201/2020,RAJ HERITAGE,MAHESHBHAI MAGANBHAI ZINZALA,EC Granted - Processed offline,EC,
7,8,SIA/GJ/MIS/137631/2020,SIA/GJ/11301/2020,Residential Cum  Commercial,CHANDRAKANT G PATEL AND DILIPBHAI D PATEL,EC Granted,EC,
8,9,SIA/GJ/IND2/54142/2019,SIA/GJ/84406/2020,Proposed project for manufacturing of synthetic organic chemicals by Balaji Formalin Private Limited,BALAJI FORMALIN PRIVATE LIMITED,EC Granted,EC,
9,10,SIA/GJ/IND2/160346/2020,SIA/GJ/84606/2020,CHIKHALIA ENTERPRISE,CHIKHALIA ENTERPRISE,EC Granted,EC,
0,11,SIA/GJ/MIS/114929/2019,SIA/GJ/94508/2019,CRYSTAL INDUSTRIAL & LOGISTICS PARK,PIGOTT ELEGANCE PRIVATE LIMITED,EC Granted - Processed offline,EC,
1,12,SIA/GJ/MIN/133362/2019,,Harihar Bricks Mfg Co,HARIHAR BRICKS MFG CO,Delisted,EC,
2,13,SIA/GJ/IND2/27657/2018,SIA/GJ/25403/2020,M/s. Lincoln Pharmaceuticals Ltd.,LINCOLN PHARMACEUTICALS LIMITED,EC Granted,EC,
3,14,SIA/GJ/MIS/148451/2020,SIA/GJ/34104/2020,Commercial  Project,RAMCHANDRA R BAROT AND OTHERS,EC Granted - Processed offline,EC,
4,15,SIA/GJ/IND2/52275/2019,SIA/GJ/33603/2020,PROPOSED SYNTHETIC ORGANIC CHEMICALS(1100 MT/MONTH) MANUFACTURING UNIT,PARAS PHARMA CHEM,EC Granted,EC,
5,16,SIA/GJ/IND2/163077/2020,SIA/GJ/98707/2020,M/s. CION PHARMA,M/S. CION PHARMA,EC Granted,EC,
6,17,SIA/GJ/IND2/165001/2020,SIA/GJ/108108/2020,M/s. Rhythm Chemicals Private Limited,M/S. RHYTHM CHEMICALS PRIVATE LIMITED,EC Granted - Processed offline,EC,
7,18,SIA/GJ/IND2/165137/2020,SIA/GJ/107708/2020,Vinjay Products,VINJAY PRODUCTS,EC Granted,EC,
8,19,SIA/GJ/MIS/201059/2021,SIA/GJ/44103/2021,Laxmi Nova,VASANTBHAI HARIBHAI GAJERA.,EC Granted,EC,
9,20,SIA/GJ/IND/201064/2021,,M/s. GAJANAN MINERALS,GAJANAN MINERALS,WithdrawEC,EC,
0,21,SIA/GJ/IND2/151614/2020,SIA/GJ/50304/2020,M/s. Abhilasha Pharma Pvt. Ltd-Proposed expansion project for manufacturing of Synthetic Organic Chemicals (API-Bulk drug and drug intermediates),ABHILASHA PHARMA PVT LTD ANKLESHWAR,EC Granted,EC,
1,22,SIA/GJ/MIS/150069/2020,SIA/GJ/38804/2020,Hospital,M/S. SHIV ASHISH DEVELOPERS,Delisted,EC,
2,23,SIA/GJ/IND2/53984/2020,SIA/GJ/80606/2020,M/s. J.P. Resin Industries (Unsaturated Polyester Resin Manufacture Unit),J.P. RESIN INDUSTRIES,EC Granted,EC,
3,24,SIA/GJ/MIN/34284/1900,,Sharad Kumar Gangaram Thakkar,THAKKAR SHARADKUMAR G,Pending at PP due to eds,EC,
4,25,SIA/GJ/MIN/71687/2020,SIA/GJ/22102/2022,"Shri Bhavin Construction, Savitaben Daniya, Block-12 Ghutanavad Ordinary Sand Mining Project",BHAVIN CONSTRUCTION,EC Granted,EC,
5,26,SIA/GJ/MIS/256379/2022,SIA/GJ/26302/2022,Kautilya One54,KAUTILYA DEVELOPERS,EC Granted,EC,
6,27,SIA/GJ/MIS/222374/2021,SIA/GJ/139108/2021,Radhika Bungalows & Radhika Resi cum Plaza,SHREE RADHIKA CORPORATION,EC Granted,EC,
7,28,SIA/GJ/MIS/220788/2021,SIA/GJ/125508/2021,Karnavati Vivanta Living,KARNAVATI VIVANTA LIVING,WithdrawEC,EC,
8,29,SIA/GJ/IND2/33926/2019,SIA/GJ/126208/2021,Mayur Dye Chem,MAYUR DYE CHEM,EC Granted,EC,
9,30,SIA/GJ/IND2/175512/2020,SIA/GJ/168609/2020,M/s. Sunshine Aromatics And Chemicals (Proposed API-Bulk Drugs & Its Intermediates Manufacturing Unit),M/S. SUNSHINE AROMATICS & CHEMICALS,EC Granted,EC,
0,31,SIA/GJ/IND2/156572/2020,SIA/GJ/75606/2020,M/s. Khodiyar Chemicals,M/S. KHODIYAR CHEMICALS,EC Granted,EC,
1,32,SIA/GJ/MIN/52748/2018,SIA/GJ/38904/2020,Mewasa Bauxite Mine,TUSHAR MINERAL INDUSTRIES,EC Granted,EC,
2,33,SIA/GJ/IND2/155789/2020,SIA/GJ/74606/2020,J. M. Chemicals,J M CHEMICALS,EC Granted,EC,
3,34,SIA/GJ/IND2/150966/2020,SIA/GJ/37304/2020,M/s. Efkam Organics (Bulk Drug and Bulk  Drug Intermediates),M/S. EFKAM ORGANICS,EC Granted,EC,
4,35,SIA/GJ/MIS/156848/2020,SIA/GJ/76806/2020,RAGHUVEER DEVELOPERS,RAGHUVEER DEVELOPERS,Delisted,EC,
5,36,SIA/GJ/IND2/174641/2020,SIA/GJ/157309/2020,M/s. Apple Life Science(API-Bulk Drug and Drug Intermediates),M/S. APPLE LIFE SCIENCE,EC Granted,EC,
6,37,SIA/GJ/IND2/174729/2020,SIA/GJ/159109/2020,M/s. Sitaram Traders,M/S. SITARAM TRADERS,Delisted,EC,
7,38,SIA/GJ/IND2/175440/2020,SIA/GJ/167009/2020,Swati Spentose Private Limited (Unit 3),SWATI SPENTOSE PVT. LTD. (UNIT- 3),EC Granted,EC,
8,39,SIA/GJ/IND2/175470/2020,SIA/GJ/167609/2020,Xenon laboratories,XENON LABORATORIES,EC Granted - Processed offline,EC,
9,40,SIA/GJ/IND2/176380/2020,SIA/GJ/175709/2020,Expansion of API Bulk Drugs & Intermediate by Shiv chem.,SHIV CHEM,EC Granted,EC,
0,41,SIA/GJ/IND2/175700/2020,SIA/GJ/162509/2020,ABHELFEN LIFE SCIENCE PVT. LTD.,ABHELFEN LIFE SCIENCE PVT. LTD.,EC Granted,EC,
1,42,SIA/GJ/IND2/21401/2017,SIA/GJ/83904/2021,M/s. Hina Dye Chem Industries,HINA DYECHEM INDUSTRIES,EC Granted,EC,
2,43,SIA/GJ/IND2/22203/2018,SIA/GJ/91905/2021,Nilkanth Organics Pvt Ltd.,NILKANTH ORGANICS PVT LTD,EC Granted,EC,
3,44,SIA/GJ/MIN/33099/1900,,Rupesh Ranmal Chhanga,RUPESH RANMAL CHHANGA,Delisted,EC,
4,45,SIA/GJ/MIN/33107/1900,,Hirji Kanji Kapdi,HIRJI KANJI KAPDI,Delisted,EC,
5,46,SIA/GJ/IND2/25999/2018,SIA/GJ/27502/2021,M/s. Evergreen Industries,EVERGREEN INDUSTRIES,EC Granted,EC,
6,47,SIA/GJ/IND/30448/2018,SIA/GJ/37504/2019,Environmental Clearance for Proposed project of 2.0 MTPA Standalone Grinding Unit with bulk & bag packing plant by Sanghi Industries Ltd.,SANGHI INDUSTRIES LIMITED,EC Granted,EC,
7,48,SIA/GJ/MIN/33132/2019,,Shri Ramjibhai Samatbhai Gujarti,RAMBHAIGUJURATI,Pending at PP due to eds,EC,
8,49,SIA/GJ/IND2/19982/2017,SIA/GJ/35203/2019,Proposed Specialty Chemical Manufacturing Plant,TATVA CHINTAN PHARMA CHEM PVT LTD SEZ DAHEJ,EC Granted,EC,
9,50,SIA/GJ/IND2/29678/2018,SIA/GJ/47105/2019,Apex Pharma,APEX PHARMA,EC Granted,EC,
