,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
0,1,SIA/HR/MIS/58959/2016,file no. SEIAA/HR/16/304 dated 21.11.2016,M/s Esskay Hygienic Services,ESSKAY HYGIENIC SERVICES,EC Granted - Processed offline,EC,
1,2,SIA/HR/MIS/199721/2021,SEIAA/HR/2021/374 hard copy to be submitted,"Proposed Commercial Colony (Retail, Multiplex & Food Court) at village- Adampur, Sector-50, Gurugram, Haryana by M/s Pyramid City Projects LLP & Others in Collaboration with Elan Ltd",M/S PYRAMID CITY PROJECTS LLP & OTHERS IN COLLABORATION WITH ELAN LTD.,EC Granted,EC,
2,3,SIA/HR/MIS/99263/2019,"SEIAA/HR/19/55

Hard copy to be submitted",Affordable Group Housing Colony,SHYAM KRIPA INFRASTRUCTURES PVT LTD,Delisted,EC,
3,4,SIA/HR/NCP/72029/2018,SEIAA/HR/18/379 dated 11.01.2018. Please submit th,Antariksh Warehousing and Logistics Parks,MS ANTARIKSH WAREHOUSING AND LOGISTIC PARKS PRIVATE LIMITED,EC Granted - Processed offline,EC,
4,5,SIA/HR/NCP/70316/2017,SEIAA/HR/17/365 dated 15.11.2017,"Affordable Group Housing Colony at Village-Taraf Insar & Rajputan, Panipat",EMPERIUM REALTY PVT. LTD.,EC Granted,EC,
5,6,SIA/HR/MIS/237772/2021,SEIAA/HR/2021/474,"Proposed Commercial Plotted Colony (SCO) “Bestech Central Boulevard” Village-Hayatpur, Sec-88, Gurugram, Haryana by M/s Bestech India Pvt. Ltd","PROPOSED COMMERCIAL PLOTTED COLONY (SCO) “BESTECH CENTRAL BOULEVARD” VILLAGE-HAYATPUR, SEC-88, GURUGRAM, HARYANA M/S BESTECH INDIA PVT. LTD.",EC Granted,EC,
6,7,SIA/HR/MIS/72534/2022,SEIAA/HR/2022/197,"Expansion of Proposed Mixed Land Use Colony (70% Residential and 30% Commercial) on the land  measuring 14.4125 Acres in Revenue Estate of village Maidawas and Badshahpur, Sector 65 of GMUC, Gurugram",M/S MANGALAM MULTIPLEX PVT. LTD.,EC Granted,EC,
7,8,SIA/HR/INFRA2/414463/2023,SEIAA/HR/2023/303,Affordable Plotted Colony under DDJAY Project M/s Signature Builders Pvt. Ltd.,SIGNATURE BUILDERS PRIVATE LIMITED,EC Granted,EC,
8,9,SIA/HR/NCP/70919/2017,SEIAA/HR/17/363 dated 14.11.2017,Modification of Affordable Group Housing Project,M/S SIGNATURE BUILDERS PRIVATE LIMITED,EC Granted,EC,
9,10,SIA/HR/MIS/102761/2019,SEIAA/HR/19/54 hard copy already submitted,Warehouse Project,FUTURE RETAIL DESTINATION,EC Granted,EC,
0,11,SIA/HR/MIS/281054/2022,SEIAA/HR/2022/220,Revision and Expansion of Residential Plotted Colony,M/S COUNTRYWIDE PROMOTERS PVT LTD,EC Granted,EC,
1,12,SIA/HR/MIS/105891/2019,SEIAA/HR/19/137 file number has already granted,Proposed Commercial Colony 'AIPL Joy Gallery',R.C. SOOD & COMPANY PVT. LTD.,EC Granted,EC,
2,13,SIA/HR/MIS/59736/2020,SEIAA/HR/2020/335 hard copy to be submitted,"Proposed Plotted Colony On 22.62 Acres Land Under Ddjay Scheme At Village Behrampur And Ullawas, Sector-61, Gurugram",M/S COMMANDER REALTORS PRIVATE LIMITED & OTHERS,EC Granted,EC,
3,14,SIA/HR/MIS/98202/2019,"SEIAA/HR/19/49

Hard copy to be submitted",Affordable  Group Housing Colony Project,AAR HOUSING PVT LTD,Request for withdraw,EC,
4,15,SIA/HR/MIS/146663/2020,SEIAA/HR/19/263 hard copy to be submitted,Affordable Group Housing Colony,MS SIGNATURE GLOBAL INDIA PVT LTD,EC Granted,EC,
5,16,SIA/HR/MIS/150300/2020,SEIAA/HR/2020/277 hard copy to be submitted,"EXPANSION OF WAREHOUSE PROJECT ""R. J. LOGISTICS PARK""",R. J. LOGISTICS PARK,EC Granted,EC,
6,17,SIA/HR/MIS/98417/2019,,,SUNSAT INFOTECH PVT LTD,Delisted,EC,
7,18,SIA/HR/NCP/30489/2015,,"Affordable Group Housing Colony by M/s Ramsons Organics Limited Village-Dhorka, Sector- 95, Gurgaon, Haryana",RAMSONS ORGANICS LIMITED,Delisted,EC,
8,19,SIA/HR/MIN/61132/2016,SEIAA/HR/MIN/17/167 Dated 06.01.2017,MINING OF BOULDER GRAVEL AND SAND AT GALAURI BLOCK YHR B 39 VILLAGE GALAURI TEHSIL BILASPUR DISTRICT YAMUNA NAGAR HARYANA,MESSAR KAWALJEET SINGH BATRA,EC Granted,EC,
9,20,SIA/HR/MIS/135870/2020,SEIAA/HR/2020/265,Environmental clearance for warehouse/logistic/industrial storage project,ERPL WAREHOUSE PARK PRIVATE LTD,EC Granted,EC,
0,21,SIA/HR/MIS/183247/2020,,"Warehouse For Storage Of Agro As Well As Non-Agro Produce Project (42.65 Acres) Village -Yakubpur, Tehsil- Badli, District - Jhajjar, Haryana by M/s P.R.J. Warehousing Private Limited",P.R.J. WAREHOUSING PRIVATE LIMITED,WithdrawEC,EC,
1,22,SIA/HR/NCP/22199/2017,SEIAA/HR/17/338 dated 21.07.2017,,EXPANSION OF IT PARK PROJECT,EC Granted - Processed offline,EC,
2,23,SIA/HR/MIS/31309/2019,"SEIAA/HR/19/10

Hard Copy to be submitted",,SHIV SAI INFRASTRUCTURE PRIVATE LIMITED,EC Granted - Processed offline,EC,
3,24,SIA/HR/MIS/31328/2019,"SEIAA/HR/19/29

Hard copy to be submitted","Proposed Mixed landuse Project under TOD Policy (70% Residential + 30% Commercial) on land measuring 166.69 acres in Revenue Estate of village-Chauma, Sector-111, Gurugram, Haryana",M/S MASK REALCON PVT. LTD.,EC Granted,EC,
4,25,SIA/HR/INFRA2/413213/2023,SEIAA/HR/2023/304,Affordable Group Housing Colony - Rajvik Greens,SILVER X PROJECTS INDIA PRIVATE LIMITED,EC Granted,EC,
5,26,SIA/HR/NCP/60327/2016,file no. SEIAA/HR/16/306 dated 21.11.2016. please,"Affordable Group Housing Colony at Sector 85, Faridabad, Haryana",VRP BUILDTECH PVT LTD,EC Granted,EC,
6,27,SIA/HR/NCP/1303/2015,,"Residential Plotted Colony located at Sector - 6, Village Agroha, Hisar",HARYANA URBAN DEVELOPMENT AUTHORITY DIVISION NO II,Delisted,EC,
7,28,SIA/HR/MIS/31300/2019,"SEIAA/HR/19/03

hard copy to be submitted",,SFG EXPORTS (INDIA) PVT. LTD.,EC Granted - Processed offline,EC,
8,29,SIA/HR/MIS/275278/2022,,Revision & Expansion of Group Housing Project “Orion Galaxy”,SONI INFRATECH PRIVATE LIMITED,Delisted,EC,
9,30,SIA/HR/MIS/146978/2020,SEIAA/HR/19/264 hard copy to be submitted,Warehouse (Logistic) Project,M/S OUTRANK LOGISTIC PARK LLP,EC Granted,EC,
0,31,SIA/HR/NCP/75499/2018,SEIAA/HR/18/ 428 dated 05.07.2018,"Revision and Expansion of Group Housing Project at Sector 73, Village Behrampur, Gurgaon, Haryana",TODAY HOMES AND INFRASTRUCTURE PVT. LTD.,EC Granted - Processed offline,EC,
1,32,SIA/HR/NCP/70869/2017,SEIAA/HR/17/361 dated 14.11.2017. Please submit th,"Affordable Group Housing Colony in Sector-67-A, Gurgaon Manesar Urban Complex, Gurugram, Haryana",SHRI COLONIZERS AND DEVELOPERS PRIVATE LIMITED,EC Granted,EC,
2,33,SIA/HR/MIS/104055/2019,SEIAA/HR/19/152,"IT-Park Project by M/s Titan Infracon LLP. at Village Tikri, Sector-48, Gurugram, Haryana",TITAN INFRACON LLP,Delisted,EC,
3,34,SIA/HR/MIN/25967/2016,SEIAA/HR/MIN/19/09,M/s Balaji infra,INFRA BALAJI,EC Granted,EC,
