,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
0,1,SIA/HP/MIN/44549/2019,HPSEIAA/2019/660,Sher Singh Mining Lease area,M/S CHATURBHUJ SCREENING PLANT,EC Granted,EC,
1,2,SIA/HP/MIN/41104/2019,SEIAA/2019/649,Sand Stone and Bajri Mining Project by Smt Roshani Devi,SAND STONE AND BAJRI MINING PROJECT BY SMT ROSHANI DEVI,EC Granted,EC,
2,3,SIA/HP/MIN/59916/2016,HPSEIAA/2016/531,"sand,boulder and bajri mining project by smt shubhlata sharma at mauza/mohal mohakhampur nawada",SAND BOULDER AND BAJRI MINING PROJECT BY SMT SHUBHLATA SHARMA,EC Granted,EC,
3,4,SIA/HP/MIN/291256/2022,HPSEIAA/2023/1055,Stone Mining Project”Khasra No. 5&7 by Dixit Keprate S/o Sh. Hariman Prakash,DIXIT KEPRATE,EC Granted,EC,
4,5,SIA/HP/MIN/414772/2023,HPSEIAA/2021/828,"Extraction of Sand, Stone and Bajri",NAVEEN KUMAR,EC Granted,EC,
5,6,SIA/HP/MIN/86868/2018,HPSEIAA/2018/599,Sand stone and Bajri Mining project by M/s Bitta Stone Crusher,SAND STONE AND BAJRI MINING PROJECT BY BITTA STONE CRUSHER,EC Granted,EC,
6,7,SIA/HP/MIN/52161/2019,HPSEIAA/2020/724,"Mining of Sand, Stone & Bajri from Yamuna River proposed by Sh Kush Parmar",KUSH PARMAR,Delisted,EC,
7,8,SIA/HP/MIN/161017/2020,HPSEIAA/2020/742,M/s Sianj Valley Sand & Stone Crusher,M/S SIANJ VALLEY SAND & STONE CRUSHER,EC Granted,EC,
8,9,SIA/HP/MIN/280979/2022,HPSEIAA/2022/960,Sh. Rakesh Singh Mining Area,RAKESH SINGH,Delisted,EC,
9,10,SIA/HP/MIN/52887/2016,HPSEIAA/486,PANCHAM SINGH,PANCHAM SINGH,EC Granted,EC,
0,11,SIA/HP/MIN/55639/2016,HPSEIAA/2016/510,"Mining of Sand, Stone & Bajri from Pali Khad, located at Mauza/Mohal Nawan Nagar, Tehsil Nalagarh, District Solan, HP.  Proposed by Sh. Sunil Kumar Garg  Prop. M/s Aggarwal Stone Crusher.",MS AGGARWAL STONE CRUSHER,Delisted,EC,
1,12,SIA/HP/MIN/63560/2017,,Mauza / Mohal Bella Indora mining Project,EIAASHWANI KUMAR,TransferToDEIAA,EC,
2,13,SIA/HP/IND2/176745/2020,HPSEIAA/2020/771,"Onshore Oil and Gas Exploration, Appraisal and Early Production in Block HF-ONHP-2017/1 in Mandi & Bilaspur Districts, Himachal Pradesh",M/s Vedanta Limited(Division Cairn Oil & Gas),ADS by SEAC,EC,
