,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
0,1,SIA/KA/NCP/60092/2016,SEIAA 166 CON 2016,"Proposed Residential Apartment project at Sy. No. 78/2, 78/3 of Iggaluru village, Chandapur Hobli, Anekal Taluk and Sy. No. 308, 308/2, 309/2, 311/1 and Site no. 7 at Marsur village, Kasaba Hobli, Anekal Taluk, Bangalore.",M/S. SIPANI PROPERTIES PRIVATE LIMITED,EC Granted,EC,
1,2,SIA/KA/MIN/161287/2020,SEIAA 252 MIN 2020,Pink Granite Quarry of,BUILDING STONE QUARRY OF A. HONNURAPPA ( 2.00 ACRES),EC Granted - Processed offline,EC,
2,3,SIA/KA/MIN/162853/2020,SEIAA 256 MIN 2020,“Sulthanpura Building Stone Quarry” of Sri. Vijayabhaskar Reddy,SRI. VIJAYABHASKAR REDDY,EC Granted - Processed offline,EC,
3,4,SIA/KA/NCP/71005/2017,SEIAA 125 CON 2017,REGENCY - SILVER WHISPER,ASHED PROPERTIES INVESTMENTS PVT LTD,EC Granted,EC,
4,5,SIA/KA/NCP/71019/2017,,"Proposed Residential Apartment project by M/s. Sekhar Builders and Infratech Pvt Ltd., at Sy. No 90, of Dommasandra Village, Bidarahalli Hobli, Bangalore East Taluk, Bangalore Urban District",MS SEKHAR BUILDERS AND INFRATECH PVT LTD,Delisted,EC,
5,6,SIA/KA/MIN/32693/2015,,"“Shahabad Stone Quarry” of Sri. Lal Ahmed at Sy No: 58/6, Kontanapalli Village, Sedam Taluk, Kalburgi District, Karnataka. Extent: 1-00 Acres",LAL AHMED,Delisted,EC,
6,7,SIA/KA/MIN/33044/2015,SEIAA 1478 MIN 2015,"“Shahabad Stone Quarry” over an extent of 1-00 Acres at Sy No. 98/7, Miryan Village, Chincholi Taluk, Gulbarga District, Karnataka.",ABDUL RAOUF,EC Granted,EC,
7,8,SIA/KA/NCP/71638/2017,,"proposed Residential Apartment project by M/s. M N Landmaark, at Katha No. 43/13 & 14/1, Sy. No 13 & 14/1 at Kenchanahalli Village, Kengeri Hobli, Bangalore South Taluk, Bangalore Urban District",MS M N LANDMAARK,Delisted,EC,
8,9,SIA/KA/NCP/71709/2017,SEIAA 151 CON 2017,"proposed Residential Apartment project by Sri HT Narayana Reddy & Smt M Rathna, at Katha No. 417, Sy No. 9/2 at Hoodi Village, KR Puram Hobli, Bangalore East Taluk, Bangalore Urban District",H T NARAYANA REDDY AND M RATHNA,EC Granted,EC,
9,10,SIA/KA/MIN/4154/2015,SEIAA 1444 MIN 2015,"M/s. ""DESHAVALLI CLUSTER"" ASSOCIATION",DESHAVALLI CLUSTER ASSOCIATION OF GRANITE QUARRIES,EC Granted,EC,
10,11,SIA/KA/MIN/4512/2015,SEIAA 1500 MIN 2015,"MULTI COLOUR GRANITES QL.NO,858",SREE MURUGAN GRANITES,EC Granted,EC,
11,12,SIA/KA/MIS/17021/2015,,Construction of Fishing Harbor and Training walls for Development of Fish landing Centres at Hejmadikodi Village,DEPARTMENT OF FISHERIES,TransferToDEIAA,EC,
12,13,SIA/KA/NCP/58519/2016,,Proposed Residential Apartment by M/s. Royaume Builders and Promoters Pvt Ltd,MS ROYAUME BUILDERS AND PROMOTERS PVT LTD,Delisted,EC,
13,14,SIA/KA/MIN/4397/2015,SEIAA 1484 MIN 2015,Proposed Seethalahari Building Stoone Quarry,NHV RAMRAO,EC Granted,EC,
14,15,SIA/KA/MIN/34302/2015,SEIAA 1569 MIN 2015,"“Shahabad Stone Quarry” over an extent of 0-30 Acres at Sy No. 187/2, Madakal Village, Sedam Taluk, Kalburgi District, Karnataka",VENKATREDDY,EC Granted,EC,
15,16,SIA/KA/NCP/58842/2016,SEIAA 137 CON 2016,Modification of Residential Apartment with Club House,CHANGAMA RAJU FOUNDATION,EC Granted,EC,
16,17,SIA/KA/MIS/17021/2015,,Construction of Fishing Harbor and Training walls for Development of Fish landing Centres at Hejmadikodi Village,DEPARTMENT OF FISHERIES,Pending at PP due to eds,EC,
