,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
0,1,SIA/MP/MIN/60179/2016,5479/2016,BHOINDA RIVER SAND QUARRY AREA 13.139 HECT,DIGIANA INDUSTRIES PVT LTD,EC Granted,EC,
1,2,SIA/MP/MIN/60180/2016,5473/2016,GHATBADYA KHODU BHARU SAND MINING AREA 8.612 HECT,DIGIANA INDUSTRIES PVT LTD,Delisted,EC,
2,3,SIA/MP/MIN/198416/2021,8359/2021,Umariya  Sand Deposit Quarry,M/S DHANLAXMI MERCHANDISE PRIVATE LIMITED,EC Granted,EC,
3,4,SIA/MP/MIN/38463/2019,6435/2019,bachhon flag stone quarry deposit,MUKESH VISHWAKARMA,EC Granted,EC,
4,5,SIA/MP/MIN/36267/2015,,NIMKHIRIYA SAND STONE QUARRY APPLICANT SHRI KK SHARMA,K K SHARMA,Delisted,EC,
5,6,SIA/MP/MIN/36306/2015,,"1.720 Hectare Bhadawar Stone Quarry Of
Shri Moti Lal Bajaj
At
Vill.- Bhadawar, Teh.- Badwara , Dist.- Katni (M.P.)",MOTILAL BAJAJ,Delisted,EC,
6,7,SIA/MP/MIN/36307/2015,,"Jakhoda Flag Stone Quarry

Mining Project:-Category ‘B2’
Area: 1.00 Hectare 
Khasra No. 968
Vill. – Jakhoda, Tehsil- Ghatigaon,
District- Gwalior (Madhya Pradesh)",PRAKASH SINGH AT VILLAGE JAKHODA TEHSIL GHATIGAON DISTRICT GWALIOR,Delisted,EC,
7,8,SIA/MP/MIN/36308/2015,,"Jakhoda Flag Stone Quarry Mining Project:-Category ‘B2’ Area: 0.742 Hectare Khasra No. 979 Vill. – Jakhoda, Tehsil- Ghatigaon, District- Gwalior (Madhya Pradesh)",SMT SHAVI ADIWASI AT VILLAGE JAKHODA TEHSIL GHATIGAON DISTRICT GWALIOR,Delisted,EC,
8,9,SIA/MP/MIN/40596/2016,,"Malwasa Soil(Temporary Permit) Quarry (For the Construction of Road) OF
Shri Krishna Construction Company AT Khasra No.319
Vill.-Malwasa, Tehsil-Agar, District-Agar Malwa (M.P.)
Production Capacity: 60000 Cu.mt Soil for 18 Months
Area – 2.00 Hect",SHRI KRISHNA CONSTRUCTION COMPANY PARTNER SHRI RUPESH JANGID,TransferToDEIAA,EC,
9,10,SIA/MP/MIN/40722/2016,,"Environmental Clearance for Nawapada Stone Deposit   M/s Sherani Stone crsuher Shri Abdul Samad Sherani
Resi. Village- Megnagar Distt. Jhabua (MP)",MINING,Delisted,EC,
0,11,SIA/MP/MIN/37540/2015,,Lakhwinder Singh,LAKHWINDER SINGH,Delisted,EC,
1,12,SIA/MP/MIN/37545/2015,,"METAL STONE QUARRY LEASE
AREA 1.420HECT
KHASRA NO 444/6
VILLAGE MAJHGANWA 
TEHSIL PUSHPRAJ GARH
DISTRICT ANNUPPUR
PROPONENT NAME 
SMT PRATIMA SINGH",CRUSHER STONE MINING,Delisted,EC,
2,13,SIA/MP/MIN/37557/2015,,Kalyansi Khedi Basalt Stone & Murram Quarry,SHRI SANJAY AGARWAL,Delisted,EC,
3,14,SIA/MP/MIN/37568/2015,,"LOUWA CRUSHER STONE QUARRY
AREA 1.210 HECT
KHASRA NO 25,30
VILLAGE- LAUWA
TEHSIL-SIHAWAL
 DISTRICT-SIDHI
PROPONENT NAME 
M/S DALA STONE CRUSHER",CRUSHER STONE MINING,Delisted,EC,
4,15,SIA/MP/MIN/37580/2015,,"TARANG BASALT STONE QUARRY
VILL TARANG TH PUSHPRAJGARGH DIST ANUPPUR MP AREA 3.710 HA KH NO 484/1KA PRODUCTION 19830 CUM PER YEAR LESSEE DHENA NAYAK S/O SHRI KHEMA NAYAK R/O VILL SARAI POST KHAMROD TH PUSHPRAJGARGH DIST ANUPPUR MP",CRUSHER STONE MINING,Delisted,EC,
5,16,SIA/MP/MIN/37636/2015,,"NAIHEDA RIVER SAND DEPOSIT
VILLAGE- NAIHEDA
TH- RAJGARH
DISTT- RAJGARH
MP
AREA- 24.000 HECTARE
KH.NO.- 01
15000 CUM/YEAR
LESSEE- SHRI JASWANT SINGH
R/O- VILL- NAIHEDA
TEHSIL AND DISTRICT- RAJGARH
MP",CRUSHER STONE MINING,Delisted,EC,
6,17,SIA/MP/MIN/37645/2015,,"Project Crusher Stone Quarry 
At Khasra no-142 area-0.846
M/S-Smaiya Crusher Stone
Prop.-Anurag Jain
Resi-Nadna Tola Th- Amarpatan
Dist-Satna",DHEERAJ ASSOCIATE MINING,Delisted,EC,
7,18,SIA/MP/MIN/169945/2020,,Bhanpura Stone Quarry,"SHRI SANJAY AGRAWAL, S/O SHRI MOTILAL AGRAWAL",Delisted,EC,
8,19,SIA/MP/MIN/50546/2016,,"Payli Soil Quarry
Mining Project:-Category ‘B2’
Area: 0.534 Hectare (1.32 Acre)
Khasra No. 237
Vill. – Payli , Tehsil- Balaghat,
District- Balaghat (Madhya Pradesh)",SMT VIMLA PATEL WO SHRI ARVIND PATEL,Delisted,EC,
9,20,SIA/MP/MIN/36970/2015,,"Environmental Clearance for Bihirna Crusher Stone Deposit Quarry, lease area- 2.00 Ha Lease period – 10 year,Balaji Stone Crusher,Resi. 118, New Adarsh Nagar, Balkeshwar, Agra (U.P.)",mining of minerals,Delisted,EC,
0,21,SIA/MP/MIN/73139/2018,,MURARAKHEDI SAND MINE,SARPANCH GRAM PANCHYAT,Delisted,EC,
1,22,SIA/MP/MIN/90189/2019,,CRUSHER STONE QUARRY VILLAGE PITAWALI,T N C ENTERPRISES PARTNE JITENDRA SINGH CHAUHAN,Delisted,EC,
2,23,SIA/MP/MIN/90554/2019,6182/2019,Sand Quarry (Private Land) T.P. Village Rampurghat,GIRRAJ SHARMA,EC Granted,EC,
3,24,SIA/MP/MIN/48953/2016,,"project Bamanbardi chip Crusher Stone  quarry Deposit at Khasra no. 491 in  Village – Bamanbardi chip, Tehsil – Neemuch & District - Neemuch Mr. Lokpal singh,   Res. – Bamanbardi 42 gandhinagar , District – Neemuch",DHEERAJ ASSOCIATE MINING,Delisted,EC,
4,25,SIA/MP/RIV/20685/2017,5528/2017,Balwada Micro Irrigation Scheme,CHIEF ENGINEER LOWER NARMADA PROJECTS,EC Granted,EC,
5,26,SIA/MP/MIN/54704/2018,5681/18,Capacity expansion & Modernization of 24.288ha Miragpur Mn Mine,D P RAI,EC Granted,EC,
6,27,SIA/MP/MIN/32380/2018,6045/2019,karra stone quarry,JITENDRA MORE,EC Granted,EC,
7,28,SIA/MP/MIN/32421/1900,6044/19,Agariya Metal Stone,KAILASH KUMAR PAL,EC Granted,EC,
8,29,SIA/MP/MIN/32482/2018,6060/19,dand stone quarry,SADHNA GUPTA,EC Granted,EC,
9,30,SIA/MP/MIN/32494/2019,6250/2019,"3.50  Hectare Mahugadi Pawai  Stone Quarry Kh. No.- 55,57,58 ,Village- Mahugadi Pawai , Tehsil- Chitrangi Dist.-Singrouli (M.P)",M/S : K.V. TECHNO SOLUTION PVT.LTD,EC Granted,EC,
0,31,SIA/MP/MIN/36606/2015,,"Khomraha White Clay Mine
Area - 9.186 ha",SHRIKRISHANDASTIKARAM,Delisted,EC,
1,32,SIA/MP/MIN/36636/2015,,"The applicant Smt. Prabha Kelwa 
Resident of Mahidpur dist. Ujjain (M.P.) has sanctioned her stone quarry lease at village Banjari on survey no. 571/1 over an area of 0.70 hac. land needs EC",CK DOSHI,Delisted,EC,
2,33,SIA/MP/MIN/36637/2015,,Bharaulifireclaymine,SHARAD KUMAR DUBEY,Delisted,EC,
