,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
0,1,SIA/MH/IND2/199781/2021,SIA/MH/IND2/199781/2021,"EC for proposed expansion by Harman Finochem Limited, Plot Nos. E-7, E-8, E-9, MIDC Chikalthana, Aurangabad- 431006, State - Maharashtra",HARMAN FINOCHEM LIMITED,EC Granted,EC,
1,2,SIA/MH/MIN/93942/2019,,HINGANA TAMASWADI SAND GHAT TQ AKOLA OVER RIVER PURNA,TAHSILDAR SGY AKOLA,Disposed through earlier site ec-ecmpcb-in,EC,
2,3,SIA/MH/MIN/94019/2019,,Pilakwadi Sand Ghat over Purna river Dist Akola,TAHSILDAR SGY AKOLA,Disposed through earlier site ec-ecmpcb-in,EC,
3,4,SIA/MH/MIS/52170/2018,SIA/MH/MIS/52170/2018,Raheja Vistas Premiere,M/S INORBIT MALLS (INDIA) PVT. LTD.,EC Granted,EC,
4,5,SIA/MH/MIN/161610/2020,SIA/MH/MIN/161610/2020,Mangaon River Bed Sand Mining Project,"DISTRICT MINING OFFICER, CHANDRAPUR",EC Granted,EC,
5,6,SIA/MH/MIN/161733/2020,SIA/MH/MIN/161733/2020,Kolari River Bed Sand Mining Project,"DISTRICT MINING OFFICER, CHANDRAPUR",Rejection Letter Granted,EC,
6,7,SIA/MH/MIN/161782/2020,SIA/MH/MIN/161782/2020,Environmental Clearance for proposed river bed Sand mining having area 4.00 Ha ( 9.884 acre) of Ramdongri-B sand ghat on Kanhan River,"DISTRICT MINING OFFICER, NAGPUR",EC Granted,EC,
7,8,SIA/MH/IND2/20788/2016,,"Proposed expansion of Sugar Plant from 2500 TCD to 6000 TCD at gut no. 148, 206, Dattatraynagar, A/P Pargaon Via Awasan Bk., Tal. Ambegaon, Dist. Pune",BHIMA SHANKAR SAHAKARI SAKHAR KARKHANA LIMITED,Disposed through earlier site ec-ecmpcb-in,EC,
8,9,SIA/MH/MIN/163279/2020,SIA/MH/MIN/163279/2020,"Roha sand spot over an extent of 4.9 ha. at Wainganga River Bed Gut. 1314, 1315, 1316, 1317, 1318 & 1319,Roha Village, Mohadi Tehsil, Bhandara District,Maharashtra.","OFFICE OF THE COLLECTORATE, BHANDARA",EC Granted,EC,
9,10,SIA/MH/MIN/163324/2020,SIA/MH/MIN/163324/2020,Environmental Clearance for proposed river bed Sand mining having lease area 0.12 Ha (0.2964acre) of Hingni  sand ghat on Gaymukh river.,"DISTRICT MINING OFFICER,AMRAVATI",Rejection Letter Granted,EC,
0,11,SIA/MH/MIN/181906/2020,SIA/MH/MIN/181906/2020,"Satral sand spot over an extent of 2.0 ha.(Mineable Area-1.50 ha. & Non-Mineable Area-0.50 ha.) at Pravara River Bed Gut. No. 70,71,75,76,78,79,80, & 94  Satral Village, Rahuri Tehsil, Ahmednagar District, Maharashtra.",COLLECTOR AHMEDNAGAR,EC Granted,EC,
1,12,SIA/MH/MIS/58051/2020,SIA/MH/MIS/58051/2020,Proposed Residential & commercial Project,R RETAIL VENTURES PRIVATE LIMITED,Delisted,EC,
2,13,SIA/MH/MIN/182211/2020,SIA/MH/MIN/182211/2020,"Digras.1 Sand spot over an extent of, 3.85HA (MINEABLE AREA-2.89 HA & NON-MINEABLE AREA-0.96 HA),At Godavari River Bed Gut No.10-12,1,2,20,21,23,29 ,Digras Village, Tehsil-Parli, Beed District, Maharashtra.",COLLECTOR BEED,Rejection Letter Granted,EC,
3,14,SIA/MH/NCP/29800/2015,,Expansion of ‘‘ACME BOULEVARD’’ - Proposed Redevelopment Project by M/s. Acme Realties Pvt. Ltd,ACME REALTIES PVT. LTD.,Disposed through earlier site ec-ecmpcb-in,EC,
4,15,SIA/MH/NCP/59131/2016,SEIAA/2017/II/CR-53/TC-3,"WATER TREATMENT PLANT & ALLIED FACILITIES at CTS no. 13-16 of village Klerabad, Tal. Kurla, Bhandup (W).",MUNICIPAL CORPORATION OF BRIHAN MUMBAI,Disposed through earlier site ec-ecmpcb-in,EC,
5,16,SIA/MH/NCP/73690/2018,,"Proposed Residential Development “Jasdan Altezza” at Byculla, Mumbai",JASDAN CONSTRUCTION PRIVATE LIMITED,Disposed through earlier site ec-ecmpcb-in,EC,
6,17,SIA/MH/MIN/147964/2020,SIA/MH/MIN/147964/2020,Zardust Marzban Bharucha,ZARDUST MARZBAN BHARUCHA,EC Granted,EC,
7,18,SIA/MH/MIN/161543/2020,SIA/MH/MIN/161543/2020,Environmental Clearance for proposed river bed Sand mining having lease area 0.20ha (0.49 acre) of Khargi sand ghat on Bandiya River,"DISTRICT MINING OFFICER, GADCHIROLI",Rejection Letter Granted,EC,
8,19,SIA/MH/MIN/161565/2020,SIA/MH/MIN/161565/2020,Environmental Clearance for proposed river bed Sand mining having lease area 0.40ha (0.98 acre) of Chichgundi sand ghat on Pranihita River,"DISTRICT MINING OFFICER, GADCHIROLI",Rejection Letter Granted,EC,
9,20,SIA/MH/MIN/161680/2020,SIA/MH/MIN/161680/2020,"Gudegaon  sand spot over an extent of 3.0 ha. At Wainganga River Bed Gut No.  175,176, 177, 178, 180 &189(partly) Gudegaon Village, pauni Tehsil, Bhandara District, Maharashtra.","OFFICE OF THE COLLECTORATE, BHANDARA",EC Granted,EC,
0,21,SIA/MH/MIN/32729/2015,SEIAA/2015/I/CR428/TC-3,Yernda-1 sand ghat,COLLECTOR YAVATMAL DISTRICT,Disposed through earlier site ec-ecmpcb-in,EC,
1,22,SIA/MH/MIN/32739/2015,SEIAA/2015/I/CR436/TC-3,Sangam sand ghat,COLLECTOR YAVATMAL DISTRICT,Disposed through earlier site ec-ecmpcb-in,EC,
2,23,SIA/MH/MIN/32752/2015,SEIAA/2015/I/CR449/TC-3,Punwat-1 Sand ghat,COLLECTOR YAVATMAL DISTRICT,Disposed through earlier site ec-ecmpcb-in,EC,
3,24,SIA/MH/MIN/32761/2015,SEIAA/2015/I/CR458/TC-3,Durbha sand ghat,COLLECTOR YAVATMAL DISTRICT,Disposed through earlier site ec-ecmpcb-in,EC,
4,25,SIA/MH/MIN/32921/2015,SEIAA/2015/I/CR478/TC-3,Mouda Ciknaghat  Sand ghat auction,COLLECTOR NAGPUR,Disposed through earlier site ec-ecmpcb-in,EC,
5,26,SIA/MH/MIN/32924/2015,SEIAA/2015/I/CR480/TC-3,Panmara Sand ghat auction,COLLECTOR NAGPUR,Disposed through earlier site ec-ecmpcb-in,EC,
6,27,SIA/MH/NCP/61690/2017,SEIAA/2017/II/CR-118/TC-3,"Proposed residential project at Plot no 3/3/A,phase 3,rajiv gandhi infotech park.Hinjewadi,Pune by Hubtown Ltd.",HUBTOWN LTD,Disposed through earlier site ec-ecmpcb-in,EC,
7,28,SIA/MH/MIS/104562/2019,,Maple City,SHREE CHINTAMANI ENTERPRISES,Disposed through earlier site ec-ecmpcb-in,EC,
8,29,SIA/MH/MIN/171692/2020,SIA/MH/MIN/171692/2020,Environment Clearanc for Gaundgao Sand Ghat,DMOLATUR,Rejection Letter Granted,EC,
9,30,SIA/MH/NCP/51175/2016,SEIAA/2016/III/CR276/TC-3,"Proposed Commercial Construction project
'Runwal REGALIA' by M/s Runwal Erectors Pvt Ltd At Survey no.153A/1 to
4/1/1 & Survey No.153A/1 to 4/1, Hadapsar, Pune",RUNWAL ERECTORS PVT LTD,Disposed through earlier site ec-ecmpcb-in,EC,
0,31,SIA/MH/MIS/123754/2019,SIA/MH/MIS/123754/2019,“Construction of Residential EWS Scheme for PPP Model PMAY (Pradhan Mantri Awas Yojana) Scheme” by M/s. P. M. Infraventures.,P. M. INFRAVENTURES,EC Granted,EC,
1,32,SIA/MH/MIN/45761/2019,SIA/MH/MIN/45761/2019,"Masod Stone Quarry of Sh. Rajesh Ghanshyamdas Kasat, located in Kh No. 291 (P), Village- Masod, Tehsil- Amravati, Dist - Amravati over an area of 1.60 Ha","MASOD STONE QUARRY OF SH. RAJESH GHANSHYAMDAS KASAT, LOCATED IN KH NO. 291 (P), VILLAGE- MASOD, TEHSIL- AMRAVATI, DIST - AMRAVATI OVER AN AREA OF 1.60 HA.",EC Granted,EC,
2,33,SIA/MH/MIS/124567/2019,SIA/MH/MIS/124567/2019,"Environment Clearance for proposed expansion in mall & theatre building (Maxus Mall) on plot bearing S. No. 574/1 (pt.) 2, 675/10, 676/1A, 1B, 5,677/1, 2, 3, 3A, 4, 5, 6, 7A, 7B, 7C, 7D, 678/1 (pt.) 2",SHREEJI EXHIBITORS,Delisted,EC,
3,34,SIA/MH/MIN/162458/2020,SIA/MH/MIN/162458/2020,Environmental Clearance for proposed river bed Sand mining having lease area 1.23 ha (3.04 acre) of Yegaon sand ghat on Kayadhu River,"DISTRICT MINING OFFICER,HINGOLI",EC Granted,EC,
4,35,SIA/MH/IND2/176954/2020,SIA/MH/IND2/176954/2020,"Manufacturing of API Products at Plot No. E-10, MIDC Chincholi, Solapur Maharashtra by M/s Nakoda Chemicals Limited",NAKODA CHEMICALS LIMITED,Rejection Letter Granted,EC,
5,36,SIA/MH/MIS/178114/2020,SIA/MH/MIS/178114/2020,"Proposed Project ""ANTALYA"" at Kalegaon, Pune by Krish RestNest LLP",KRISH RESTNEST LLP,Delisted,EC,
6,37,SIA/MH/MIS/53394/2016,SEIAA/2016/II/CR338/TC-3,"“KARM PANCHTATVA 3” Residential Township Project located on plot bearing  S. No. 55, 93, 94, 107-A, Village- Kasgaon, Tehshil- Shahpur, District – Thane, 421601(MS)",KARRM INFRASTRUCTURE PVT LTD,Disposed through earlier site ec-ecmpcb-in,EC,
