,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
0,1,SIA/ML/MIN/175260/2020,ML/SEIAA/MIN/EJH/P-102/2020,Shri Thomas Nongtdu's Limestone Mine,THOMAS NONGTDU,EC Granted,EC,
1,2,SIA/ML/MIN/37685/2019,ML/SEIAA/MIN/WGH/P-42/2020,Aguragre Boulder Stone Quarry,ANDREAS T SANGMA,EC Granted,EC,
2,3,SIA/ML/MIN/128952/2019,ML/SEIAA/MIN/RB/P-24/2020,Shelina Stone Mine,SHELINA NONGBRI,EC Granted,EC,
3,4,SIA/ML/MIN/50779/2020,ML/SEIAA/MIN/EJH/P-241/2022,"Mining of limestone from Lease Area (4.58 Ha.)  at Wahlathma, Lumshnong, District East Jaintia Hills, Meghalaya by Shri Kermiky Dkhar.",KERMIKY DKHAR,EC Granted,EC,
4,5,SIA/ML/MIN/174487/2020,ML/SEIAA/MIN/EJH/P-105/2020,Shlur Bareh's Limestone Mine,SHLUR BAREH,EC Granted,EC,
5,6,SIA/ML/MIN/174677/2020,ML/SEIAA/MIN/RB/P-299/2022,Alfonsa Stone Mine,ALFONSA MARY THABAH,Delisted,EC,
6,7,SIA/ML/MIN/36342/2019,,M/S URANUS STONE PRODUCTS AND CO.,FOREST AND ENVIRONMENT DEPARTMENT MEGHALAYA,Delisted,EC,
7,8,SIA/ML/IND/212746/2021,ML.SEIAA/IND/EJH/P-160/2021,"Proposed lower capacity coke plant manufacturing unit having capacity of 20000 TPA of low ash metallurgical coke (met coke) and 3000 TPA of coke breeze at Umtyra Village, East Jaintia Hills District, Meghalaya by M/s Meghalaya Minerals",MEGHALAYA MINERALS,Rejected by SEIAA,EC,
8,9,SIA/ML/MIN/38911/2019,ML/SEIAA/SWGH/P-91/2020,M/s Bharat Bricks,MS BHARAT BRICKS,Delisted,EC,
9,10,SIA/ML/MIN/169110/2020,ML/SEIAA/MIN/NGH/P-83/2020,"WAGEASI STONE MINE, AREA- 2.05 HA., VILLAGE+P.O.- WAGEASI, DIST.- NORTH GARO HILLS , STATE- MEGHALAYA, APPLICANT- SHRI SENGCHANG SANGMA","WAGEASI STONE MINE, AREA- 2.05 HA, VILLAGE + P.O.- WAGEASI, DIST.- NORTH GARO HILLS, STATE- MEGHALAYA, APPLICANT- SHRI SENGCHANG SANGMA",EC Granted,EC,
0,11,SIA/ML/MIN/284070/2022,ML/SEIAA/MIN/EKH/P-289/2022,Ruieng Limestone Mine,EVALYNI KHARBANI,EC Granted,EC,
1,12,SIA/ML/MIN/38911/2019,ML/SEIAA/SWGH/P-91/2020,M/s Bharat Bricks,MS BHARAT BRICKS,Delisted,EC,
2,13,SIA/ML/MIN/169110/2020,ML/SEIAA/MIN/NGH/P-83/2020,"WAGEASI STONE MINE, AREA- 2.05 HA., VILLAGE+P.O.- WAGEASI, DIST.- NORTH GARO HILLS , STATE- MEGHALAYA, APPLICANT- SHRI SENGCHANG SANGMA","WAGEASI STONE MINE, AREA- 2.05 HA, VILLAGE + P.O.- WAGEASI, DIST.- NORTH GARO HILLS, STATE- MEGHALAYA, APPLICANT- SHRI SENGCHANG SANGMA",EC Granted,EC,
3,14,SIA/ML/MIN/165613/2020,ML/SEIAA/MIN/WGH/P-71/2020,Manggapara Stone Mine,SANJAY KOCH,EC Granted,EC,
4,15,SIA/ML/MIN/409198/2022,ML/SEIAA/MIN/WGH/P-323/2022,Manggapara Stone Quarry,KOBERTH MARAK,EC Granted,EC,
5,16,SIA/ML/MIN/152971/2020,ML/SEIAA/MIN/EKH/P-25/2020,Rejoice Chyne's Limestone Mine,REJOICE CHYNE,EC Granted,EC,
