,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
0,1,SIA/OR/IND2/26070/2018,26070/409-IND2/05-2018,GHOSAR OUT STILL LIQUOR MAIN SHOP,BIKRAM KISHORE SAHOO,EC Granted,EC,
1,2,SIA/OR/MIN/49883/2016,49883/1540-NCM/03-2016,"Jiginagam Sand Quarry Over lease area of 5.68 ha located at Village- Jiginagam, Tahasil- Tikabali, District- Kandhamal",RKD CONSTRUCTION PRIVATE LIMITED,Delisted,EC,
2,3,SIA/OR/MIN/49888/2016,49888/1573-NCM/04-2016,"Pankalabadi-A Sand Quarry Over lease area of 5.133 ha/12.683 acres located at Village- Pankalabadi , Tahasil- Dharakote, District- Ganjam",TRILOCHAN BEHERA,EC Granted,EC,
3,4,SIA/OR/MIN/49903/2016,,Beldihi Sand Quarry,PRATAP JAISWAL,Delisted,EC,
4,5,SIA/OR/MIN/41963/2016,41963/1239-NCM/01-2016,NIJAGARH TAPANGA HATIA (UNA BLOCK) CONSTRUCTION STONE QUARRY,DURGAMADHAB BALIARSINGH,Delisted,EC,
5,6,SIA/OR/IND2/20314/2017,20314/43-IND2/10-2017,825 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED MOHANA OS SHOP,MONOJ KUMAR SAHU,EC Granted,EC,
6,7,SIA/OR/IND2/20883/2017,20883/61-IND2/11-2017,1788 Litres per day Mahua flower based country Liquor Manufacturing unit of Podamari Main Out Still Liquor shop at- Podamari Dist- Ganjam.,TRINATH SAHU,EC Granted,EC,
7,8,SIA/OR/MIN/20016/2017,20016/1902-NCM/08-2017,ALARIGADA STONE QUARRY,RABINDRANATH SAHU,EC Granted,EC,
8,9,SIA/OR/MIN/74955/2018,74955/1982-NCM/05-2018,APAMARA SAND QUARRY,SURESH MAHAKUR,EC Granted,EC,
9,10,SIA/OR/IND2/22151/2018,22151/185-IND2/02-2018,"Production of 0.630 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Kansdol Main Out Still Shop at Kansdol, Tahasil- Barpalli, Dist- Bargarh",PRABHASH KUMAR SAHU,EC Granted,EC,
0,11,SIA/OR/MIN/39072/2016,SEIAA/39072/1096-NCM/01-2016,"Betarasingi Stone Quarry Over lease area of 5.440 acres/2.201 ha located at Village- Betarasingi, Tahasil- Buguda, District- Ganjam",K TRILOCHANA DORA,Delisted,EC,
1,12,SIA/OR/MIS/215326/2021,215326/43-MIS/06-2021,"Proposal For Environmental Clearance Of ‘’SIKSHA ‘O’ ANUSANDHAN DEEMED TO BE UNIVERSITY’’ Campus-II [SUM ULTIMATE MEDICARE] At Mouza- Ghatikia, Kalinga Nagar, Bhubaneswar, Odisha",SIKSHA O ANUSANDHAN UNIVERSITY,EC Granted,EC,
