,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
0,1,SIA/TG/MIN/70391/2017,SIA/TG/MIN/70391/2017,M/s.Neellam Builders & Developers,M/S.NEELLAM BUILDERS & DEVELOPERS,EC Granted - Processed offline,EC,
1,2,SIA/TG/MIN/40730/2019,SIA/TG/MIN/40730/2019,"Ms GBR Minerals Pvt. Ltd.,",MS G B R MINERLAS PRIVATE LIMITED,Rejection Letter Granted,EC,
2,3,SIA/TG/MIN/71599/2017,SIA/TG/MIN/71599/2017,"M/s Tulip Granites Pvt Ltd - 5.58Ha
Sy. No 469 & 471, Nagulamalya Village,  Kothapalli Mandal, Karimnagar District, Telangana",M/S. TULIP GRANITES PVT LTD,EC Granted - Processed offline,EC,
3,4,SIA/TG/MIS/115159/2019,SIA/TG/MIS/115159/2019,Abode Constructions,ABODE CONSTRUCTIONS,EC Granted,EC,
4,5,SIA/TG/MIN/36405/2019,SIA/TG/MIN/36405/2019,SRI. JADALA ANJAIAH,SRI. JADALA ANJAIAH,Rejection Letter Granted,EC,
5,6,SIA/TG/NCP/65967/2017,SIA/TG/NCP/65967/2017,M/s. Hyderabad Securities and Enterprises Limited M/s. Hari Sundar Tobacco Threshers Private Limited,VAMSIRAM HOMES,Delisted,EC,
6,7,SIA/TG/IND/45869/2019,SIA/TG/IND/45869/2019,M/S Dilip Re-Rolling Pvt Ltd,CONSAFE SCIENCE INDIA,EC Granted,EC,
7,8,SIA/TG/MIN/125424/2019,SIA/TG/MIN/125424/2019,Fullers Earth Quarry of Sri M. Vishwanatham,SRI M. VISHWANATHAM,EC Granted,EC,
8,9,SIA/TG/NCP/67744/2017,SIA/TG/NCP/67744/2017,"Proposed Construction of “Residential Apartment by M/s Niharika Projects at Khajaguda(V), Serilingampally (M), Ranga Reddy (D), Telangana bearing Sy. No. 51, 52, 53/2”.",NIHARIKA PROJECTS,EC Granted - Processed offline,EC,
9,10,SIA/TG/MIN/59954/2016,SIA/TG/MIN/59954/2016,M/s. Sai Enterprises colour granite,MS SAI ENTERPRISES,Delisted,EC,
0,11,SIA/TG/NCP/74210/2018,SIA/TG/NCP/74210/2018,Honer Estates LLP,HONER ESTATES LLP,EC Granted - Processed offline,EC,
1,12,SIA/TG/MIN/74214/2018,SIA/TG/MIN/74214/2018,Sri Gugulothu Lachiram,PAWAN GRANITES,Delisted,EC,
2,13,SIA/TG/NCP/74216/2018,SIA/TG/NCP/74216/2018,Abacus Real Estate Private Limited,ABACUS REAL ESTATE PRIVATE LIMITED,Rejection Letter Granted,EC,
3,14,SIA/TG/MIN/74239/2018,,Sri Md. Zameer,MD. ZAMEER,Delisted,EC,
4,15,SIA/TG/MIN/74270/2018,,Sri Ch Vasudeva rao,SRI CH VASUDEVA RAO,Delisted,EC,
5,16,SIA/TG/MIN/59669/2016,SIA/TG/MIN/59669/2016,Sri K. Rohan James - 14.97ha - Laterite,SRI K ROHAN JAMES,EC Granted,EC,
6,17,SIA/TG/MIS/106310/2019,SIA/TG/MIS/106310/2019,TITANIA,GHR INFRA,EC Granted,EC,
7,18,SIA/TG/MIN/145149/2020,SIA/TG/MIN/145149/2020,Sri Boggarapu Sanjay-3.80 Ha of Black Granite Quarry,SRI BOGGARAPU SANJAY,EC Granted,EC,
8,19,SIA/TG/IND2/168574/2020,,Proposed Expansion of LPG Storage from 2300 MT to 4700 MT by installing 2x1200 MT Mounded Storage Vessels at Cherlapally LPG Bottling Plant of Indian Oil Corporation Ltd,INDIAN OIL CORPORATION LIMITED ANDHRA PRADESH STATE OFFICE,Delisted,EC,
9,20,SIA/TG/IND2/171012/2020,SIA/TG/IND2/171012/2020,Establish of Active Pharma Ingredients (Bulk Drugs and Intermediates) Manufacturing Unit of capacity 9.7 TPD by M/s. Dasha Pharmaceuticals Pvt. Ltd,DASHA PHARMACEUTICALS PVT. LTD.,EC Granted,EC,
0,21,SIA/TG/MIN/175581/2020,SIA/TG/MIN/175581/2020,"Proposed River Sand Mining Project for mining of ordinary sand over an Extent of 4.80 ha in Ramanjapuram (Suraveedu) village, Venkatapuram Mandal, Mulugu District, Telangana State",M/S TSMDC LTD,EC Granted,EC,
1,22,SIA/TG/MIN/57121/2016,,M//s HII-TECH ROCK PRODUCTS & AGGREGATES LIIMIITED,HI TECH ROCK PRODECTS AND AGGREEGATES LTD,TransferToDEIAA,EC,
2,23,SIA/TG/MIN/45295/1900,SIA/TG/MIN/45295/1900,Sri P. Krishna Reddy,SRI P. KRISHNA REDDY,EC Granted,EC,
3,24,SIA/TG/MIN/168880/2020,,M/s. Md. Moin Metal Industry,M/S. MOHD. MOIN METAL INDUSTRY,Delisted,EC,
4,25,SIA/TG/MIN/72453/2018,SIA/TG/MIN/72453/2018,Swarnareth Minerals Industries,SWARNARETHMINERALS INDUSTRIES,EC Granted - Processed offline,EC,
5,26,SIA/TG/NCP/63918/2017,SIA/TG/NCP/63918/2017,Divyasree Orion B8,DIVYASREE NSL INFRASTRUCTURE PVTLTD,EC Granted,EC,
6,27,SIA/TG/NCP/63984/2017,SIA/TG/NCP/63984/2017,"Vazhraa Nirmaan Pvt. Ltd.,",VAZHRAA NIRMAAN PVT. LTD.,EC Granted,EC,
7,28,SIA/TG/MIN/59353/2016,SIA/TG/MIN/59353/2016,"G.Vijayendra Goud ,Laterite Mine",G VIJAYENDRA GOUD,EC Granted,EC,
8,29,SIA/TG/MIN/59360/2016,SIA/TG/MIN/59360/2016,"Smt Joguraju Swapna ,Laterite Mine",SMT JOGURAJU SWAPNA,EC Granted,EC,
9,30,SIA/TG/MIN/59383/2016,SIA/TG/MIN/59383/2016,"M. Laxman Rao, Laterite Mine",LAKSHMAN RAO M,EC Granted,EC,
0,31,SIA/TG/NCP/73599/2018,SIA/TG/NCP/73599/2018,"Proposed New Residential Building of 
M/s JAAGRUTHI CONSTRUCTIONS",M/S JAAGRUTHI CONSTRUCTIONS,EC Granted - Processed offline,EC,
1,32,SIA/TG/MIS/73616/2018,SIA/TG/MIS/73616/2018,"Proposed Construction of “Dormitories by Sahaj Marg Spirituality Foundation bearing Sy. No. 112/Part at Chegur(V), Nandigama (M), RangaReddy (D), Telangana.",SAHAJMARG SPIRITUALITY FOUNDATION  AT CHEGUR MANDAL,EC Granted - Processed offline,EC,
2,33,SIA/TG/NCP/73619/2018,SIA/TG/NCP/73619/2018,Building - 22,"SUNDEW PROPERTIES LTD.,",EC Granted - Processed offline,EC,
3,34,SIA/TG/MIN/73624/2018,SIA/TG/MIN/73624/2018,M/s. Anjali Puthra Granite,ANJALI PUTHRA GRANITE,EC Granted - Processed offline,EC,
4,35,SIA/TG/MIS/105662/2019,SIA/TG/MIS/105662/2019,M/s Navya Developers,M/S NAVYA DEVELOPERS,EC Granted,EC,
5,36,SIA/TG/MIS/105927/2019,SIA/TG/MIS/105927/2019,IHHR Hospitality (Andhra) Private Limited,IHHR HOSPITALITY (ANDHRA) PRIVATE LIMITED,Delisted,EC,
6,37,SIA/TG/MIN/38573/2019,SIA/TG/MIN/38573/2019,Sri. T. Venkateshwarlu,SRI. T. VENKATESHWARULU,WithdrawEC,EC,
7,38,SIA/TG/MIN/74474/2018,,M/s. Abhishek Granites Industries-1.0ha,M/S. ABHISHEK GRANITES INDUSTRIES,Delisted,EC,
8,39,SIA/TG/MIN/211059/2021,SIA/TG/MIN/211059/2021,"Mining of ordinary sand over an Extent of 4.99 ha in Godavari River at Edujarlapalli village, Wazeedu Mandal, Mulugu District, Telangana State",M/S TSMDC LTD,EC Granted,EC,
9,40,SIA/TG/MIS/187648/2020,SIA/TG/MIS/187648/2020,Magna Meadows LLP,MAGNA MEDOWS LLP,EC Granted,EC,
0,41,SIA/TG/MIS/174640/2020,SIA/TG/MIS/174640/2020,M/s Cascade Enterprises Pvt. Ltd.,CASCADE ENTERPRISES PVT.LTD.,Delisted,EC,
1,42,SIA/TG/NCP/57667/2016,SIA/TG/NCP/57667/2016,"The HUB By M/s. WL Structures Pvt. Ltd.,",WL STRUCTURES PVT LTD,Delisted,EC,
2,43,SIA/TG/MIN/71646/2017,SIA/TG/MIN/71646/2017,M/s. Khammam Granite Private Limited-10.52ha,M/S. KHAMMAM GRANITE PRIVATE LIMITED,Delisted,EC,
3,44,SIA/TG/IND2/171248/2020,SIA/TG/IND2/171248/2020,M/S VEN SAI LABORATORIES,M/S VEN SAI LABORATORIES,Rejection Letter Granted,EC,
4,45,SIA/TG/MIN/171274/2020,SIA/TG/MIN/171274/2020,M/s. Rasun Exports Pvt. Ltd.,M/S. RASUN EXPORTS PVT. LTD.,Delisted,EC,
5,46,SIA/TG/NCP/63918/2017,SIA/TG/NCP/63918/2017,Divyasree Orion B8,DIVYASREE NSL INFRASTRUCTURE PVTLTD,EC Granted,EC,
6,47,SIA/TG/NCP/63984/2017,SIA/TG/NCP/63984/2017,"Vazhraa Nirmaan Pvt. Ltd.,",VAZHRAA NIRMAAN PVT. LTD.,EC Granted,EC,
7,48,SIA/TG/MIN/59353/2016,SIA/TG/MIN/59353/2016,"G.Vijayendra Goud ,Laterite Mine",G VIJAYENDRA GOUD,EC Granted,EC,
8,49,SIA/TG/MIN/59360/2016,SIA/TG/MIN/59360/2016,"Smt Joguraju Swapna ,Laterite Mine",SMT JOGURAJU SWAPNA,EC Granted,EC,
9,50,SIA/TG/MIN/59383/2016,SIA/TG/MIN/59383/2016,"M. Laxman Rao, Laterite Mine",LAKSHMAN RAO M,EC Granted,EC,
0,51,SIA/TG/MIN/87076/2018,,M/s. Shashi Granites,M/S. SHASHI GRANITES,Delisted,EC,
1,52,SIA/TG/MIN/74412/2018,,"M/s. K.Yellaiah & Sons, Partner. Sri. K.Sudharshan 9.00Ha, Bichkunda Village, Bichkunda Mandal, Nizamabad District",K.YELLAIAH & SONS,Delisted,EC,
2,53,SIA/TG/NCP/74425/2018,SIA/TG/NCP/74425/2018,GMR Retail,GMR HYDERABAD AEROTROPOLIS LIMITED (GHAL),EC Granted - Processed offline,EC,
3,54,SIA/TG/IND2/25169/1900,SIA/TG/IND2/25169/1900,,GRANULES INDIA LIMITED,EC Granted - Processed offline,EC,
4,55,SIA/TG/MIN/74491/2018,,m/s. Sree Hanu Deepika Granites,SREE HANU DEEPIKA GRANITES,Delisted,EC,
5,56,SIA/TG/MIN/74501/2018,,"1.00 Ha. of Rough Stone & Road Metal  Mine of  M/s. Chaitanya Metal Industries.,
Sy.No. 186
Kasarabad Village, 
Suryapet Mandal,
Suryapet District, 
Telangana.",BOMMA KRISHNA CHAITANYA,Delisted,EC,
6,57,SIA/TG/IND2/166923/2020,SIA/TG/IND2/166923/2020,Srini Pharmaceuticals Private Limited,SRINI PHARMACEUTICALS PRIVATE LIMITED,EC Granted,EC,
