,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
0,1,SIA/UP/IND2/30336/2018,4604,"Proposed integrated paint plant at Plot no. B4 and B5 of Sandila Industrial area, Phase I, District Hardoi, UP by M/S. Berger Paints India Limited",BERGER PAINTS INDIA LIMITED,EC Granted,EC,
1,2,SIA/UP/MIN/40379/2019,4974,"M/s Jai Ram Engineers & Contractors from Gata No. 281, Khand No. 05, Village-- Madaurakhurd, Tehsil- Moth, District- Jhansi, (U.P.)",M/S JAI  RAM  ENGINEERS  & CONTRACTORS,EC Granted,EC,
2,3,SIA/UP/MIN/71350/2017,3887,"M/s Aditya Singh - Sand mining
located at Gata No. 56 Da Mi, Village- Manjha
Salarpur, Tehsil - Tanda, District- Ambedkar
Nagar, U.P.
Area: 13 acre (5.26 ha)",MS ADITYA SINGH SAND MINING,EC Granted,EC,
3,4,SIA/UP/MIN/71359/2017,3890,"SAND/MORAM MINING IN BAGEN RIVER AT GATA No. 02 & 738, VILLAGE- MAU “B”, TEHSIL KARVI
DISTRICT- CHITRAKOOT, U.P.",MS SHIV AND COMPANY,EC Granted,EC,
4,5,SIA/UP/MIN/71367/2017,3893,Bhadawal Sand/Morrum Mining Project,MS DIJIYANA MINING CORPORATION PVT LTD,EC Granted,EC,
5,6,SIA/UP/IND2/29187/2017,,"CONSTRUCTION OF ADDITIONAL ETHANOL TANK AT MUGHALSARAI TERMINAL OF M/S IOCL AT CHANDAULI, UP",IOCL MUGHALSARAI,Delisted,EC,
6,7,SIA/UP/NCP/72837/2018,4059,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, GORAKHPUR, U.P",HLL INFRA TECH SERVICES LTD.,EC Granted,EC,
7,8,SIA/UP/NCP/25856/2015,4280,Mandola Vihar Yojna Group housing,EXECUTIVE ENGINEER,Delisted,EC,
8,9,SIA/UP/MIN/74802/2018,4269,"Proposed River Bed Sand mining in River Yamuna, at Zone No/Gata No/Khand No. 168 (Block No. - 5)  Area- 10.00 ha. (24.70 Acres) at Village – Sabadakhadar, Tehsil- Pailani, District- Banda, Uttar Pradesh of Smt. Poornima Verma",SMT. POORNIMA VERMA,EC Granted,EC,
9,10,SIA/UP/MIS/54467/2019,5721/5032,Revision and Expansion of Group Housing Project “Migsun Wynn”,SJP HOTEL RESORTS PRIVATE LIMITED,EC Granted,EC,
0,11,SIA/UP/MIN/231920/2021,6622,Building Stone (Sand stone) Mining,SHRI KESHAV NATH TIWARI,EC Granted,EC,
1,12,SIA/UP/NCP/92208/2019,4804,Pradhan Mantri Awas Yojna-2,CHIEF ENGINEER,WithdrawEC,EC,
2,13,SIA/UP/MIN/92323/2019,4642,"Sand/Morrum Mining having lease area 24.92ha (64.07 acre) along River Yamuna in Gata No 20, 57, 58, 59, 61m, 62, 67m, 68, 69, 70, 71, 72, 73kh, 82m, 83, 84, 314m, 86, 87, 88, 306, 310, 311, 312m, 313m, 317m, 321m, 322/39 (gata no 85, 273, 320 area 0.",M/S DEVANSH INFRA/109104,Rejection Letter Granted,EC,
3,14,SIA/UP/MIN/126768/2019,5488,Firm Baba Brick Field,FIRM BABA BRICK FIELD,"MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.",EC,
4,15,SIA/UP/MIN/51345/2020,5542,"M/s Bharosa Sarkar Contractor and Suppliers located Gata No. 908 Na (Khand No. 2), Village- Kharwanch, Tehsil- Garautha, District- Jhansi, (U.P.)",M/S BHAROSA SARKAR CONTRACTOR AND SUPPLIERS,EC Granted,EC,
5,16,SIA/UP/NCP/75497/2018,4361,Greenberry Signatures,DIRECTOR,EC Granted,EC,
6,17,SIA/UP/MIN/39107/2019,,Brick Earth Mining Project for M/s Sant Brick Field,SANT BRICK FIELD,Delisted,EC,
7,18,SIA/UP/MIS/54927/2019,5737,Revision & Expansion of  Commercial project “Spectrum@Metro-II”,M/S AIMS MAX GARDENIA DEVELOPERS PVT. LTD.,EC Granted,EC,
8,19,SIA/UP/MIN/39919/2019,4953,Shernagar bangar Soil Brick Mining project,MURTI BRICKS FACTORY,EC Granted,EC,
9,20,SIA/UP/MIN/181166/2020,5985,"“Building Stone (Khanda, Gitti, Boulder) Mining Project” at Gata No. 105 (Khand No. 01), Area- 2.023 Ha Village: Athodna, Tehsil: Sadar, District: Jhansi, State: Uttar Pradesh",SHRI VINAY KUMAR S/O SHRI LALARAM VERMA,EC Granted,EC,
0,21,SIA/UP/MIN/164781/2020,5738,"Brick Earth Mining Project at GataNo.-1547, 1585, 1414, 4866, 1557, 1584, 1586, 1802, 1649, 1587, 1679, 1007mi, 1008, 1589, 1591, 1592, 1588, 1593, 1664, 1437, 1380mi, 1447 Village- Rampur Maghila, Tehsil- Tirwa, District- Kannauj, Uttar Pradesh",MS JAI BALAJI BRICK FIELD,"MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.",EC,
1,22,SIA/UP/MIN/231920/2021,6622,Building Stone (Sand stone) Mining,SHRI KESHAV NATH TIWARI,EC Granted,EC,
2,23,SIA/UP/MIS/47377/2018,5288/4589,"Environment Clearance of proposed Integrated Township at Naini, Allahabad, U. P.",ALLAHABAD DEVELOPMENT AUTHORITY ALLAHABAD,EC Granted,EC,
3,24,SIA/UP/MIN/189554/2020,,banke bihari soil excavation project,SHRI BANKE BIHARI ENT UDYOG,Delisted,EC,
4,25,SIA/UP/MIN/189573/2020,6083,Sandstone Mining Project,SURAJ PRASAD_GUPTA,EC Granted,EC,
5,26,SIA/UP/MIN/43261/2019,5079,"Environmental clearance of proposed Sand Stone (Patiya, Gitti, Boulder) mine at Gata No. /Araji No. 997 Mi, Lease Area: 0.809 ha (2.00 acres) at Village - Sindhora, Tehsil- Sadar, District- Mirzapur, Uttar Pradesh of  M/s  Bol Bam Ent Bhatta",MS BOL BAM ENT BHATTA,EC Granted,EC,
6,27,SIA/UP/MIN/200237/2021,6229,"Proposed “Khanda, Gitti, Boulder & Red Morrum (Building Stone) Mining Project” at Gata No. 526, Area: 0.80 Ha, Village: Khadakhar, Tehsil: Rath, District: Hamirpur, State: Uttar Pradesh.",SHRI SAPAN KUMAR AGRAWAL,EC Granted,EC,
7,28,SIA/UP/MIN/40042/2019,4960,"River Bed Sand Mining, at Gata No/Khand No.-413 Da/1 Mi, 412 Mi, 412 Da Mi, 413 Ka/53, at Village – Bardiya Lohar, Tehsil- Harraiya, District- Basti, Uttar Pradesh.",MS BALAJI CONSTRUCTION AND SUPPLIERS,EC Granted,EC,
8,29,SIA/UP/NCP/69878/2017,4418,IT ITES park galactic city Ms Elegant IT solutions Pvt Ltd,M/S ELEGANT IT SOLUTIONS PVT. LTD.,Under examination of SEIAA - Processed offline,EC,
9,30,SIA/UP/MIN/167042/2020,5883,"Proposed Ordinary Earth Mining Project of Shri Ramnath  located at Khasra / Gata No. 117B/3, Village –  Wajidpur Kutukpur, Tehsil- Sadar , District- Firozabad, Uttar Pradesh.",SHRI RAMNATH,Delisted,EC,
0,31,SIA/UP/MIN/62273/2017,3831,"Proposed riverbed sand/morrum mining from  SON RIVER for Shri Kamlakant Pandey located at Khand No.3, Arazi No.15 Cha, Village - Bhagwa, Tehsil - Robertsganj, District- Sonbhadra, U.P. Area : 15 Acre (6.07 ha)",KAMAL KANT PANDEY,Under examination of SEIAA - Processed offline,EC,
1,32,SIA/UP/MIN/134690/2020,5464,"Brick Earth Mining Project, M/S Maa Sididatric Brick Field",M/S MAA SIDIDATRI BRICK FIELD,"MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.",EC,
2,33,SIA/UP/MIS/204856/2021,6242,"Proposed Institutional Building at Plot no. A-09, Sector - 132, Noida, Uttar Pradesh by M/s Wellgrow Infotech Pvt. Ltd.",WELLGROW INFOTECH PVT. LTD.,EC Granted,EC,
3,34,SIA/UP/NCP/28310/2016,4399,pintail,PINTAIL REALTY DEVELOPERS PRIVATE LIMITED,EC Granted,EC,
4,35,SIA/UP/NCP/75873/2018,4401,500 Bedded Super Specialty Block,DIRECTOR,Delisted,EC,
5,36,SIA/UP/MIN/45783/2019,5422,M/s SHIV CONSTRUCTION,M/S SHIV CONSTRUCTION,"MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.",EC,
6,37,SIA/UP/MIN/45811/2019,5282,"M/S Vaishno Eint Udyog, Brick Earth Mining at Gata No. – 303, 1673, Vill-Manat Manti, Pargana-Thanabhawan,  Tehsil & District-Shamli, U.P.",M/S  VAISHNO EINT UDYOG,"MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.",EC,
7,38,SIA/UP/MIN/71546/2017,3923,"Sand Mining on River Ghaghara at Gata no-22, Village- Manjha Begamganj, Tehsil- Sadar, District- Faizabad, U.P.",SHER KHAN RAFIQUE,EC Granted,EC,
8,39,SIA/UP/MIN/39193/2019,4926,Fozuaka Soil Brick Mine,SUDARSHAN ENT UDYOG,EC Granted,EC,
9,40,SIA/UP/MIN/39688/2019,4943,Madhav Ent Udhyog,MADHAV ENT UDHYOG,EC Granted,EC,
0,41,SIA/UP/MIN/138605/2020,,Jain Brick Field,JAIN BRICK FIELD,Delisted,EC,
1,42,SIA/UP/MIN/50571/2019,5494/4837,"Building Stone (Khanda, Gitti & Boulder) Mine",S R INNOVATION LLP,EC Granted,EC,
2,43,SIA/UP/MIN/50839/2019,5520/4914,"Building Stone (Khanda, Gitti & Boulder) Mine",SUDHIR SINGH,EC Granted,EC,
