,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
0,1,SIA/UK/MIN/32278/2015,1-(778)/2015,"Proposed Balu / Bajri / Boulder Mine , Mine Lease Area- 0.209 HA , Mandakini River Bed At Village - Jugasu, Tehsil - Ukhimath, District- Rudraprayag, Uttarakhand of Ranjeet Singh",RANJEET SINGH PROPOSED BALU BAJRI BOULDER MINE MANDAKINI RIVER BED AT VILLAGE JUGASU TEHSIL UKHIMATH DISTRICT RUDRAPRAYAG UTTARAKHAND,EC  has been Granted Manually,EC,
1,2,SIA/UK/MIN/189019/2020,EC-1(155)/2020,"Extraction of Sand/Bajri/Boulder at Khasra No- 226g & 263j, area- 0.9240 ha,   at Village - Nehandpur, Pargana – Jwalapur,Tehsil- Laksar, District- Haridwar, Uttarakhand",GURU KRIPA TRADERS,EC Granted,EC,
2,3,SIA/UK/IND/49082/2016,E.C- 5(8)/2016,PU foam Components including PU steering wheels,MITER AND MITER ENGINEERS PVT LTD,Delisted,EC,
3,4,SIA/UK/IND2/83129/2018,E.C  -9(14)/2018,SAINTLIFE PHARMACEUTICALS LTD.,M/S SAINTLIFE PHARMACEUTICALS LTD.,Under examination of SEAC manually process,EC,
4,5,SIA/UK/MIN/89179/2018,E.C   -1(53)/2019,"for Pokhari Soapstone mining project khasra nos.- 1427, 1428, 1429 and others",SANDEEP SINGH ASHWAL,Under examination of SEAC manually process,EC,
5,6,SIA/UK/IND2/192986/2021,EC-9(69)/2021,Proposed Craft Beer Fermentation Unit,M/S GOPHER VENTURES PVT. LTD,EC Granted,EC,
6,7,SIA/UK/MIN/50447/2016,"E.C No- 898 -1-(865)/2016
Dated- 1.3.2016","Environmental Clearance for the Proposed Digging / Excavation of Minor Minerals i.e. “Brick Earth” for Brick manufacturing from lease area of Village Akbarpur Dhodheki, Pargana Manglaur (0.761 Hectare) by M/s Kamal Brick Field.",KAMAL BRICK FIELD,EC  has been Granted Manually,EC,
7,8,SIA/UK/MIN/414590/2023,,Joshigaon (Golchaura) Soapstone Mining Project,PRADEEP JOSHI,Request for withdraw,EC,
8,9,SIA/UK/MIN/33494/2015,1-(788)/2015,"Proposed Jharkot Soapstone Mine Area 1.20 ha. at Village- Jharkot, Tehsil & District- Bageshwar Uttarakhand.",JHARKOT SOAPSTONE MINE,EC  has been Granted Manually,EC,
9,10,SIA/UK/MIN/39027/2019,E.C 01(85)/2019,Kailash Rawat Dubda,KAILASH RAWAT DUBDA,Under examination of SEAC manually process,EC,
