,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
0,1,SIA/WB/MIS/49651/2019,EN/T-II-1/029/2019,Fortis Hospital,INTERNATIONAL HOSPITAL LIMITED,Awaiting EC,EC,
1,2,SIA/WB/MIN/207869/2021,EN/T-II-1/089/2021,Brick Earth Mine of Prasad Brick Field of Bishnupriya Halder,BISHNUPRIYA HALDER,Delisted,EC,
2,3,SIA/WB/INFRA2/412503/2022,EN/T-II-1/041/2023,"Residential Complex ""Utsodhara HIG - 1""",AMBUJA NEOTIA TEESTA DEVELOPMENT PRIVATE LIMITED,ADS by SEIAA,EC,
3,4,SIA/WB/NCP/80815/2018,EN/T-II-1/010/2019,Desun Hospital,P N MEMORIAL NEUROCENTRE & RESEARCH INSTITUTE LIMITED,EC Granted - Processed offline,EC,
4,5,SIA/WB/MIS/54814/2018,EN/T-II-1/045/2018,Sri Chaitanya Chandrodaya Mandir and Indian Educational and Cultural Centre,ISKCON INTERNATIONAL SOCIETY FOR KRISHNA CONSCIOUSNESS,Awaiting EC,EC,
5,6,SIA/WB/IND/56059/2019,EN/T-II-1/020/2019,"Installation of 2 X 20 MT Induction Furnaces with Continuous Caster and 1,48,800 MT/Annum Rolling Mill",SHREE RAMDOOT ROLLERS PVT LTD,Delisted,EC,
6,7,SIA/WB/NCP/28789/2017,EN/T-II-1/002/2018,"Setting up New AIIMS, Kalyani at Mouza-Basantpur, JL No.-90 & Mouza- Ghoragacha, JL No.-91, P.S- Chakdah, Dist-Nadia, West Bengal",HSCC INDIA LTD,Rejection Letter Granted,EC,
7,8,SIA/WB/IND/23392/2017,EN/T-II-1/045/2017,Expansion of Cement Grinding Unit from 0.072 MTPA to 1.45 MTPA By upgrading/modifying Existing plant Technology & Facility and installing 1 x 1800 TPD + 1 X 200 TPD Ball Mill & 1 x 2000 TPD VRM,BANSAL CEMENT PRIVATE LIMITED,EC Granted,EC,
8,9,SIA/WB/MIN/36193/2019,,"Siali Sand Ghat on Damodar River in vill Siali, Paschim Bardhman, West Bengala",GOUTAM JANA,Pending at PP due to eds,EC,
9,10,SIA/WB/NCP/61187/2016,,Proposed Housing Complex at Manikpur,JANHIT INFRASTRUCTURES (P) LTD. & OTHERS,Delisted,EC,
0,11,SIA/WB/MIN/263067/2022,EN/T-II-1/066/2023,"River Bed Sand Mining Project on Kangsbati River at Mouza-Jambaid & Gagda, J.L. No.-35 & 43. Plot No. 7074(P) & 616(P), P.S-Puncha, District-Purulia, West Bengal",SABIR ANSARI,EC Granted,EC,
1,12,SIA/WB/MIN/263449/2022,EN/T-II-1/114/2023,PAIKPARA SAND MINE,PAIKPARA SAND MINE OF SHRI MALAY KUMAR DUTTA,Rejection Letter Granted,EC,
2,13,SIA/WB/MIN/263601/2022,,HIJAL SAND MINE,TAPAN MONDAL,Pending at PP due to eds,EC,
3,14,SIA/WB/MIN/264849/2022,,Mining of River Bed Mineral - Sand on Dauk River,ADYAMAA TRADELINK PVT. LTD.,Delisted,EC,
4,15,SIA/WB/MIN/264482/2022,,RASULPUR SAND MINE,DULAL BISWAS,Pending at PP due to eds,EC,
5,16,SIA/WB/MIN/417079/2023,EN/T-II-1/119/2023,MIN_BNK_48 Sand Mine,WEST BENGAL MINERAL DEVELOPMENT AND TRADING CORPORATION LIMITED,EC Granted,EC,
6,17,SIA/WB/MIS/104276/2019,EN/T-II-1/055/2019,Housing Complex,SWADESHI PESTICIDES PROP.: THERMOFRIZ INSULATIONS LIMITED,Delisted,EC,
7,18,SIA/WB/IND2/21570/2013,EN/T-II-1/005/2018,METALIK FUEL PRIVATE LIMITED,METALIK FUEL PRIVATE LIMITED,EC Granted,EC,
8,19,SIA/WB/MIN/259966/2022,EN/T-II-1/021/2023,Bhattagram sand mine on Silabati River,MR. BABLU SARKAR,Rejection Letter Granted,EC,
9,20,SIA/WB/MIN/260047/2022,EN/T-II-1/081/2022,"Bhalukmura [Plot No. 16(P), 63(P) & 77(P); J.L. No.- 795] sand deposit on Silabati River",PRASANTA KARAK,Rejection Letter Granted,EC,
0,21,SIA/WB/MIS/82250/2018,EN/T-II-1/007/2019,47 Matheswartala Road,ASHWAGANDHA MERCHANTS PVT LTD &  ORS,EC Granted,EC,
1,22,SIA/WB/IND/20121/2016,EN/T-II-1/061/2016,Proposed expansion of existing Cement Grinding Unit from 1.35 MTPA to 4.0 MTPA through optimizing the existing cement grinding unit and by installation of a new 2.25 MTPA Cement Grinding Unit.,OCL INDIA LTD,EC Granted,EC,
