"","X...","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"1",1,"SIA/RJ/MIN/39639/2016","","Narvo Devi Stone Mining (ML No. 745/04)","NARVO DEVI","Under examination of SEIAA - Processed offline","EC",NA
"2",2,"SIA/RJ/MIN/39703/2016","","Birkiya Patti katla Quarry licence Area (Q.L. No-115)","SH PRATEEK AGARWAL","Under examination of SEIAA - Processed offline","EC",NA
"3",3,"SIA/RJ/MIN/39707/2016","","Jase Ka Gaon Silica sand mine (M.L. No. 18/2010)","YASHWARDHAN SINGH","Under examination of SEIAA - Processed offline","EC",NA
"4",4,"SIA/RJ/MIN/48846/2016","","QL. NO. 9 NAYO KI BERI SANDSTONE","UDAIPUR MIN TECH  PVT  LTD","Under examination of SEIAA - Processed offline","EC",NA
"5",5,"SIA/RJ/MIN/48854/2016","","Gangora Masonary Stone Mine Project (300/06) of Mahesh Chand Sharma","MAHESH","Under examination of SEIAA - Processed offline","EC",NA
"6",6,"SIA/RJ/MIN/48859/2016","","QL. NO. 14 GOLASANI SANDSTONE","UDAIPUR MIN TECH  PVT  LTD","Under examination of SEIAA - Processed offline","EC",NA
"7",7,"SIA/RJ/MIN/48877/2016","","QL. NO. 36 NAYO KI BERI SANDSTONE","UDAIPUR MIN TECH  PVT  LTD","Under examination of SEIAA - Processed offline","EC",NA
"8",8,"SIA/RJ/MIN/48881/2016","","QL. NO. 40 NAYO KI BERI SANDSTONE","UDAIPUR MIN TECH  PVT  LTD","Under examination of SEIAA - Processed offline","EC",NA
"9",9,"SIA/RJ/MIN/48887/2016","","QL. NO. 44 NAYO KI BERI SANDSTONE","UDAIPUR MIN TECH  PVT  LTD","Under examination of SEIAA - Processed offline","EC",NA
"10",10,"SIA/RJ/MIN/48891/2016","","QL. NO. 63 DANTALA SANDSTONE","UDAIPUR MIN TECH  PVT  LTD","Under examination of SEIAA - Processed offline","EC",NA
