,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
0,SIA/RJ/MIN/39639/2016,,Narvo Devi Stone Mining (ML No. 745/04),Rajasthan,Bharatpur,Weir,Date of Submission for TOR: ,Date of Submission for EC: 11 Jan 2016 ,Non-Coal Mining,NARVO DEVI,Under examination of SEIAA - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Rajasthan&pno=SIA/RJ/MIN/39639/2016&pid=8590,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/39639/2016&type=EC&ID=8590
1,SIA/RJ/MIN/39703/2016,,Birkiya Patti katla Quarry licence Area (Q.L. No-115),Rajasthan,Bhilwara,Asind,Date of Submission for TOR: ,Date of Submission for EC: 11 Jan 2016 ,Non-Coal Mining,SH PRATEEK AGARWAL,Under examination of SEIAA - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Rajasthan&pno=SIA/RJ/MIN/39703/2016&pid=8648,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/39703/2016&type=EC&ID=8648
2,SIA/RJ/MIN/39707/2016,,Jase Ka Gaon Silica sand mine (M.L. No. 18/2010),Rajasthan,Barmer,shiv,Date of Submission for TOR: ,Date of Submission for EC: 11 Jan 2016 ,Non-Coal Mining,YASHWARDHAN SINGH,Under examination of SEIAA - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Rajasthan&pno=SIA/RJ/MIN/39707/2016&pid=8652,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/39707/2016&type=EC&ID=8652
3,SIA/RJ/MIN/48846/2016,,QL. NO. 9 NAYO KI BERI SANDSTONE,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 10 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Rajasthan&pno=SIA/RJ/MIN/48846/2016&pid=12667,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/48846/2016&type=EC&ID=12667
4,SIA/RJ/MIN/48854/2016,,Gangora Masonary Stone Mine Project (300/06) of Mahesh Chand Sharma,Rajasthan,Bharatpur,Pahari,Date of Submission for TOR: ,Date of Submission for EC: 10 Feb 2016 ,Non-Coal Mining,MAHESH,Under examination of SEIAA - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Rajasthan&pno=SIA/RJ/MIN/48854/2016&pid=12675,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/48854/2016&type=EC&ID=12675
5,SIA/RJ/MIN/48859/2016,,QL. NO. 14 GOLASANI SANDSTONE,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 10 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Rajasthan&pno=SIA/RJ/MIN/48859/2016&pid=12680,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/48859/2016&type=EC&ID=12680
6,SIA/RJ/MIN/48877/2016,,QL. NO. 36 NAYO KI BERI SANDSTONE,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 10 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Rajasthan&pno=SIA/RJ/MIN/48877/2016&pid=12696,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/48877/2016&type=EC&ID=12696
7,SIA/RJ/MIN/48881/2016,,QL. NO. 40 NAYO KI BERI SANDSTONE,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 10 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Rajasthan&pno=SIA/RJ/MIN/48881/2016&pid=12700,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/48881/2016&type=EC&ID=12700
8,SIA/RJ/MIN/48887/2016,,QL. NO. 44 NAYO KI BERI SANDSTONE,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 10 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Rajasthan&pno=SIA/RJ/MIN/48887/2016&pid=12705,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/48887/2016&type=EC&ID=12705
9,SIA/RJ/MIN/48891/2016,,QL. NO. 63 DANTALA SANDSTONE,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 10 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Rajasthan&pno=SIA/RJ/MIN/48891/2016&pid=12709,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/48891/2016&type=EC&ID=12709
10,SIA/RJ/MIN/53172/2016,,"SILICA SAND MINING PROJECT 
Near Village Parewar, Tehsil & District-Jaisalmer, Rajasthan
ML No. (370/2013)
AREA – 4.50 ha
",Rajasthan,Jaisalmer,Jaisalmer,Date of Submission for TOR: ,Date of Submission for EC: 26 Apr 2016 ,Non-Coal Mining,SHRI VIKAS LILA,Under examination of SEIAA - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Rajasthan&pno=SIA/RJ/MIN/53172/2016&pid=19618,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/53172/2016&type=EC&ID=19618
11,SIA/RJ/MIN/53214/2016,,Devariya Quartz Feldspar Mine 309/06,Rajasthan,Ajmer,Sarwar,Date of Submission for TOR: ,Date of Submission for EC: 27 Apr 2016 ,Non-Coal Mining,RAM PRAKASH KUMAVAT,Under examination of SEIAA - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Rajasthan&pno=SIA/RJ/MIN/53214/2016&pid=19650,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/53214/2016&type=EC&ID=19650
12,SIA/RJ/MIN/53221/2016,,Quartz & Feldspar Mine ( M L NO. 140/2006 ),Rajasthan,Rajsamand,Deogarh,Date of Submission for TOR: ,Date of Submission for EC: 27 Apr 2016 ,Non-Coal Mining,RASHID MOHAMMAD,Under examination of SEIAA - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Rajasthan&pno=SIA/RJ/MIN/53221/2016&pid=19657,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/53221/2016&type=EC&ID=19657
13,SIA/RJ/MIN/53238/2016,,"Quartz and feldspar minning project
ML No-05/2003
Area-4.00 Hect.
Lessee- Shashi Jhalaani
near village- Hanutia, tehsil-Bonli, sawai madhopur (raj)
",Rajasthan,Sawai Madhopur,Bonli,Date of Submission for TOR: ,Date of Submission for EC: 27 Apr 2016 ,Non-Coal Mining,SHASHI JHALANI,Under examination of SEIAA - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Rajasthan&pno=SIA/RJ/MIN/53238/2016&pid=19674,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/53238/2016&type=EC&ID=19674
14,SIA/RJ/MIN/53268/2016,,M/s Maa Brahmani Khanij Udhyog,Rajasthan,Pali,Marwar Junction,Date of Submission for TOR: ,Date of Submission for EC: 28 Apr 2016 ,Non-Coal Mining,MAA BRAHMANI KHANIJ UDHYOG,Under examination of SEIAA - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Rajasthan&pno=SIA/RJ/MIN/53268/2016&pid=19697,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/RJ/MIN/53268/2016&type=EC&ID=19697
