,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
1,1,SIA/TN/MIN/60574/2016,5945/2016,"J.Meritta, Saral Quarry from over
an Extent of 1.87.0Ha in S.F.No: 270/2B at Perurani Village of Thoothukudi Taluk, Thoothukudi
District",IFTHIKHAR AHMED,TransferToDEIAA,EC,
2,2,SIA/TN/MIN/60587/2016,5947/2016,"K. Gopi, Brick Earth Quarry
from over an Extent of 0.49.4Ha in S.F.No: 245/1 (P) at Pulimedu Village of Anaicut Taluk,
Vellore District",IFTHIKHAR AHMED,TransferToDEIAA,EC,
3,3,SIA/TN/MIN/60698/2016,5973/2016,"V.Kannaiyan, Rough Stone
Quarry from over an Extent of 2.50.0Ha in S.F. No: 183/1 (Q.No.1) (N) at Melur Village of
Kulathur Taluk, Pudukkottai District",IFTHIKHAR AHMED,TransferToDEIAA,EC,
4,4,SIA/TN/MIN/60699/2016,5969/2016,"P.N.Rajan, Rough stone and
Gravel quarry from over an Extent of 1.94.0Ha in S.F.No. 55/2B & 55/4A at Arasur Village
of Udumalpet Taluk, Tiruppur District",IFTHIKHAR AHMED,TransferToDEIAA,EC,
5,5,SIA/TN/MIS/31476/2015,5992/2016,"CONSTRUCTION OF GROYNES AT VEERAPANDIANPATTINAM IN THIRUCHENDUR
TALUK OF THOOTHUKUDI DISTRICT",PWD WRD KORAMPALLAM ARU DIVISION THOOTHUKUDI,Deferred by SEAC,EC,
6,6,SIA/TN/MIN/53558/2016,5283/2016,"M.R. SIVALINGAPPA, Rough stone Quarry over an extent of 5.00.0Ha. S.F.No.:270(Part) in Mugalur Village, Hosur Taluk, Krishnagiri District",SIVALINGAPPA,Under examination of SEIAA after SEAC,EC,
7,7,SIA/TN/MIN/53601/2016,5373/2016,"M/s Mani Omega Granites (P) Ltd.- Category B2 project – Black granite quarry over an extent of 1.83.5 Hectares in S.F.No. 12/1(P),3(P),4(P),5,6,7 & 8, Vengamur Village and S.No.
59/7B(P),8B(P),60/2 & 61/3A1,Anumanthapuram Village of Villupuram Taluk",ABM ENVIRO TECH PRIVATE LTD,EC Granted,EC,
8,8,SIA/TN/MIN/61057/2016,6013/2016,"Manjal Women Golden jubilee Rural self
employment planning and welfare society, Rough Stone Quarry
from over an Extent of 0.80.0Ha in S.F No: 37 (South) at Killukulavoipatti Village of Kulathur
Taluk, Pudukkottai District",IFTHIKHAR AHMED,TransferToDEIAA,EC,
9,9,SIA/TN/MIN/61123/2016,6041/2016,"P.Sivabalan, Gravel Quarry
from over an Extent of 3.61.0Ha in S.F.No: 72/3, 72/4 & 82/2 at Melakallankulam Village
of Kariyapatti Taluk, Virudhunagar District.",IFTHIKHAR AHMED,TransferToDEIAA,EC,
10,10,SIA/TN/MIN/62080/2017,6238/2017,"M/s. Sri Vasavi Mines, Quartz & Feldspar
Quarry from over an Extent of 1.24.5Ha in S.F.No. 78/4 (P) at Avadathur Village of Mettur
Taluk, Salem District",PROJECT  PROPONENT,TransferToDEIAA,EC,
