"","X","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"1",1,"SIA/TG/MIN/46362/2019","SIA/TG/MIN/46362/2019","M/s. Sri Lakshmi Narshima Stone Crusher","M/S. SRI LAKSHMI NARSHIMA STONE  CRUSHER","EC Granted","EC",NA
"2",2,"SIA/TG/MIS/130916/2019","SIA/TG/MIS/130916/2019","Vasavi Lake City East","U. VENKATA SASTRY & OTHERS","EC Granted","EC",NA
"3",3,"SIA/TG/MIN/42966/2019","SIA/TG/MIN/42966/2019","Smt. N. Swarnalatha - Mining of Rough Stone & Road Metal","M/S. SWARNALATHA MINES","EC Granted","EC",NA
"4",4,"SIA/TG/MIS/161984/2020","SIA/TG/MIS/161984/2020","K.S.R Homes India Pvt. Ltd.,","K.S.R HOMES INDIA PRIVATE LIMITED","EC Granted","EC",NA
"5",5,"SIA/TG/MIS/244705/2021","SIA/TG/MIS/244705/2021","M/s. The My Nest Infra","M/S. THE MY NEST INFRA","EC Granted","EC",NA
"6",6,"SIA/TG/MIS/268677/2022","SIA/TG/MIS/268677/2022","“Super-Speciality Hospital” at Warangal as part of Warangal Health City by Government of Telangana","PROPOSED SECRETERIAT COMPLEX OF TELANGANA STATE GOVERNMENT","EC Granted","EC",NA
"7",7,"SIA/TG/MIN/269387/2022","SIA/TG/MIN/269387/2022","Rough Stone & Road Metal Quarry","M/S. SVN METAL INDUSTRY","Rejection Letter Granted","EC",NA
"8",8,"SIA/TG/MIS/222729/2021","SIA/TG/MIS/222729/2021","M/s. S.K.T Constructions & Developers","M/S. S.K.T. CONSTRUCTIONS & DEVELOPERS","EC Granted","EC",NA
"9",9,"SIA/TG/MIN/175978/2020","SIA/TG/MIN/175978/2020","Sri Chada Narayana Reddy -1.0 ha","SRI CHADA NARAYANA REDDY","EC Granted","EC",NA
"10",10,"SIA/TG/MIS/178888/2020","SIA/TG/MIS/178888/2020","Canny Forest Edge","CANNY LIFE SPACES PRIVATE LIMITED","EC Granted","EC",NA
"11",1,"SIA/TG/MIS/126686/2019","SIA/TG/MIS/126686/2019","Sangeet Mall & Multiplex","K P ADVISORY SERVICES LLP","Rejection Letter Granted","EC",NA
"12",2,"SIA/TG/MIN/131244/2019","SIA/TG/MIN/131244/2019","Gatti Nellikuduru Stone & Metal Quarry Project","SRI. KONDAKINDI SAI REDDY","EC Granted","EC",NA
"13",3,"SIA/TG/IND2/199531/2021","SIA/TG/IND2/199531/2021","Proposed Establishment of Active Pharmaceutical Ingredients (APIs)  and API Intermediates Manufacturing Unit by M/s. Optimus Drugs Private Limited, Unit-IV","M/S. OPTIMUS DRUGS PRIVATE LIMITED, UNIT-IV","EC Granted","EC",NA
"14",4,"SIA/TG/MIS/196961/2021","SIA/TG/MIS/196961/2021","Vertex Vega by M/s. Vertex Vega Developers LLP & Others","VERTEX VEGA DEVELOPERS LLP & OTHERS","EC Granted","EC",NA
"15",5,"SIA/TG/MIS/196976/2021","SIA/TG/MIS/196976/2021","Oracle Hyderabad Campus By M/s Oracle India Private Limited","ORACLE INDIA PRIVATE LIMITED","WithdrawEC","EC",NA
"16",6,"SIA/TG/MIN/202939/2021","SIA/TG/MIN/202939/2021","M/s.S.R.Granites","M/S.S.R.GRANITES","EC Granted","EC",NA
"17",7,"SIA/TG/MIS/224955/2021","SIA/TG/MIS/224955/2021","EC for the Existing IT Campus of Virtusa Consulting Services Private Limited, Survey No: 115/Part, Plot No: 10, TSIIC Limited, SEZ, Nanakramguda village, Serilingampally Mandal, Gachibowli, Hyderabad, Rangareddi District, Telangana State.","VIRTUSA CONSULTING SERVICES PRIVATE LIMITED","EC Granted","EC",NA
"18",8,"SIA/TG/MIN/250714/2022","SIA/TG/MIN/250714/2022","SRI BANOTH RAVINDER","SRI BANOTH RAVINDER","EC Granted","EC",NA
"19",9,"SIA/TG/IND3/249215/2021","SIA/TG/IND3/249215/2021","API and API Intermediates Manufacturing facility by Dr N Karunakar Reddy and K Ravinder Reddy","APIS AND API INTERMEDIATES MANUFACTURING FACILITY BY DR. N. KARUNAKAR REDDY AND K. RAVINDER REDDY","EC Granted","EC",NA
"20",10,"SIA/TG/MIN/270835/2022","SIA/TG/MIN/270835/2022","Sri Durga Enterprises","SRI DURGA ENTERPRISES","EC Granted","EC",NA
"21",1,"SIA/TG/MIS/115252/2019","SIA/TG/MIS/115252/2019","Myscape Properties Private Limited","MYSCAPE PROPERTIES PRIVATE LIMITED","EC Granted","EC",NA
"22",2,"SIA/TG/MIN/41880/2019","SIA/TG/MIN/41880/2019","M/s.FF Enterprises -Quartz & Feldspar","FFENTERPRISES","EC Granted","EC",NA
"23",3,"SIA/TG/MIN/175635/2020","SIA/TG/MIN/175635/2020","Proposed River Sand Mining Project for mining of ordinary sand over an Extent of 5.00 ha in Edhira village, Venkatapuram Mandal, Mulugu District, Telangana State","M/S TSMDC LTD","EC Granted","EC",NA
"24",4,"SIA/TG/IND2/175792/2020","SIA/TG/IND2/175792/2020","Establish of Active Pharma Ingredients (Bulk Drugs and Intermediates) Manufacturing Unit (10.41 TPD)  by M/s. Chemic laboratories Pvt. Ltd","M/S CHEMIC LABORATORIES PVT LTD","EC Granted","EC",NA
"25",5,"SIA/TG/MIN/179739/2020","SIA/TG/MIN/179739/2020","J Lavanya Prasad Raju","J LAVANYA PRASAD RAJU","EC Granted","EC",NA
"26",6,"SIA/TG/MIN/146062/2020","SIA/TG/MIN/146062/2020","M/S. Sri Laxmi Stone Crusher","SRI  LAXMI STONE CRUSHER","WithdrawEC","EC",NA
"27",7,"SIA/TG/IND2/165800/2020","","Rudra Labs","M/S RUDRA LABS","Delisted","EC",NA
"28",8,"SIA/TG/IND2/205991/2021","SIA/TG/IND2/205991/2021","Establishment of Active Pharma Ingredients (Bulk Drugs and Intermediates) Manufacturing Unit of capacity 14.9 TPD by M/s. Sanjeevani Pharma","CELEBRITY DRUGS AND PHARMACEUTICALS","EC Granted","EC",NA
"29",9,"SIA/TG/MIS/205816/2021","SIA/TG/MIS/205816/2021","Jubilee Hills Land Mark Projects by M/s Jubilee Hills Land Mark Projects Private Limited","JUBILEE HILLS LANDMARK PROJECTS PRIVATE LIMITED","EC Granted","EC",NA
"30",10,"SIA/TG/MIN/273007/2022","SIA/TG/MIN/273007/2022","Sridevi Vignatha Granites","KAMALAKAR PUCHAKAYALA","EC Granted","EC",NA
"31",1,"SIA/TG/MIS/208735/2021","SIA/TG/MIS/208735/2021","M/s TNR URBAN LLP.,","M/S TNR URBAN LLP.,","EC Granted","EC",NA
