,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
1,1,SIA/UP/MIN/149687/2020,,M/s Krash Ent Udhyog,M/S KRASH ENT UDHYOG,Delisted,EC,
2,2,SIA/UP/MIN/40602/2019,5174,M/s BESEN BRICK FIELD,BESEN BRICK FIELD,"MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.",EC,
3,3,SIA/UP/MIN/46242/2019,5453,"Ordinary Earth Mining in Gata No.352, 357 kha, 362 Ga, 365 Cha, 367,372 of cillage Narottampur Khurd, Tehsil Sadar, District-Varanasi, Uttar Pradesh",BASANTLAL PATEL,"MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.",EC,
4,4,SIA/UP/MIS/46462/2018,5267,Affordable Housing Project,GNIDA,EC Granted,EC,
5,5,SIA/UP/MIS/101522/2019,,FOUR STAR REALTY PVT LTD,M/S FOUR STAR REALTY PVT. LTD,Delisted,EC,
6,6,SIA/UP/NCP/29463/2016,4524,"Environment Clearance for  Group Housing project entitled “Ajnara Integrity”  located at Khasra no.-977, 978, 979, 981, 983, 1049, 1050, NH-58, Village Noor Nagar, Ghaziabad, U.P. by M/s Ajnara India",AJNARA INDIA LIMITED,Delisted,EC,
7,7,SIA/UP/MIN/33227/2019,4714,"Area 2.4289 HA Granite (Khanda/Boulder) & Morrum mining Project at Khasra/ Gata no. 2131/6, Village – Rauli Kalyanpur, Tehsil- Karwi , Dist. Chitrakoot, U.P",KAMADGIRI TRADERS,WithdrawEC,EC,
8,8,SIA/UP/MIS/101242/2019,4732,"Proposed Affordable Housing (PMAY) project “Ozone Classik” Khasra No. 823, 826 at Village Noornagar&khasra No. 843, 842, 839, 840, 841, 834, 835, 838 at Village Sadeek Nagar, NH-58, Ghaziabad, Uttar P",ANTHEM YASH KIRTI INFRACITY PVT LTD,EC Granted,EC,
9,9,SIA/UP/MIN/142144/2020,,Brick earth Mining,AS YADAV ENT UDYOG MAINPURI,Delisted,EC,
10,10,SIA/UP/MIN/143412/2020,5526,"Proposed “Soil Excavation” Project at Gata No.– 824Aa,  Village- Bibipur, Tehsil- Sarojini Nagar, District- Lucknow, Uttar Pradesh.",SHRI LALTA SINGH,"MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.",EC,
