"","X...","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"1",1,"SIA/UP/MIS/103007/2019","4775","windsor It Park by M/s Star Propwell Pvt. Ltd","MS STAR PROPWELL PVT LTD","EC Granted","EC",NA
"2",2,"SIA/UP/MIN/26254/2018","4327","Kuti to Devaipipar sand mining project","PROJECT PROPONENT","EC Granted","EC",NA
"3",3,"SIA/UP/MIN/189756/2020","6339","Building Stone - Granite (Gitti/Boulders) Mining Project","RAM KRISHN PANDEY","WithdrawEC","EC",NA
"4",4,"SIA/UP/MIN/135888/2020","","Soi (Gata/Khasra No. 614, 520, 518, 616, 615, 617 & 602)  brick earth (Soil) mining project.","M/S DWARIKA SINGH RAGHUVIR SINGH AND PARTNERS ENTT BHATTA","Delisted","EC",NA
"5",5,"SIA/UP/MIN/135948/2020","5393","Brick Earth Mining Project, M/S Jai Bala Ji Brick Field","M/S JAI BALA JI BRICK FIELD","MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.","EC",NA
"6",6,"SIA/UP/MIN/135708/2020","","Bikamau Khurd, Digurpur, Parsau, Mishripur, Ginnohari & Sonwa (Gata No. 38, 274, 312, 210, 260, 263, 264, 633, 376, 725, 149K, 146, 115, 72 & 241) soil brick mining project.","M/S KESHARI BRICK FIELD","Delisted","EC",NA
"7",7,"SIA/UP/MIS/49644/2019","5415","Group Housing Project (PMAY) ""Migsun Atharva Phase-I""","MAHALUXMI BUILDTECH LIMITED","EC Granted","EC",NA
"8",8,"SIA/UP/MIN/136810/2020","","TIRANGA ENT BHATTHA","TIRANGA ENT BHATHHA","Delisted","EC",NA
"9",9,"SIA/UP/MIN/53643/2019","5688/4815","“Building Stone (Khanda, Gitti & Boulder) Mine” Project at Gata No.-19, Khand-05, Village- Ganj, Tehsil- Mahoba, District- Mahoba, U.P. (Leased Area : 4.048 ha.)","ANIL KUMAR SHUKLA","EC Granted","EC",NA
"10",10,"SIA/UP/MIN/53648/2019","5686/4812","“Building Stone (Khanda, Gitti & Boulder) Mine” Project at Gata No.-19, Khand-02, Village- Ganj, Tehsil- Mahoba, District- Mahoba, U.P. (Leased Area : 4.048 ha.)","OM PRAKASH BHARDWAJ","EC Granted","EC",NA
"11",1,"SIA/UP/MIN/215315/2021","6352","Environmental Clearance of mining lease of Building Stone (Khanda, Boulder Gitti) mine, at Khasra no. /Plot no./Gata No.- 3114, 3215, Khand no. 18, Area 2.024 ha. (5.00 Acres) at Village – Koshnakalan, Tehsil- Meja, District- Prayagraj, Uttar Pradesh","M/S MAA SAVITRI STONES","EC Granted","EC",NA
"12",2,"SIA/UP/MIN/215403/2021","6357","Ordinary Soil Excavation” Project at Gata No.– 435, 449, 455 Village-Faridnagar, Tehsil-Thakurdwara, District- Moradabad, Uttar Pradesh","VERNER ENVIRO INDIA PVT. LTD.","EC Granted","EC",NA
"13",3,"SIA/UP/MIS/41851/2019","5061","Haier Industrial Park","HAIER APPLIANCE INDIA PVT LTD","EC Granted","EC",NA
"14",4,"SIA/UP/MIS/171920/2020","5816","Proposed Warehouse at Khasra No. 1251part, 1252ka (part), 1252kha (part), 1253, 1257kha, 1258ka, 1258kha, 1259, 1259Ka, 1260, 1261,1262, 1263, 1267(part), 1268, 1297, 1298 and 1299 at Village- Mau, Tehsil- Mohanlalganj, Lucknow, UP. of M/s UPAL Wareh","M/S U. P. ASBESTOS LIMITED","EC Granted","EC",NA
"15",5,"SIA/UP/MIN/31584/2019","","“Brick Earth Mining” Project at Gata No. 1206, 1561 at Village: Basti Khas, Tehsil: Mankapur, District: Gonda (U.P.). Total lease Area is 3.0533 Ha. M/s Khawaja Garib Nawaj Int Bhatta","M/S KHAWAJA GARIB NAWAJ INT BHATTA","Delisted","EC",NA
"16",6,"SIA/UP/MIN/149142/2020","5613","Soil Excavation Project”","ARVIND CHOUDHARY","MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.","EC",NA
"17",7,"SIA/UP/MIS/108325/2019","4897","Maya Nagar SahkariAwasSamiti Ltd.is the developer of a Group Housing project, ‘Vinayak Apartment’ which is located at Sector 7B, MajholaYojna – 4, Part II, District Moradabad, Uttar Pradesh.","M/S MAYA NAGAR SAHKARI AWAS SAMITI, LTD, MORADABAD","EC Granted","EC",NA
"18",8,"SIA/UP/MIN/125420/2019","5191","Triveni Ent Udhyog","M/S.-TRIVENI ENT UDHYOG","EC Granted","EC",NA
"19",9,"SIA/UP/MIN/32564/2019","4702","“Sand/Morrum Mining” Project at Araji No.- 166 (Khand No.- 01), Village- Nagawan, Tehsil- Duddhi, District- Sonbhadra, U.P.","AMAN ASSOCIATES","EC Granted","EC",NA
"20",10,"SIA/UP/MIN/139728/2020","","Shivtar (Gata No. 670, 672 MI, 714 MI, 720, 735 & 733) brick earth mining project.","M/S S.A. BRICK FIELD","Delisted","EC",NA
"21",1,"SIA/UP/MIN/143066/2020","5523","BRICK KILN MINING","DURGA BRICK FIELD","MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.","EC",NA
"22",2,"SIA/UP/MIS/207541/2021","6267","Proposed Upgradation of Existing District / Referral Hospital from 250 to 500 Beds Hospital at Auraiya, Uttar Pradesh","DISTRICT REFERRAL HOSPITAL AURAIYA","EC Granted","EC",NA
"23",3,"SIA/UP/MIS/261321/2022","6976","Proposed MAQ Software IT Campus, Plot No. A-03, Sector 145, Noida, Uttar Pradesh","MAQ INDIA PRIVATE LIMITED","EC Granted","EC",NA
"24",4,"SIA/UP/MIN/42540/2019","","M/s SINGH ENT UDYOG","SINGH ENT UDHYOG","Delisted","EC",NA
"25",5,"SIA/UP/MIN/192916/2021","6127","Area 1.61 ha Building stone (Sand stone) Mining project at Araji no. 760,762, 766, 768, 769, 770  Village- Semri Mangardaha , Tehsil- Lalganj , District-Mirzapur, U.P..","M/S DILIP BUILDCON LTD.","EC Granted","EC",NA
"26",6,"SIA/UP/MIS/190402/2020","6085","Proposed Group Housing for Sports City at Land Parcel Sc-01/D3, Sector-79,Noida Uttar Pradesh","M/S GOLFGREEN ESTATES PVT LTD.","EC Granted","EC",NA
"27",7,"SIA/UP/MIN/44094/2019","","Environmental Clearance for Brick Earth Mining to be used in Brick M/s Chand Brick Udyog at Khasra No.- 304, 311, 314, 353, 315, 678, Village- Bhilaiya Gaon Khera and Kaim, Tehsil- Pilibhit, District-","MS CHAND BRICK UDYOG","Delisted","EC",NA
"28",8,"SIA/UP/MIN/139882/2020","","Bantikhera & Butrada (Gata No. 461, 1896, 1893, 1895, 524, 1899, 1892, 1894, 159 & 154 AA) brick earth mining project.","M/S BASANT BHATTA","Delisted","EC",NA
"29",9,"SIA/UP/MIN/139830/2020","5476","M/s Rs Bricks","M/S RS BRICK","MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.","EC",NA
"30",10,"SIA/UP/MIN/139018/2020","","Jai Krishna Brick Field","JAI KRISHNA BRICK FIELD","Delisted","EC",NA
"31",1,"SIA/UP/MIS/173698/2020","5845","Palm Emporio","DIRECTOR","EC Granted","EC",NA
"32",2,"SIA/UP/MIN/29932/2018","4571","Sri Anand Kumar Gupta","ANAND KUMAR GUPTA","EC Granted","EC",NA
"33",3,"SIA/UP/MIN/58921/2020","6018","Building Stone (Khanda, Boulder Gitti) Sand Stone mine at Araji No. /Plot No. - 98, Khand No.–7, Area 8.094 ha. (20.0 Acres) at Village – Parvezabad, Tehsil- Bara, District- Prayagraj, Uttar Pradesh of M/s Allahabad Sands","MS Allahabad sands","EC Granted","EC",NA
"34",4,"SIA/UP/IND2/50828/2020","5511","Environment Clearance of proposed 60 KLPD Grain or Molasses based Distillery along with 2.5 MW co-gen power plant at Village - Daulatpur, Post- Aurangabad, Tehsil- Mitauli, District- Kheri, U.P. of M/s Goyla Distillery LLP (Distillery Division)","M/S GOYLA DISTILLERY LLP","EC Granted","EC",NA
"35",5,"SIA/UP/MIN/273199/2022","7145","“Building Stone (Khanda, Gitti, Boulder) Mining Project” at Araji No - 768 (Khand No - 04), Area: 4.046 Ha., Village: Ramnagar, Tehsil: Moth, District:  Jhansi (U.P.)","RAJESH MARIWALLA","WithdrawEC","EC",NA
"36",6,"SIA/UP/MIN/127921/2019","5264","SOIL EXCAVATION at   GATA No. 163, 561 & GATA No. 669, AREA 1.119 Ha,  VILLAGE- DHATINGRA, TEHSIL- B.K.T.,  DISTRICT- LUCKNOW (U.P.)","M/S ARIHANT CONSTRUCTIONS","EC Granted","EC",NA
"37",7,"SIA/UP/MIN/127917/2019","5277","Brick Earth Mining Project","DEEPAK BRICK FIELD","MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.","EC",NA
"38",8,"SIA/UP/MIN/127960/2019","5341","Brick Earth Mining Project, M/s Mahadev Brick Field, Gata no; 2718 at Village: Gangeru West, Tehsil: Kairana  &  Dist: Shamli","M/S MAHADEV BRICK FIELD","EC Granted","EC",NA
"39",9,"SIA/UP/MIN/33955/2019","4796","Proposed Brick Earth Mining project","NASIM AHMAD ENT BHATTA","EC Granted","EC",NA
"40",10,"SIA/UP/MIN/31534/1900","","Mining of Yellow Soil from Gata No 283,286, 285Mi, 288, 192, 31/7,32/7 and 33/2 in Village Manikpur Damotikhera, Tehsil Bindki, District Fatehpur","SUSHIL KUMAR BINDKI","Delisted","EC",NA
"41",1,"SIA/UP/MIN/39746/2019","4944","Simple soil excavation","DESHPATI SUKLA","MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.","EC",NA
"42",2,"SIA/UP/MIN/128719/2019","5321","Sand Stone (Imarati Patthar) Mining in Gata No/Khand No 311/1, 311/6, 311/13 (Area 0.809 Ha) in Village Madaun District Lalitpur, U.P.","SANGEETA W/O VINOD","Delisted","EC",NA
"43",3,"SIA/UP/MIN/128699/2019","5584","BRICK EARTH MINE UKAWALI TEHSIL KOL ALIGARH","SHRI HARI BRICK WORKS PILAKHNA","MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.","EC",NA
"44",4,"SIA/UP/MIN/128895/2019","5291","Ordinary Soil Excavation Project at Gata No.- 4936, Village –Kantha, Tehsil- Purwa, District- Unnao, Uttar Pradesh.","SHRI CHARU CHANDRA SRIVASTAVA","EC Granted","EC",NA
"45",5,"SIA/UP/MIN/231984/2021","6599","Chivarahiya Ordinary Sand Mine","SHRI SUNIL KUMAR JAISWAL","EC Granted","EC",NA
"46",6,"SIA/UP/MIN/232139/2021","6605","RBM MINE(MIXED FORM)","M/S JAYANTI ENTREPRENEUR PRIVATE LIMITED","EC Granted","EC",NA
"47",7,"SIA/UP/MIS/228490/2021","6556","Proposed Group Housing at Plot No: 3/SP-10, Siddharth Vihar, Ghaziabad, Uttar Pradesh","M/S SHADBOLT BUILDWORLD PRIVATE LIMITED","EC Granted","EC",NA
"48",8,"SIA/UP/MIN/37436/2019","4863","Ordinary Soil Excavation","INDRAPAL BORUMAU","EC Granted","EC",NA
"49",9,"SIA/UP/MIN/37521/2019","4882","Brick Earth Mine, Villages : Sahjadepur, Maholi Khera, Rui Sinaura & Tehsil Bhogaon & District Manpuri","M/S D S MAYA BRICK FIELD","EC Granted","EC",NA
"50",10,"SIA/UP/MIS/192680/2021","6125","Construction of Proposed Project at Pocket-1 Land Development & Grahthan Yojna (Ajantapuram) Loni Road District Ghaziabad (U.P.) by M/s Shri Rama Krishna Sehkari Awas Samiti Limited","SHRI RAM KRISHNA SEHKARI AVAS SAMITI LTD","EC Granted","EC",NA
"51",1,"SIA/UP/MIN/52776/2019","5642/5063","“Ordinary Sand Mining” Project at Araji No.- 9 Gha / 2, Village- Khaira, Tehsil- Sadar, District- Mirzapur, U.P. (Applied Area: 5.0 ha.)","MS SHUBHAM UDYOG","EC Granted","EC",NA
