,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
0,SIA/UP/MIS/103007/2019,4775,windsor It Park by M/s Star Propwell Pvt. Ltd,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,Date of Submission for EC: 25 Apr 2019 ,Date of Ec Granted : 22 Oct 2019,INFRA-2,MS STAR PROPWELL PVT LTD,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIS/103007/2019&pid=55014,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIS/103007/2019&type=EC&ID=55014
1,SIA/UP/MIN/26254/2018,4327,Kuti to Devaipipar sand mining project,Uttar Pradesh,Gorakhpur,Gola,Date of Submission for EC: 25 Apr 2019 ,Date of Ec Granted : 02 Nov 2019,Non-Coal Mining,PROJECT PROPONENT,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIN/26254/2018&pid=55141,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/26254/2018&type=EC&ID=55141
2,SIA/UP/MIN/189756/2020,6339,Building Stone - Granite (Gitti/Boulders) Mining Project,Uttar Pradesh,Banda,Naraini,Date of Submission for TOR: ,Date of Submission for EC: 08 Jun 2021 ,Non-Coal Mining,RAM KRISHN PANDEY,WithdrawEC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIN/189756/2020&pid=152406,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/189756/2020&type=EC&ID=152406
3,SIA/UP/MIN/135888/2020,,"Soi (Gata/Khasra No. 614, 520, 518, 616, 615, 617 & 602)  brick earth (Soil) mining project.",Uttar Pradesh,Budaun,Budaun,Date of Submission for TOR: ,Date of Submission for EC: 08 Jan 2020 ,Non-Coal Mining,M/S DWARIKA SINGH RAGHUVIR SINGH AND PARTNERS ENTT BHATTA,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIN/135888/2020&pid=85462,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/135888/2020&type=EC&ID=85462
4,SIA/UP/MIN/135948/2020,5393,"Brick Earth Mining Project, M/S Jai Bala Ji Brick Field",Uttar Pradesh,Kannauj,Tirwa,Date of Submission for TOR: ,Date of Submission for EC: 17 Jan 2020 ,Non-Coal Mining,M/S JAI BALA JI BRICK FIELD,"MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.",https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIN/135948/2020&pid=85479,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/135948/2020&type=EC&ID=85479
5,SIA/UP/MIN/135708/2020,,"Bikamau Khurd, Digurpur, Parsau, Mishripur, Ginnohari & Sonwa (Gata No. 38, 274, 312, 210, 260, 263, 264, 633, 376, 725, 149K, 146, 115, 72 & 241) soil brick mining project.",Uttar Pradesh,Lucknow,Bakshi Ka Talab,Date of Submission for TOR: ,Date of Submission for EC: 08 Jan 2020 ,Non-Coal Mining,M/S KESHARI BRICK FIELD,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIN/135708/2020&pid=84423,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/135708/2020&type=EC&ID=84423
6,SIA/UP/MIS/49644/2019,5415,"Group Housing Project (PMAY) ""Migsun Atharva Phase-I""",Uttar Pradesh,Ghaziabad,Ghaziabad,Date of Submission for EC: 22 Jan 2020 ,Date of Ec Granted : 29 May 2020,INFRA-2,MAHALUXMI BUILDTECH LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIS/49644/2019&pid=85519,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIS/49644/2019&type=EC&ID=85519
7,SIA/UP/MIN/136810/2020,,TIRANGA ENT BHATTHA,Uttar Pradesh,Sultanpur,Sultanpur,Date of Submission for TOR: ,Date of Submission for EC: 14 Jan 2020 ,Non-Coal Mining,TIRANGA ENT BHATHHA,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIN/136810/2020&pid=85720,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/136810/2020&type=EC&ID=85720
8,SIA/UP/MIN/53643/2019,5688/4815,"“Building Stone (Khanda, Gitti & Boulder) Mine” Project at Gata No.-19, Khand-05, Village- Ganj, Tehsil- Mahoba, District- Mahoba, U.P. (Leased Area : 4.048 ha.)",Uttar Pradesh,Mahoba,Mahoba,Date of Submission for EC: 05 Jun 2020 ,Date of Ec Granted : 03 Sep 2020,Non-Coal Mining,ANIL KUMAR SHUKLA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIN/53643/2019&pid=111589,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/53643/2019&type=EC&ID=111589
9,SIA/UP/MIN/53648/2019,5686/4812,"“Building Stone (Khanda, Gitti & Boulder) Mine” Project at Gata No.-19, Khand-02, Village- Ganj, Tehsil- Mahoba, District- Mahoba, U.P. (Leased Area : 4.048 ha.)",Uttar Pradesh,Mahoba,Mahoba,Date of Submission for EC: 05 Jun 2020 ,Date of Ec Granted : 03 Sep 2020,Non-Coal Mining,OM PRAKASH BHARDWAJ,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIN/53648/2019&pid=111597,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/53648/2019&type=EC&ID=111597
