"","X","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"1",1,"SIA/UK/MIN/46343/2019","E.C- 01(129)/2019","M/S BADRISH SWAYATT SAHKARITA SAMITI","M/S BADRISH SWAYATT SAHKARITA SAMITI","EC Granted","EC",NA
"2",2,"SIA/UK/MIS/120412/2019","E.C- 09(46)/2019","M/S KUMAD PHARMA","M/S KUMAD PHARMA","Under examination of SEAC manually process","EC",NA
"3",3,"SIA/UK/MIN/126465/2019","EC-1(123)/2019","Nagrasu RBM Project","NAGRASU RBM PROJECT","EC Granted","EC",NA
"4",4,"SIA/UK/MIN/51716/2018","EC-1(6)/2018","Kholiyagoan Soapstone Mine","SHRI RAJENDRA UPADHYAY","EC Granted","EC",NA
"5",5,"SIA/UK/MIN/58696/2020","EC-1(136)/2020","Sand/Bajri/Boulder at Khasra No- 657/3 Village - Banjarewala Grant, Tehsil- Bhagwanpur, District- Haridwar (Area- 15.0 ha))","BANJAREWALA GRANT RBM PROJECT","EC Granted","EC",NA
"6",6,"SIA/UK/NCP/37740/2014","E.C- 09(37)/2019","Environmental Clearance for replacing existing DG set of higher capacity (1010 KVA x 03 Nos.) by M/s Flex Foods Limited at Lal Tappar Industrial Area, P.O. Resham Majri, Haridwar Road, Dehradun","FLEX FOODS LIMITED","EC Granted - Processed offline","EC",NA
"7",7,"SIA/UK/IND2/192986/2021","EC-9(69)/2021","Proposed Craft Beer Fermentation Unit","M/S GOPHER VENTURES PVT. LTD","EC Granted","EC",NA
"8",8,"SIA/UK/MIN/167167/2020","EC-1(157)/2021","Saroda RBM Project","BIRENDRA SINGH","EC Granted","EC",NA
"9",9,"SIA/UK/IND2/58902/2009","EC-5(5)/2019","Environmental Impact Assessment Report for proposed enhancement of production Capacity of PET Chips from 57600.00 MT/Annum to 69600.00 MT/Annum through modification and modernization by M/s Polyplex Corporation Ltd.","POLYPLEX CORPORATION LTD","EC Granted","EC",NA
"10",10,"SIA/UK/IND3/235368/2021","EC-09(95)/2021","M/s  Forbes Aquatech  Limited  at Khasra No 3946, 3947, 3961, 3962  Lal Tappar,  Mazari Grant, Tehsil Rishikesh, Distt.-Dehradun, Uttarakhand -248140","MS FORBES AQUATECH LIMITED","EC Granted","EC",NA
"11",1,"SIA/UK/NCP/97287/2019","E.C 9(27)/2019","Amendment in Environmental Clearance for proposed manufacturing of Pharmaceutical Formulation Products along with Utilities viz. LPG based Boilers & green insulated DG Set by M/s Sharon Bio-Medicine Limited at Khasra No. 1027/28/30/37, Central Hope T","SHARON BIO MEDICINE LIMITED","Under examination of SEAC manually process","EC",NA
"12",2,"SIA/UK/NCP/190718/2020","EC-9(66)/2021","HFA Formulations Pvt. Ltd.","HFA FORMULATION PVT. LTD.","EC Granted","EC",NA
"13",3,"SIA/UK/MIS/165237/2020","EC-9(65)/2020","M/S Himalayan Drug Company atPlot No – 181KA, 181KHA, 181GA  & 181GHA Saharanpur Road, Clemen Town, Sevla Khurd","MS HIMALAYA AND DRUG COMPANY","EC Granted","EC",NA
"14",4,"SIA/UK/MIS/242731/2021","EC-09(04)/2022","Environmental clearance for proposed installation of RBM Screening Plant by M/s Sai Screening Plant at Khasra No. 281, 286, 291Ka, 292Ka, 293, 294, 295, 297Ka, 228, 287, 288, 289, 316, 317Ka, 321, 296Ka, 290, 315, 335Kha, 236, 317Ga, Village Abdullap","M/S SAI SCREENING PLANT","EC Granted","EC",NA
"15",5,"SIA/UK/MIS/216377/2021","EC-08(41)/2021","Environmental Clearance for the Proposed Expansion of Hotel Facility by Constructing Additional Rooms and Installation of Green Insulated DG Set by M/s Sir Bio Tech India Limited Located at Khasra No. 92Ga, 93 & 94 Ka, Village Danio Ka Danda, Tehsil","M/S SIR BIO TECH INDIA LIMITED","EC Granted","EC",NA
"16",6,"SIA/UK/MIS/221468/2021","EC-09(85)/2021","Environmental Clearance for proposed establishment of Hot Mix Plant by M/s AA Constructions at Khata No. 84, Khasra No. 4756 mi (New Khasra no. 1605ka, 1605kha and 1605ga) and Khasra no. 4757 (New Khasra no.1606) at Village – Jamankhata, Pargana Pach","M/S AA CONSTRUCTIONS","EC Granted","EC",NA
"17",7,"SIA/UK/MIS/134346/2019","E.C 09(51)/2020","ALDER BIOCHEM PVT. LTD","ALDER BIOCHEM PVT. LTD.","EC Granted","EC",NA
"18",8,"SIA/UK/MIN/42784/2019","EC-1(71)/2019","Mining of Soapstone from Lease Area (7.784 Ha.) at Village - Karuli, Tehsil & District - Bageshwar, Uttarakhand by M/s Balraj Associates","PROPOSED SOAPSTONE MINE AT VILLAGE KARULI TEHSIL AND DISTRICT BAGESHWAR UTTARAKHAND BY MS BALRAJ ASSOCIATES","Under examination of SEAC","EC",NA
"19",9,"SIA/UK/IND3/235499/2021","EC-09(93)/2021","Environmental Clearance for Proposed Manufacturing Unit of Tablet, Capsules & Powder by M/s. East African India Overseas in Pharmacity, Vikas Nagar, Dehradun","EAST AFRICAN (INDIA) OVERSEAS","EC Granted","EC",NA
"20",10,"SIA/UK/MIN/68901/2019","EC-01(103)/2019","Soapstone Mining at Village- Lohakot, Tehsil- Didihat, District- Pithoragarh, Uttarakhand by M/s Lohakot Mines & Minerals","LOHAKOT MINES AND MINREALS","EC Granted","EC",NA
"21",1,"SIA/UK/NCP/108144/2019","E.C 09(36)/2019","Environmental Clearance for Proposed Installation of Hot Mix Plant at Khata No. 02, Khasra No. 606, Rishikesh Gangoti Bypass Marg, Village Partho Marg Tehsil – Narendra Nagar, District – Dehradun, Utt","P K INFRATECH","Under examination of SEAC manually process","EC",NA
