,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
0,SIA/UK/MIN/46343/2019,E.C- 01(129)/2019,M/S BADRISH SWAYATT SAHKARITA SAMITI,Uttarakhand,Chamoli,Joshimath,Date of Submission for EC: 12 Nov 2019 ,Date of Ec Granted : 03 Feb 2020,Non-Coal Mining,M/S BADRISH SWAYATT SAHKARITA SAMITI,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/MIN/46343/2019&pid=71848,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/46343/2019&type=EC&ID=71848
1,SIA/UK/MIS/120412/2019,E.C- 09(46)/2019,M/S KUMAD PHARMA,Uttarakhand,Dehradun,Vikasnagar,Date of Submission for TOR: ,Date of Submission for EC: 04 Oct 2019 ,INFRA-2,M/S KUMAD PHARMA,Under examination of SEAC manually process,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/MIS/120412/2019&pid=68368,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIS/120412/2019&type=EC&ID=68368
2,SIA/UK/MIN/126465/2019,EC-1(123)/2019,Nagrasu RBM Project,Uttarakhand,Rudraprayag,Rudraprayag,Date of Submission for EC: 21 Nov 2019 ,Date of Ec Granted : 14 Feb 2020,Non-Coal Mining,NAGRASU RBM PROJECT,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/MIN/126465/2019&pid=74219,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/126465/2019&type=EC&ID=74219
3,SIA/UK/MIN/51716/2018,EC-1(6)/2018,Kholiyagoan Soapstone Mine,Uttarakhand,Bageshwar,Bageshwar,Date of Submission for EC: 29 Feb 2020 ,Date of Ec Granted : 09 Nov 2020,Non-Coal Mining,SHRI RAJENDRA UPADHYAY,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/MIN/51716/2018&pid=94954,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/51716/2018&type=EC&ID=94954
4,SIA/UK/MIN/58696/2020,EC-1(136)/2020,"Sand/Bajri/Boulder at Khasra No- 657/3 Village - Banjarewala Grant, Tehsil- Bhagwanpur, District- Haridwar (Area- 15.0 ha))",Uttarakhand,Haridwar,Roorkee,Date of Submission for EC: 30 Nov 2020 ,Date of Ec Granted : 12 Aug 2021,Non-Coal Mining,BANJAREWALA GRANT RBM PROJECT,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/MIN/58696/2020&pid=145411,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/58696/2020&type=EC&ID=145411
5,SIA/UK/NCP/37740/2014,E.C- 09(37)/2019,"Environmental Clearance for replacing existing DG set of higher capacity (1010 KVA x 03 Nos.) by M/s Flex Foods Limited at Lal Tappar Industrial Area, P.O. Resham Majri, Haridwar Road, Dehradun",Uttarakhand,Dehradun,Rishikesh,Date of Submission for EC: 28 Sep 2019 ,Date of Ec Granted : 06 Dec 2019,INFRA-1,FLEX FOODS LIMITED,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/NCP/37740/2014&pid=56649,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/NCP/37740/2014&type=EC&ID=56649
6,SIA/UK/IND2/192986/2021,EC-9(69)/2021,Proposed Craft Beer Fermentation Unit,Uttarakhand,Dehradun,Vikasnagar,Date of Submission for EC: 13 Jan 2021 ,Date of Ec Granted : 12 Mar 2021,Industrial Projects - 2,M/S GOPHER VENTURES PVT. LTD,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/IND2/192986/2021&pid=160054,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/IND2/192986/2021&type=EC&ID=160054
7,SIA/UK/MIN/167167/2020,EC-1(157)/2021,Saroda RBM Project,Uttarakhand,Pauri Garhwal,Pauri,Date of Submission for EC: 02 Jan 2021 ,Date of Ec Granted : 19 Mar 2021,Non-Coal Mining,BIRENDRA SINGH,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/MIN/167167/2020&pid=121926,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/167167/2020&type=EC&ID=121926
8,SIA/UK/IND2/58902/2009,EC-5(5)/2019,Environmental Impact Assessment Report for proposed enhancement of production Capacity of PET Chips from 57600.00 MT/Annum to 69600.00 MT/Annum through modification and modernization by M/s Polyplex Corporation Ltd.,Uttarakhand,Udham Singh Nagar,Bajpur,Date of Submission for EC: 06 Dec 2020 ,Date of Ec Granted : 19 Mar 2021,Industrial Projects - 2,POLYPLEX CORPORATION LTD,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/IND2/58902/2009&pid=146664,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/IND2/58902/2009&type=EC&ID=146664
9,SIA/UK/IND3/235368/2021,EC-09(95)/2021,"M/s  Forbes Aquatech  Limited  at Khasra No 3946, 3947, 3961, 3962  Lal Tappar,  Mazari Grant, Tehsil Rishikesh, Distt.-Dehradun, Uttarakhand -248140",Uttarakhand,Dehradun,Rishikesh,Date of Submission for EC: 27 Oct 2021 ,Date of Ec Granted : 12 Nov 2021,Industrial Projects - 3,MS FORBES AQUATECH LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/IND3/235368/2021&pid=192529,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/IND3/235368/2021&type=EC&ID=192529
