,Proposal,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
0,SIA/WB/MIN/247169/2021,,Stone Crushing Unit of M/s Ashwini Gorai Crusher,West Bengal,Purulia,Barabazar,Date of Submission for TOR: ,Date of Submission for EC: 24 Dec 2021 ,Non-Coal Mining,M/S ASHWINI GORAI CRUSHER,Delisted
1,SIA/WB/MIS/34995/2018,EN/T-II-1/80/2018,Southcity,West Bengal,Kolkata,Kolkata,Date of Submission for EC: 19 Apr 2019 ,Date of Ec Granted : 06 May 2019,INFRA-2,SOUTH CITY PROJECTS (KOLKATA) LTD.,EC Granted
2,SIA/WB/MIN/232241/2021,,"Ghanesharpur sand mine on Kangshabati river at plot no: Plot No: 84 (P), 85(P) & 86(P) / JL No.: 109, Area- 0.44 Hectare/1.09 Acres Mouza: Ghanesharpur, P.S. Sadar, District: Paschim Medinipur, State: West Bengal.",West Bengal,West Medinipur,Medinipur Sadar,Date of Submission for TOR: ,Date of Submission for EC: 01 Oct 2021 ,Non-Coal Mining,KARTICK JANA,Delisted
3,SIA/WB/MIN/229166/2021,,"Dadpur Sand Mine, Kamal Kumar Ghosh",West Bengal,Purba Burdwan,Burdwan,Date of Submission for TOR: ,Date of Submission for EC: 18 Sep 2021 ,Non-Coal Mining,RAY TECHNO SOLUTIONS,Delisted
4,SIA/WB/MIN/166343/2020,EN/T-II-1/030/2020,"Bhalukmura Sand Mine (Area- 2.02 Hectares) on Silabati River on Plot No. 16(P), 63(P) & 77(P)",,,,Date of Submission for TOR: ,Date of Submission for EC: 13 Oct 2020 ,Non-Coal Mining,PRASANTA KARAK,Delisted
5,SIA/WB/MIN/218850/2021,,M/s Reza Brick Field,West Bengal,Malda,Harishchandrapur - I,Date of Submission for TOR: ,Date of Submission for EC: 31 Jul 2021 ,Non-Coal Mining,M/S REZA BRICK FIELD,Delisted
6,SIA/WB/MIN/247204/2021,,STONE CRUSHER UNIT OF M/S K. K. BUILDERS PVT. LTD.,West Bengal,Purulia,Barabazar,Date of Submission for TOR: ,Date of Submission for EC: 24 Dec 2021 ,Non-Coal Mining,STONE CRUSHER UNIT OF M/S K. K. BUILDERS PVT. LTD.,Delisted
7,SIA/WB/MIN/189642/2020,EN/T-II-1/024/2021,Sayed mia Brick Field,West Bengal,Malda,Maldah (old),Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2021 ,Non-Coal Mining,M/S SAYED MIA BRICK FIELD,Delisted
8,SIA/WB/MIN/232782/2021,,"OWARI BRICK EARTH MINE FOR M/S SONA BRICK FIELD, AREA 3.03 ACRES",West Bengal,Malda,Harishchandrapur - I,Date of Submission for TOR: ,Date of Submission for EC: 16 Nov 2021 ,Non-Coal Mining,M/S SONA BRICK FIELD,Delisted
9,SIA/WB/IND/61186/2021,EN/T-II-1/057/2021,"Proposed 56,000 TPA GREEN FIELD Coal Tar Distillation Plant for production of 30,800 TPA of Coal Tar Pitch; 22,120 TPA of Creosote Oil (light and heavy) and 1680 TPA of Crude Naphthalene",West Bengal,Paschim bardhaman,Kanksa,Date of Submission for TOR: ,Date of Submission for EC: 19 Aug 2022 ,Industrial Projects - 1,B S TAR PVT. LTD.,Transfered SEIAA To MOEFCC
10,SIA/WB/IND/29902/2016,,"The proposed expansion of 90,000 TPA steel billets and 1,60,000 TPA wire rods to 1,92,000 TPA Wire rod and 60,000 TPA HB wire",West Bengal,Burdwan,Kanksa,Date of Submission for TOR: ,Date of Submission for EC: 02 Jan 2019 ,Industrial Projects - 1,SUPER SMELTERS LIMITED,WithdrawEC
11,SIA/WB/MIN/189216/2020,EN/T-II-1/022/2021,M/s Lux Brick Field,West Bengal,Malda,Harishchandrapur - I,Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2021 ,Non-Coal Mining,M/S LUX BRICK FIELD,Delisted
12,SIA/WB/MIN/262446/2022,EN/T-II-1/366/2023,Char Molladanga Sand Block BHAG 1 (ID No. 2018-WB-865) of Rakibul Hoque.,West Bengal,Murshidabad,Bhagawangola - II,Date of Submission for TOR: ,Date of Submission for EC: 11 Apr 2023 ,Non-Coal Mining,RAKIBUL HOQUE,Rejection Letter Granted
13,SIA/WB/MIN/262704/2022,,Becharhat Sand Mine,West Bengal,Purba Burdwan,Burdwan,Date of Submission for TOR: ,Date of Submission for EC: 23 Mar 2022 ,Non-Coal Mining,PRASANTA KUMAR HAIT,Delisted
14,SIA/WB/MIN/187562/2020,EN/T-II-1/135/2021,SEEMA BRICKS WORKS,West Bengal,South 24 Parganas,Jaynagar - I,Date of Submission for TOR: ,Date of Submission for EC: 29 Apr 2021 ,Non-Coal Mining,MS SEEMA BRICKS,Delisted
15,SIA/WB/MIN/183734/2020,EN/T-II-1/055/2020,River Bed Sand Mining Project on Ajay River of M/s Ganesh Nandy,West Bengal,Paschim bardhaman,Jamuria,Date of Submission for TOR: ,Date of Submission for EC: 18 Nov 2020 ,Non-Coal Mining,M/S GANESH NANDY,Delisted
