,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted
0,SIA/WB/MIN/247169/2021,Stone Crushing Unit of M/s Ashwini Gorai Crusher,Non-Coal Mining,24 Dec 2021,24/12/2021,11/02/2022,,,,,,,
1,SIA/WB/MIS/34995/2018,Southcity,INFRA-2,19 Apr 2019,19/04/2019,,,08/05/2019,,,17/05/2019,17/05/2019,06/05/2019
2,SIA/WB/MIN/232241/2021,"Ghanesharpur sand mine on Kangshabati river at plot no: Plot No: 84 (P), 85(P) & 86(P) / JL No.: 109, Area- 0.44 Hectare/1.09 Acres Mouza: Ghanesharpur, P.S. Sadar, District: Paschim Medinipur, State: West Bengal.",Non-Coal Mining,01 Oct 2021,01/10/2021,,,,,,,,
3,SIA/WB/MIN/229166/2021,"Dadpur Sand Mine, Kamal Kumar Ghosh",Non-Coal Mining,18 Sep 2021,18/09/2021,30/09/2021,,,,,,,
4,SIA/WB/MIN/166343/2020,"Bhalukmura Sand Mine (Area- 2.02 Hectares) on Silabati River on Plot No. 16(P), 63(P) & 77(P)",Non-Coal Mining,13 Oct 2020,03/08/2020,31/08/2020,13/10/2020,27/11/2020,,,13/04/2021,,
5,SIA/WB/MIN/218850/2021,M/s Reza Brick Field,Non-Coal Mining,31 Jul 2021,31/07/2021,20/11/2021,,,,,,,
6,SIA/WB/MIN/247204/2021,STONE CRUSHER UNIT OF M/S K. K. BUILDERS PVT. LTD.,Non-Coal Mining,24 Dec 2021,24/12/2021,11/02/2022,,,,,,,
7,SIA/WB/MIN/189642/2020,Sayed mia Brick Field,Non-Coal Mining,09 Feb 2021,26/12/2020,10/01/2021,09/02/2021,19/02/2021,,,12/05/2021,,
8,SIA/WB/MIN/232782/2021,"OWARI BRICK EARTH MINE FOR M/S SONA BRICK FIELD, AREA 3.03 ACRES",Non-Coal Mining,16 Nov 2021,16/11/2021,06/12/2021,,,,,,,
9,SIA/WB/IND/61186/2021,"Proposed 56,000 TPA GREEN FIELD Coal Tar Distillation Plant for production of 30,800 TPA of Coal Tar Pitch; 22,120 TPA of Creosote Oil (light and heavy) and 1680 TPA of Crude Naphthalene",Industrial Projects - 1,19 Aug 2022,09/02/2022,22/02/2022,19/08/2022,24/08/2022,,,29/08/2022,,
10,SIA/WB/IND/29902/2016,"The proposed expansion of 90,000 TPA steel billets and 1,60,000 TPA wire rods to 1,92,000 TPA Wire rod and 60,000 TPA HB wire",Industrial Projects - 1,02 Jan 2019,02/01/2019,20/12/2018,02/01/2019,,,,,,
11,SIA/WB/MIN/189216/2020,M/s Lux Brick Field,Non-Coal Mining,09 Feb 2021,22/12/2020,04/01/2021,09/02/2021,19/02/2021,,,12/05/2021,,
12,SIA/WB/MIN/262446/2022,Char Molladanga Sand Block BHAG 1 (ID No. 2018-WB-865) of Rakibul Hoque.,Non-Coal Mining,11 Apr 2023,18/03/2022,07/02/2023,11/04/2023,17/04/2023,,,17/04/2023,,
13,SIA/WB/MIN/262704/2022,Becharhat Sand Mine,Non-Coal Mining,23 Mar 2022,23/03/2022,,,,,,,,
14,SIA/WB/MIN/187562/2020,SEEMA BRICKS WORKS,Non-Coal Mining,29 Apr 2021,12/12/2020,26/01/2021,29/04/2021,03/09/2021,,,16/11/2021,,
15,SIA/WB/MIN/183734/2020,River Bed Sand Mining Project on Ajay River of M/s Ganesh Nandy,Non-Coal Mining,18 Nov 2020,18/11/2020,,,21/12/2020,,,16/04/2021,,
16,SIA/WB/MIN/220482/2021,"Hard Brick Field, Joydeb Mondal",Non-Coal Mining,16 Jul 2021,16/07/2021,31/08/2021,,,,,,,
17,SIA/WB/MIN/215489/2021,MD BAZAR STONE CRUSHER MINES,Non-Coal Mining,01 Jul 2021,01/07/2021,,,17/08/2021,,,06/09/2021,,
18,SIA/WB/MIN/256733/2022,JIYATHOL QUARTZ & FELDSPAR MINE,Non-Coal Mining,26 Apr 2022,26/02/2022,07/04/2022,26/04/2022,,,,,,
19,SIA/WB/MIN/261116/2022,Chabukya Sand Mine,Non-Coal Mining,23 Mar 2022,23/03/2022,,,,,,,,
20,SIA/WB/MIN/217293/2021,M/s Ratan Brick Field,Non-Coal Mining,02 Jul 2021,02/07/2021,,,,,,,,
21,SIA/WB/MIN/215781/2021,GURGURAPAL SAND MINE (AREA- 3.00 HECTARES) ON KANGSHABATI RIVER ON Plot No.-485(P),Non-Coal Mining,24 Jun 2021,24/06/2021,,,17/08/2021,,,,,
22,SIA/WB/MIN/249221/2021,Stone Crusher of PREMLATA STONE WORKS,Non-Coal Mining,31 Dec 2021,31/12/2021,12/02/2022,,,,,,,
23,SIA/WB/MIS/277567/2022,Town House,INFRA-2,13 Jun 2022,13/06/2022,,,22/06/2022,,,27/06/2022,,
