,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
1,1,SIA/WB/MIN/198485/2021,EN/T-II-1/036/2021,Brick Earth Mine of Joti Bricks,JOTI BRICKS,Delisted,EC,
2,2,SIA/WB/MIN/232731/2021,,"Kushmai Brick Earth Mine For M/s K.M.B. Brick Field, Area 2.97 Acres",M/S K.M.B. BRICK FIELD,Delisted,EC,
3,3,SIA/WB/MIN/261163/2022,,Naldumra [Plot No. 46(P); J.L. No.- 82] sand deposit on Kangshabati River,SHEIKH FIROZUDDIN,Pending at PP due to eds,EC,
4,4,SIA/WB/MIN/261297/2022,EN/T-II-1/132/2023,Chakdaulat [Plot No. 324(P); J.L. No.- 285] sand deposit on Kangshabati River,IYAMIN MONDAL,Rejection Letter Granted,EC,
5,5,SIA/WB/IND/219918/2021,,"Proposed Upgradation & Expansion of Existing Rolling Mill at NH-2, Delhi Road, Mouza- Belumilky, Vill: Chotobelu, Payarapur, Block: Serampore, Dist: Hooghly, West Bengal",BRAND ALLOYS PVT. LTD.,WithdrawEC,EC,
6,6,SIA/WB/MIN/181252/2020,EN/T-II-1/003/2021,"Subarnarekha river Bed project of Mandiara Dasadhikari Chanda, MSHB-1",MANDIRA DASADHIKARI CHANDA - MSHB 1,Delisted,EC,
7,7,SIA/WB/MIN/230109/2021,,"Jamalpur Sand Mine, Manas Kumar Dhara","MANAS KUMAR DHARA, JAMALPUR SAND MINE",Delisted,EC,
8,8,SIA/WB/MIN/189879/2020,,M/s B.K.S Brick Field,BKS BRICK FIELD,Delisted,EC,
9,9,SIA/WB/MIN/190528/2020,,"Owari Brick Earth Mine For M/s Sona Brick Field, Area 3.03 Acres",P & M SOLUTION,Delisted,EC,
10,10,SIA/WB/MIN/197473/2021,EN/T-II-1/099/2021,Balia Sand Mine,M/S GREEGO DRIVE PVT. LTD,Delisted,EC,
1,11,SIA/WB/MIN/200525/2021,,"Kumirkola Sand Mine, Ashim Pamja",RAY TECHNO SOLUTIONS,Delisted,EC,
2,12,SIA/WB/MIN/224582/2021,,BALIA BRICK SOIL MINING PROJECT FOR NEW PRASAD BRICK FIELD,NEW PRASAD BRICK FIELD,Delisted,EC,
3,13,SIA/WB/MIN/192797/2021,EN/T-II-1/087/2021,Babla Brick / Earth Mine,TARAMA BRICK FIELD,Delisted,EC,
4,14,SIA/WB/MIS/105360/2019,EN/T-II-1/053/2019,MODIFICATION AND EXPANSION OF RESIDENTIAL COMPLEX,DISPLAY VINIMAY PRIVATE LIMITED,WithdrawEC,EC,
5,15,SIA/WB/MIN/207945/2021,,CHORCHITA SAND MINE ON SUBARNAREKHA RIVER,ADYAMAA TRADELINK PVT. LTD.,Delisted,EC,
