,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
0,SIA/WB/MIS/48035/2019,EN/T-II-1/005/2020,"Expansion of Existing Common Bio-Medical Waste Treatment Facility at Mouza Mangalpur, Touzi No. 19, Manbhum, Dag No. 457(P), 458(P), JL No. 22, Ranigunj P.O. & P.S., Paschim Bardhaman District.",West Bengal,Barddhaman,Raniganj,Date of Submission for TOR: ,Date of Submission for EC: 15 Feb 2022 ,INFRA-2,MEDICARE ENVIRONMENTAL MANAGEMENT PVT. LTD.,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=West%20Bengal&pno=SIA/WB/MIS/48035/2019&pid=199102,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/WB/MIS/48035/2019&type=EC&ID=199102
1,SIA/WB/MIS/220603/2021,EN/T-II-1/138/2021,Affordable Housing Complex under Pradhan Mantri Awas Yojana,West Bengal,Howrah,Domjur,Date of Submission for EC: 09 Aug 2021 ,Date of Ec Granted : 19 Sep 2022,INFRA-2,IDEAL RIVERVIEW PROJECTS PVT. LTD.,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=West%20Bengal&pno=SIA/WB/MIS/220603/2021&pid=189352,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/WB/MIS/220603/2021&type=EC&ID=189352
2,SIA/WB/MIN/180373/2020,,Brick earth Mine on Mouza – Laliabari,West Bengal,Malda,Chanchal - I,Date of Submission for TOR: ,Date of Submission for EC: 23 Oct 2020 ,Non-Coal Mining,CRYSTAL CONSULTANTS,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=West%20Bengal&pno=SIA/WB/MIN/180373/2020&pid=141140,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/WB/MIN/180373/2020&type=EC&ID=141140
3,SIA/WB/MIN/197709/2021,,Sujapur Brick Soil Mining Project For M/s Maa Laxmi Brick Field,West Bengal,Malda,Maldah (old),Date of Submission for TOR: ,Date of Submission for EC: 11 Feb 2021 ,Non-Coal Mining,P & M SOLUTION,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=West%20Bengal&pno=SIA/WB/MIN/197709/2021&pid=163203,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/WB/MIN/197709/2021&type=EC&ID=163203
4,SIA/WB/MIN/232070/2021,,"Lodha Sand Mine on Silabati River at plot no: 389(P), J.L. No.-886, Area-0.63 Hectare/1.56 Acres , Mouza: Lodha, P.S. Garhbeta, District: Paschim Medinipur, State: West Bengal.",West Bengal,West Medinipur,Garhbeta,Date of Submission for TOR: ,Date of Submission for EC: 30 Sep 2021 ,Non-Coal Mining,BABLU SARKAR_LODHA,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=West%20Bengal&pno=SIA/WB/MIN/232070/2021&pid=191776,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/WB/MIN/232070/2021&type=EC&ID=191776
5,SIA/WB/MIN/167774/2020,EN/T-II-1/038/2020,"NALDUMRA SAND MINE (AREA- 5.00 HECTARES) ON KANGSHABATI RIVER ON Plot No.-46(P).LOCATED AT MOUZA- NALDUMRA, P.S. - MIDNAPORE, DISTRICT- PASCHIM MEDINIPUR, STATE- WEST BENGAL, JL NO. 82",,,,Date of Submission for TOR: ,Date of Submission for EC: 13 Oct 2020 ,Non-Coal Mining,SHEIKH FIROZUDDIN,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=West%20Bengal&pno=SIA/WB/MIN/167774/2020&pid=123078,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/WB/MIN/167774/2020&type=EC&ID=123078
6,SIA/WB/MIS/186026/2020,EN/T-II-1/079/2018,Parvati Garden,West Bengal,North 24 Parganas,Barrackpur - I,Date of Submission for TOR: ,Date of Submission for EC: 25 Jan 2021 ,INFRA-2,SURADHANI CHEMICALS AND BOARD MFG CO PVT LTD AND OTHERS,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=West%20Bengal&pno=SIA/WB/MIS/186026/2020&pid=145518,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/WB/MIS/186026/2020&type=EC&ID=145518
7,SIA/WB/MIN/259464/2022,,Lodha sand mine on Silabati river,West Bengal,West Medinipur,Garhbeta,Date of Submission for TOR: ,Date of Submission for EC: 05 Mar 2022 ,Non-Coal Mining,BABLU SARKAR_LODHA,Under examination of SEIAA ,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=West%20Bengal&pno=SIA/WB/MIN/259464/2022&pid=199900,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/WB/MIN/259464/2022&type=EC&ID=199900
8,SIA/WB/MIN/262169/2022,EN/T-II-1/064/2023,Idilpur Sand Mine  Namita Enterprise Kanai Chandra Das,West Bengal,Barddhaman,Burdwan - I,Date of Submission for TOR: ,Date of Submission for EC: 03 Feb 2023 ,Non-Coal Mining,"NAMITA ENTERPRISE, IDILPUR",Rejection Letter Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=West%20Bengal&pno=SIA/WB/MIN/262169/2022&pid=200601,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/WB/MIN/262169/2022&type=EC&ID=200601
9,SIA/WB/MIN/218051/2021,,M/s MRB Brick Field,West Bengal,Malda,Chanchal - I,Date of Submission for TOR: ,Date of Submission for EC: 16 Jul 2021 ,Non-Coal Mining,M/S MRB BRICK FIELD,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=West%20Bengal&pno=SIA/WB/MIN/218051/2021&pid=188934,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/WB/MIN/218051/2021&type=EC&ID=188934
