state_name,state_lgd,state_census2011,District,lgd,census2011
Haryana,6,6,Ambala,58,70
Haryana,6,6,Bhiwani,59,81
Haryana,6,6,Charkhi Dadri,701,0
Haryana,6,6,Faridabad,60,88
Haryana,6,6,Fatehabad,61,78
Haryana,6,6,Gurgaon,62,86
Haryana,6,6,Hisar,63,80
Haryana,6,6,Jhajjar,64,83
Haryana,6,6,Jind,65,77
Haryana,6,6,Karnal,67,74
Haryana,6,6,Mahendragarh,69,84
Haryana,6,6,Mewat,604,87
Haryana,6,6,Palwal,619,89
Haryana,6,6,Panchkula,70,69
Haryana,6,6,Panipat,71,75
Haryana,6,6,Rewari,72,85
Haryana,6,6,Rohtak,73,82
Haryana,6,6,Sirsa,74,79
Haryana,6,6,Sonipat,75,76
Haryana,6,6,Yamunanagar,76,71
Odisha,21,21,Angul,344,384
Odisha,21,21,Anugul,344,384
Odisha,21,21,Balangir,345,393
Odisha,21,21,Balasore,346,377
Odisha,21,21,Baleshwar,346,377
Odisha,21,21,Bargarh,347,370
Odisha,21,21,Bhadrak,348,378
Odisha,21,21,Boudh,349,391
Odisha,21,21,Cuttack,350,381
Odisha,21,21,Debagarh,351,373
Odisha,21,21,Dhenkanal,352,383
Odisha,21,21,Gajapati,353,389
Odisha,21,21,Ganjam,354,388
Odisha,21,21,Jagatsinghapur,355,380
Odisha,21,21,Jajpur,356,382
Odisha,21,21,Jharsuguda,357,371
Odisha,21,21,Kalahandi,358,395
Odisha,21,21,Kandhamal,359,390
Odisha,21,21,Kendrapara,360,379
Odisha,21,21,Kendujhar,361,375
Odisha,21,21,Khordha,362,386
Odisha,21,21,Koraput,363,398
Odisha,21,21,Malkangiri,364,399
Odisha,21,21,Mayurbhanj,365,376
Odisha,21,21,Nabarangpur,366,397
Odisha,21,21,Nayagarh,367,385
Odisha,21,21,Nuapada,368,394
Odisha,21,21,Puri,369,387
Odisha,21,21,Rayagada,370,396
Odisha,21,21,Sambalpur,371,372
Odisha,21,21,Sonapur,372,392
Odisha,21,21,Sundargarh,373,374
Uttar Pradesh,9,9,AYODHYA,140,177
Uttar Pradesh,9,9,Agra,118,146
Uttar Pradesh,9,9,Aligarh,119,143
Uttar Pradesh,9,9,Ambedkar Nagar,121,178
Uttar Pradesh,9,9,Amethi,640,0
Uttar Pradesh,9,9,Amroha,154,137
Uttar Pradesh,9,9,Auraiya,122,162
Uttar Pradesh,9,9,Azamgarh,123,191
Uttar Pradesh,9,9,Bagpat,124,139
Uttar Pradesh,9,9,Bahraich,125,180
Uttar Pradesh,9,9,Ballia,126,193
Uttar Pradesh,9,9,Balrampur,127,182
Uttar Pradesh,9,9,Banda,128,170
Uttar Pradesh,9,9,Barabanki,129,176
Uttar Pradesh,9,9,Bareilly,130,150
Uttar Pradesh,9,9,Basti,131,185
Uttar Pradesh,9,9,Bijnor,132,134
Uttar Pradesh,9,9,Budaun,133,149
Uttar Pradesh,9,9,Bulandshahr,134,142
Uttar Pradesh,9,9,Chandauli,135,196
Uttar Pradesh,9,9,Chitrakoot,136,171
Uttar Pradesh,9,9,Deoria,137,190
Uttar Pradesh,9,9,Etah,138,201
Uttar Pradesh,9,9,Etawah,139,161
Uttar Pradesh,9,9,Farrukhabad,141,159
Uttar Pradesh,9,9,Fatehpur,142,172
Uttar Pradesh,9,9,Firozabad,143,147
Uttar Pradesh,9,9,Gautam Buddha Nagar,144,141
Uttar Pradesh,9,9,Ghaziabad,145,140
Uttar Pradesh,9,9,Ghazipur,146,195
Uttar Pradesh,9,9,Gonda,147,183
Uttar Pradesh,9,9,Gorakhpur,148,188
Uttar Pradesh,9,9,Hamirpur,149,168
Uttar Pradesh,9,9,Hapur,661,0
Uttar Pradesh,9,9,Hardoi,150,155
Uttar Pradesh,9,9,Jalaun,151,165
Uttar Pradesh,9,9,Jaunpur,152,194
Uttar Pradesh,9,9,Jhansi,153,166
Uttar Pradesh,9,9,Jyotiba Phule Nagar,,
Uttar Pradesh,9,9,Kannauj,155,160
Uttar Pradesh,9,9,Kanpur Dehat,156,163
Uttar Pradesh,9,9,Kanpur Nagar,157,164
Uttar Pradesh,9,9,Kasgang,633,202
Uttar Pradesh,9,9,Kaushambi,158,174
Uttar Pradesh,9,9,Kheri,159,153
Uttar Pradesh,9,9,Kushinagar,160,189
Uttar Pradesh,9,9,Lakhimpur Kheri,,
Uttar Pradesh,9,9,Lalitpur,161,167
