state1,elec1,res1,elec2,res2,elec3,res3
Andhra_Pradesh,20140430,20140516,20190411,20190602,,
Bihar,20151012,20151108,20201028,20201110,,
Chattisgarh,20131111,20131208,20181112,20181211,20231107,20231203
Haryana,20141015,20141019,20191021,20191024,,
Jharkhand,20141125,20141223,20191130,20191221,,
Karnataka,20130505,20130508,20180512,20180515,20230510,20230513
Kerala,20110413,20110513,20160516,20160519,20210406,20210502
Odisha,20140410,20140516,20190411,20190602,,
Madhya_Pradesh,20131125,20131208,20181128,20181211,20231117,20231203
Rajasthan,20131201,20131208,20181207,20181211,20231125,20231203
Uttar_Pradesh,20120204,20120303,20170211,20170311,20220210,20220310
Telangana,20140430,20140516,20181207,20181211,20231130,20231203
West_Bengal,20110418,20110513,20160404,20160519,20210327,20210502
Tamil_Nadu,20110413,20110513,20160516,20160519,20210406,20210502
Maharashtra,20141015,20141019,20191021,20191024,,
Gujarat,20121213,20121220,20171209,20171218,20221201,20221208
Himachal_Pradesh,20121104,20121220,20171109,20171218,20221112,20221208
Punjab,20120130,20120303,20170204,20170311,20220220,20220310
