state1,res1,res2,res3
Andhra_Pradesh,20140516,20190602,
Bihar,20140520,20151108,20201110
Chattisgarh,20131208,20181211,20231203
Haryana,20141019,20191024,
Jharkhand,20141223,20191221,
Karnataka,20130508,20180515,20230513
Kerala,20110513,20160519,20210502
Odisha,20140516,20190524,
Madhya_Pradesh,20131208,20181211,20231203
Rajasthan,20131208,20181211,20231203
UP,20120306,20170311,20220310
Telangana,20140528,20181213,20231203
West_Bengal,20110513,20160519,20210526
Tamil_Nadu,20110513,20160519,20210502
Maharashtra,20141019,20191024,
Gujarat,20171218,20221208,
