,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type
1,1,SIA/OR/MIN/48909/2018,48909/15-MINB1/12-2019,Capacity enhancement of Mahaparbat (Unchabali) Iron Ore Mine,ODISHA MINING CORPORATION LIMITED,EC Granted,EC
2,2,SIA/OR/MIN/41890/2019,41890/22-MINB1/06-2020,Expansion of existing iron ore production capacity from 0.864 MTPA to 2.99 MTPA by M/s Geetarani Mohanty,MS GEETARANI MOHANTY,EC Granted,EC
3,3,SIA/OR/IND2/156736/2020,156736/97-IND2/09-2020,Oil&Gas Exploratory Block Project MN-ONHP-2018/4,OIL INDIA LIMITED KGB,EC Granted,EC
4,4,SIA/OR/MIN/253692/2022,253692/538-MINB2/01-2022,Cluster Approach (Jamudiha Stone Quarry over 1.16 Acres and Jamudiaha Stone Quarry over 1.49 Acres) Over an area of 2.65 Acre or 1.072 Hectares in village Jamudiha under Nilgiri Tahasil of Balasore District of Odisha.,TAHASILDAR NILGIRI,EC Granted,EC
5,5,SIA/OR/MIS/253803/2022,253803/80-MIS/04-2022,"Environment Clearance of Proposed Residential Project [B+S+12 multi storied Residential apartment with one block of B+G+3 Storied Commercial and G+2 Storied Community Hall ] over Revenue Plot No. 1380 & 1390 of  Mouza Nuahat,Thana - Cuttack Sadar No-",LAXMI INFRA VENTURE PRIVATE LIMITED,Rejection Letter Granted,EC
6,6,SIA/OR/MIN/76853/2020,76853/290-MINB2/05-2022,"For the grant of EC of Anjira Black Stone quarry No-9 (Cluster Serial No-1A/10), (Khata No-1729, Plot No-1343(p)1385(p)) over an area of 10.40 acres or 4.208 hacters in village Anjira under Dharmasala Tahasil of Jajpur District, Odisha.",AJAY AGARWAL,EC Granted,EC
7,7,SIA/OR/MIN/272281/2022,,Mantrajholla Stone Quarry,DILIP THAKER,Delisted,EC
8,8,SIA/OR/MIN/272036/2022,272036/1202-MINB2/10-2022,Proposal for Grant of Environmental Clearance of Sunarijore B Stone Quarry over an area of 2.00 Acres or 0.809 Hects. in village Sunarijore under Deogaon Tahasil in Balangir District,TAHASILDAR DEOGAON,EC Granted,EC
9,9,SIA/OR/MIN/250540/2022,250540/184-MINB2/01-2022,"Sahapur Stone Quarry over an area of 7.300 acres or 2.954 hectares bearing Khata no. 1404, Plot no. 3026 in Sahapur village of Hinjilicut Tahasil, District- Ganjam State Odisha.",SANGRAM KESHARI MOHANTY,EC Granted,EC
10,10,SIA/OR/MIS/137014/2020,137014/20-MIS/01-2020,Proposed Housing Project (Residential Use Type) of Utkal Realtors Pvt. Ltd.,UTKAL REALTORS PVT. LTD.,EC Granted,EC
