,index,project_number,file_number,project_name,company,proposal_status,project_type
0,,SIA/WB/IND/105345/2019,EN/T-II-1/012/2019,"PROPOSED EXPANSION OF CAPACITY OF STANDALONE CEMENT GRINDING UNIT FROM 1.6 MTPA TO 2 MTPA, AT MOHITNAGAR, NEAR JALPAIGURI, WEST BENGAL",STAR CEMENT LIMITED,EC Granted,EC
1,,SIA/WB/IND/19745/2016,EN/T-II-1/091/2018,"Expansion of Existing Cement Grinding Unit from 3.6 MTPA to 4.8 MTPA to produce Portland Slag Cement (PSC), Portland Pozzolana Cement (PPC), Ordinary Portland Cement (OPC), Composite Cement & Ground Granulated Blast Furnace Slag (GGBS) at Salboni, District: Paschim Medinipur (West Bengal) by M/s. JSW Cement Ltd.",JSW CEMENT LTD,EC Granted,EC
2,,SIA/WB/IND/208916/2021,,"Expansion of existing Cement Grinding Plant from 0.96 MTPA (2 x 600 TPD Ball mill + 1 x 2000 TPD VRM) to 1.2596 MTPA under Clause 7 II (b) of EIA Notification, 2006 by process optimization, increasing the number of working hours per day and annual wo",RASHMI CEMENT LIMITED,Delisted,EC
3,,SIA/WB/IND/219918/2021,,"Proposed Upgradation & Expansion of Existing Rolling Mill at NH-2, Delhi Road, Mouza- Belumilky, Vill: Chotobelu, Payarapur, Block: Serampore, Dist: Hooghly, West Bengal",BRAND ALLOYS PVT. LTD.,WithdrawEC,EC
4,,SIA/WB/IND/220466/2021,,Rolling mill steel plant,M/S GREAT EASTERN INFRACON (P) LTD.,WithdrawEC,EC
5,,SIA/WB/IND/220476/2021,,Rolling Mill Steel Plant,M/S GREAT EASTERN INFRACON (P) LTD.,WithdrawEC,EC
6,,SIA/WB/IND/221205/2021,,Expansion of Rolling Mill Steel Plant,M/S GREAT EASTERN INFRACON (P) LTD.,WithdrawEC,EC
7,,SIA/WB/IND/226566/2021,,Environmental Clearance for Rolling Mill Plant for MS Round / MS Flat production of M/s Bamlia Steel Udyog (P) Ltd. at Village: Dakshin Bansai; P.O: Raghunathpur; P.S: Uttarpara;  Dist.: Hooghly; West Bengal; PIN - 712245,BAMLIA STEEL UDYOG (P) LIMITED,Delisted,EC
8,,SIA/WB/IND/227505/2021,,Rolling Mill Steel Plant,M/S GREAT EASTERN INFRACON (P) LTD.,Delisted,EC
9,,SIA/WB/IND/29902/2016,,"Expansion from 90,000 TPA steel billets and 1,62,000 TPA wire rods to 1,92,000 TPA wire rods and 60,000 TPA HB wires.",SUPERSHAKTI METALIKS LIMITED,Delisted,EC
10,,SIA/WB/IND/31555/2019,EN/T-II-1/020/2019,"Installation of 2 X 20 MT Induction Furnaces with Continuous Caster and 1,48,800MT/Annum Rolling Mill",SHREE RAMDOOT ROLLERS PVT LTD,EC Granted,EC
11,,SIA/WB/IND/34029/2016,EN/T-II-1/069/2018,"Proposed expansion of existing Plant by additional installation of 4x15 T Induction Furnaces along with 1,00,000 TPA capacity Rolling Mill",CALSTAR SPONGE LIMITED,EC Granted,EC
12,,SIA/WB/IND/35205/2018,EN/T-II-1/106/2018,"Expansion from 90,000 TPA steel billets and 1,62.000 TPA Wire rods to 1,92,000 TPA Wire rods and 60,000 TPA HB wire",SUPERSHAKTI METALIKS LIMITED,EC Granted,EC
13,,SIA/WB/IND/36650/2018,EN/T-II-1/102/2018,"Enhancement in production capacity from  1,56,000 TPA to 2, 46,000 TPA of coke oven plant of M/s Metakik Fuel Private Limited, J.L no. 115, Mouza-Amba, Vill: Gokulpur, P.O: Samraipur, Kharagpur, Dist:",METALIK FUEL PRIVATE LIMITED,EC Granted,EC
14,,SIA/WB/IND/41755/2018,EN/T-II-1/066/2018,"Setting up DI Pipe Manufacturing Unit of capacity 97,200 MT/ Annum",KEJRIWAL CASTINGS LIMITED,EC Granted,EC
15,,SIA/WB/IND/41967/2018,EN/T-II-1/067/2018,Installation of 4 No. 15 MT Induction Furnaces with Ladle Refining Furnace and Continuous Caster and Rolling Mill and Wire Block Mill with installed capacity 600 TPD,RATTAN ISPAT PRIVATE LIMITED,EC Granted,EC
