state1,year,aligned_center,zone,Income
Andhra_Pradesh,2014,,,
Andhra_Pradesh,2015,,,
Andhra_Pradesh,2016,,,
Andhra_Pradesh,2017,,,
Andhra_Pradesh,2018,,,
Andhra_Pradesh,2019,,,
Andhra_Pradesh,2020,,,
Andhra_Pradesh,2021,,,
Andhra_Pradesh,2022,,,
Andhra_Pradesh,2023,,,
Andhra_Pradesh,2024,,,
Bihar,2014,,,
Bihar,2015,,,
Bihar,2016,,,
Bihar,2017,,,
Bihar,2018,,,
Bihar,2019,,,
Bihar,2020,,,
Bihar,2021,,,
Bihar,2022,,,
Bihar,2023,,,
Bihar,2024,,,
Chattisgarh,2014,,,
Chattisgarh,2015,,,
Chattisgarh,2016,,,
Chattisgarh,2017,,,
Chattisgarh,2018,,,
Chattisgarh,2019,,,
Chattisgarh,2020,,,
Chattisgarh,2021,,,
Chattisgarh,2022,,,
Chattisgarh,2023,,,
Chattisgarh,2024,,,
Haryana,2014,,,
Haryana,2015,,,
Haryana,2016,,,
Haryana,2017,,,
Haryana,2018,,,
Haryana,2019,,,
Haryana,2020,,,
Haryana,2021,,,
Haryana,2022,,,
Haryana,2023,,,
Haryana,2024,,,
Jharkhand,2014,,,
,2015,,,
,2016,,,
,2017,,,
,2018,,,
,2019,,,
,2020,,,
,2021,,,
,2022,,,
,2023,,,
,2024,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Jharkhand,20141125,,,
Karnataka,20130505,,,
Kerala,20110413,,,
Odisha,20140410,,,
Madhya_Pradesh,20131125,,,
Rajasthan,20131201,,,
Uttar_Pradesh,20120204,,,
Telangana,20140430,,,
West_Bengal,20110418,,,
Tamil_Nadu,20110413,,,
Maharashtra,20141015,,,
Gujarat,20121213,,,
Himachal_Pradesh,20121104,,,
Punjab,20120130,,,
