,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
0,SIA/WB/MIS/48035/2019,"Expansion of Existing Common Bio-Medical Waste Treatment Facility at Mouza Mangalpur, Touzi No. 19, Manbhum, Dag No. 457(P), 458(P), JL No. 22, Ranigunj P.O. & P.S., Paschim Bardhaman District.",INFRA-2,15 Feb 2022,15/02/2022,,,22/02/2022,,,07/03/2022,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/WB/MIS/48035/2019&type=EC&ID=199102
1,SIA/WB/MIS/220603/2021,Affordable Housing Complex under Pradhan Mantri Awas Yojana,INFRA-2,09 Aug 2021,17/07/2021,05/08/2021,09/08/2021,09/09/2021,,,14/09/2021,,19/09/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/WB/MIS/220603/2021&type=EC&ID=189352
2,SIA/WB/MIN/180373/2020,Brick earth Mine on Mouza – Laliabari,Non-Coal Mining,23 Oct 2020,23/10/2020,10/01/2021,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/WB/MIN/180373/2020&type=EC&ID=141140
3,SIA/WB/MIN/197709/2021,Sujapur Brick Soil Mining Project For M/s Maa Laxmi Brick Field,Non-Coal Mining,11 Feb 2021,11/02/2021,18/02/2021,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/WB/MIN/197709/2021&type=EC&ID=163203
4,SIA/WB/MIN/232070/2021,"Lodha Sand Mine on Silabati River at plot no: 389(P), J.L. No.-886, Area-0.63 Hectare/1.56 Acres , Mouza: Lodha, P.S. Garhbeta, District: Paschim Medinipur, State: West Bengal.",Non-Coal Mining,30 Sep 2021,30/09/2021,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/WB/MIN/232070/2021&type=EC&ID=191776
5,SIA/WB/MIN/167774/2020,"NALDUMRA SAND MINE (AREA- 5.00 HECTARES) ON KANGSHABATI RIVER ON Plot No.-46(P).LOCATED AT MOUZA- NALDUMRA, P.S. - MIDNAPORE, DISTRICT- PASCHIM MEDINIPUR, STATE- WEST BENGAL, JL NO. 82",Non-Coal Mining,13 Oct 2020,12/08/2020,31/08/2020,13/10/2020,24/11/2020,,,09/12/2020,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/WB/MIN/167774/2020&type=EC&ID=123078
6,SIA/WB/MIS/186026/2020,Parvati Garden,INFRA-2,25 Jan 2021,01/12/2020,10/01/2021,25/01/2021,28/01/2021,,,03/02/2021,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/WB/MIS/186026/2020&type=EC&ID=145518
7,SIA/WB/MIN/259464/2022,Lodha sand mine on Silabati river,Non-Coal Mining,05 Mar 2022,05/03/2022,02/01/2023,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/WB/MIN/259464/2022&type=EC&ID=199900
8,SIA/WB/MIN/262169/2022,Idilpur Sand Mine  Namita Enterprise Kanai Chandra Das,Non-Coal Mining,03 Feb 2023,16/03/2022,24/01/2023,03/02/2023,08/02/2023,,,10/02/2023,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/WB/MIN/262169/2022&type=EC&ID=200601
9,SIA/WB/MIN/218051/2021,M/s MRB Brick Field,Non-Coal Mining,16 Jul 2021,16/07/2021,25/11/2021,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/WB/MIN/218051/2021&type=EC&ID=188934
