,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
0,SIA/JH/MIN/42798/2019,Baliapatra Stone Deposit,Non-Coal Mining,13 Sep 2019,13/09/2019,,,01/10/2019,,,22/10/2019,30/10/2019,04/11/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/42798/2019&type=EC&ID=63539
1,SIA/JH/MIN/43360/2019,"Stone Deposit of Telo-M/s Kirty Enterprises by (partners-Yogendra Prasad,Arjun Prasad & Suresh Prasad)",Non-Coal Mining,04 Oct 2019,04/10/2019,03/10/2019,04/10/2019,14/10/2019,,,02/11/2019,10/11/2019,08/11/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/43360/2019&type=EC&ID=64928
2,SIA/JH/MIN/202551/2021,Betakocha Brick Clay Mining M/s Anil Bricks Brick Clay Mining Project,Non-Coal Mining,09 Mar 2021,09/03/2021,14/04/2021,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/202551/2021&type=EC&ID=172382
3,SIA/JH/MIS/232876/2021,Nand Vatika Greens,INFRA-2,20 Oct 2021,05/10/2021,07/10/2021,20/10/2021,20/10/2021,,,22/10/2021,28/10/2021,01/11/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIS/232876/2021&type=EC&ID=191950
4,SIA/JH/MIN/232899/2021,Kukukala stone mine (1.32Ha),Non-Coal Mining,19 Oct 2021,08/10/2021,11/10/2021,19/10/2021,20/10/2021,,,22/10/2021,28/10/2021,31/10/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/232899/2021&type=EC&ID=191953
5,SIA/JH/MIN/38294/2019,Chino Stone Mine,Non-Coal Mining,04 Jul 2019,04/07/2019,04/07/2019,04/07/2019,06/07/2019,,,15/07/2019,24/09/2019,23/09/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/38294/2019&type=EC&ID=56978
6,SIA/JH/MIN/209893/2021,MUSNA STONE MINE OF M/S ADITY STONE,Non-Coal Mining,17 Jun 2021,29/05/2021,02/06/2021,17/06/2021,18/06/2021,,,26/06/2021,08/07/2021,15/07/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/209893/2021&type=EC&ID=182270
7,SIA/JH/MIN/208510/2021,Ajanta-1 Brick Field,Non-Coal Mining,08 Apr 2021,08/04/2021,23/08/2021,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/208510/2021&type=EC&ID=178014
8,SIA/JH/MIN/208617/2021,"Demba Stone Deposit of M/s Amit Kumar Gupta & Vinod Yadav, Area 10.50 Acres",Non-Coal Mining,09 Apr 2021,09/04/2021,09/04/2021,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/208617/2021&type=EC&ID=178037
9,SIA/JH/MIN/35736/2009,M/s J.S.M.D.C.Ltd,Non-Coal Mining,04 May 2019,04/05/2019,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/35736/2009&type=EC&ID=55391
10,SIA/JH/MIS/235739/2021,“NUCLEUS HEIGHTS” of M/s Arrowline Real Estate Pvt. Ltd.,INFRA-2,26 Oct 2021,26/10/2021,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIS/235739/2021&type=EC&ID=192608
11,SIA/JH/MIN/188184/2020,"Brick Soil Mining For M/s Anand Bricks in Mouza Hisri, Area 3.68 Acres",Non-Coal Mining,30 Dec 2020,16/12/2020,24/12/2020,30/12/2020,30/12/2020,,,07/01/2021,08/07/2021,15/07/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/188184/2020&type=EC&ID=148029
12,SIA/JH/MIN/41448/2019,Salbona stone mine by supreme stone works,Non-Coal Mining,17 Sep 2019,17/09/2019,05/09/2019,17/09/2019,19/09/2019,,,27/09/2019,30/10/2019,04/11/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/41448/2019&type=EC&ID=62622
13,SIA/JH/MIN/241922/2021,Namsol Brick Soil Mine,Non-Coal Mining,23 Feb 2022,01/12/2021,08/02/2022,23/02/2022,24/02/2022,,,28/02/2022,15/03/2022,21/04/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/241922/2021&type=EC&ID=194122
14,SIA/JH/MIN/268933/2022,RANO STONE MINE OF MS JAI SHANKAR STONE MINES,Non-Coal Mining,07 May 2022,22/04/2022,25/04/2022,07/05/2022,09/05/2022,,,17/05/2022,,28/06/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/268933/2022&type=EC&ID=202387
15,SIA/JH/MIN/204402/2021,"Pokhariya, Brick Clay Mining M/s BALAJI TRADING",Non-Coal Mining,29 Jun 2021,18/03/2021,08/07/2021,29/06/2021,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/204402/2021&type=EC&ID=173884
16,SIA/JH/MIN/225168/2021,Dhowadangal Stone Deposit Project,Non-Coal Mining,10 Sep 2021,17/08/2021,23/08/2021,10/09/2021,11/09/2021,,,17/09/2021,30/09/2021,23/09/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/225168/2021&type=EC&ID=190255
17,SIA/JH/MIS/277378/2022,Signature Homes,INFRA-2,18 Nov 2022,20/06/2022,11/10/2022,18/11/2022,21/11/2022,,,16/12/2022,,10/01/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIS/277378/2022&type=EC&ID=204389
18,SIA/JH/MIN/42058/2019,MISRAUL STONE MINE,Non-Coal Mining,31 Aug 2019,31/08/2019,,,13/09/2019,,,27/09/2019,01/10/2019,09/10/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/42058/2019&type=EC&ID=63007
19,SIA/JH/MIN/214672/2021,KUSUMGHATI STONE MINE,Non-Coal Mining,14 Jun 2021,10/06/2021,12/06/2021,14/06/2021,18/06/2021,,,26/06/2021,08/07/2021,14/07/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/214672/2021&type=EC&ID=188253
20,SIA/JH/MIN/68472/2021,Jiyapani Stone Deposit ( Area 2.83 ha or 7.0 Acres),Non-Coal Mining,05 Aug 2022,04/07/2022,05/07/2022,05/08/2022,05/08/2022,,,06/08/2022,,12/08/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/68472/2021&type=EC&ID=208339
